Place,Name,CyrillicName,BirthYear,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Sex,Event,Equipment,Division,WeightClassKg
1,Elena Lapina,Елена Лапина,1972,43.8,80,45,110,235,F,SBD,Single-ply,Open,44
2,Tatyana Vasina,Татьяна Васина,1975,44,72.5,32.5,80,185,F,SBD,Single-ply,Open,44
1,Inna Ivleva,Инна Ивлева,1976,47.4,105,52.5,120,277.5,F,SBD,Single-ply,Open,48
2,Lyudmila Sinkevich,Людмила Синькевич,1970,48,100,50,115,265,F,SBD,Single-ply,Open,48
3,Elena Bespartochnaya,Елена Беспарточная,1974,47.95,72.5,60,125,257.5,F,SBD,Single-ply,Open,48
4,Svelana Krasnobryzhaya,Свелана Краснобрыжая,1960,47.5,85,55,115,255,F,SBD,Single-ply,Open,48
5,Natalya Kiev,Наталья Киев,1973,47.6,70,45,105,220,F,SBD,Single-ply,Open,48
1,Svetlana Poplavskaya,Светлана Поплавская,1966,52,120,60,135,315,F,SBD,Single-ply,Open,52
2,Tatyana Yaskiv,Татьяна Яськив,1967,51.85,115,62.5,120,297.5,F,SBD,Single-ply,Open,52
3,Viktoriya Shapoval,Виктория Шаповал,1973,50.3,95,55,107.5,257.5,F,SBD,Single-ply,Open,52
4,Svetlana Shmundir,Светлана Шмундир,1976,51.4,90,50,105,245,F,SBD,Single-ply,Open,52
5,Natalya Dmitrieva,Наталья Дмитриева,1971,51.55,80,50,100,230,F,SBD,Single-ply,Open,52
DQ,Larisa Lebedeva,Лариса Лебедева,1956,52,95,,,,F,SBD,Single-ply,Open,52
1,Nadezhda Matsek,Надежда Мацек,1971,56,105,60,130,295,F,SBD,Single-ply,Open,56
2,Zhanna Bronyuk,Жанна Бронюк,1972,52.9,122.5,65,90,265,F,SBD,Single-ply,Open,56
3,Natalya Ship,Наталья Шип,1976,55,105,50,105,260,F,SBD,Single-ply,Open,56
4,Lyudmila Uravel,Людмила Уравель,1973,55.9,90,50,115,255,F,SBD,Single-ply,Open,56
5,Ekaterina Pirgat,Екатерина Пиргат,1974,54.35,70,40,115,225,F,SBD,Single-ply,Open,56
6,Tatyana Borodinova,Татьяна Бородинова,1975,55.6,67.5,35,80,182.5,F,SBD,Single-ply,Open,56
DQ,Mariya Dovgay,Мария Довгай,1963,55.3,,,,,F,SBD,Single-ply,Open,56
1,Larisa Ivanova,Лариса Иванова,1963,59.6,180,90,150,420,F,SBD,Single-ply,Open,60
2,Yaroslava Furduy,Ярослава Фурдуй,1971,58.7,130,72.5,160,362.5,F,SBD,Single-ply,Open,60
3,Natalya Efimenko,Наталья Ефименко,1972,60,120,60,137.5,317.5,F,SBD,Single-ply,Open,60
4,Kseniya Trofimtsova,Ксения Трофимцова,1969,60,110,67.5,130,307.5,F,SBD,Single-ply,Open,60
5,Irina Timofeeva,Ирина Тимофеева,1973,59.7,100,47.5,115,262.5,F,SBD,Single-ply,Open,60
6,Oksana Tertyshnik,Оксана Тертышник,1977,58.4,80,30,100,220,F,SBD,Single-ply,Open,60
7,Natalya Sarnatskaya,Наталья Сарнацкая,1973,59.2,55,37.5,107.5,200,F,SBD,Single-ply,Open,60
1,Irina Duinina,Ирина Дуинина,1966,67.4,172.5,87.5,182.5,442.5,F,SBD,Single-ply,Open,67.5
2,Anna Turanskaya,Анна Туранская,1972,62.4,112.5,67.5,142.5,322.5,F,SBD,Single-ply,Open,67.5
3,Larisa Zhukova,Лариса Жукова,1973,67.45,100,65,120,285,F,SBD,Single-ply,Open,67.5
4,Svetlana Konobridskaya,Светлана Конобридская,1971,66.6,97.5,45,130,272.5,F,SBD,Single-ply,Open,67.5
5,Inna Andrievskaya,Инна Андриевская,1975,66.1,85,40,115,240,F,SBD,Single-ply,Open,67.5
DQ,Irina Trifonova,Ирина Трифонова,1976,66.8,,,,,F,SBD,Single-ply,Open,67.5
1,Anna Ganenko,Анна Ганенко,1975,74.85,140,85,150,375,F,SBD,Single-ply,Open,75
2,Oksana Kovalchuk,Оксана Ковальчук,1973,71.7,70,40,100,210,F,SBD,Single-ply,Open,75
1,Inna Orobets,Инна Оробец,1971,75.8,185,110,180,475,F,SBD,Single-ply,Open,82.5
1,Elena Chinnova,Елена Чиннова,1970,82.6,122.5,52.5,140,315,F,SBD,Single-ply,Open,90
1,Lyudmila Gayduchenko,Людмила Гайдученко,1966,90.25,200,140,220,560,F,SBD,Single-ply,Open, 90+
1,Igor Godunko,Игорь Годунько,1966,50.5,180,105,190,475,M,SBD,Single-ply,Open,52
2,Aleksandr Gromov,Александр Громов,1975,51.45,137.5,90,160,387.5,M,SBD,Single-ply,Open,52
3,Roman Galitskiy,Роман Галицкий,1975,51.3,125,82.5,165,372.5,M,SBD,Single-ply,Open,52
1,Nikolay Tonyan,Николай Тонян,1968,52.8,192.5,97.5,190,480,M,SBD,Single-ply,Open,56
2,Nikolay Shkurinskiy,Николай Шкуринский,1976,55.15,150,90,192.5,435,M,SBD,Single-ply,Open,56
3,Dmitriy Krokhmal,Дмитрий Крохмаль,1975,55.65,140,90,170,400,M,SBD,Single-ply,Open,56
4,Stepan Ovcharenko,Степан Овчаренко,1976,55.15,,,,,M,SBD,Single-ply,Open,56
1,Sergey Vatyuk,Сергей Ватюк,1962,59.05,200,138,212.5,550,M,SBD,Single-ply,Open,60
2,Vitaliy Arsenev,Виталий Арсеньев,1963,59.5,195,122.5,200,517.5,M,SBD,Single-ply,Open,60
3,Nikolay Visitskiy,Николай Висицкий,1972,59.75,140,110,185,435,M,SBD,Single-ply,Open,60
4,Evgeniy Tayts,Евгений Тайц,1974,59.65,150,105,172.5,427.5,M,SBD,Single-ply,Open,60
5,Vitaliy Morozov,Виталий Морозов,1974,56.3,132.5,105,180,417.5,M,SBD,Single-ply,Open,60
6,Aleksey Ptashenchuk,Алексей Пташенчук,1976,58.5,140,72.5,160,372.5,M,SBD,Single-ply,Open,60
DQ,Sergey Timoshchuk,Сергей Тимощук,1965,60,135,,,,M,SBD,Single-ply,Open,60
DQ,Leonid Panasenko,Леонид Панасенко,1964,59.05,,,,,M,SBD,Single-ply,Open,60
1,Valeriy Kravchenko,Валерий Кравченко,1965,67.4,230,160,230,620,M,SBD,Single-ply,Open,67.5
2,Petr Kravtsov,Петр Кравцов,1946,67,235,145,220,600,M,SBD,Single-ply,Open,67.5
3,Aleksey Kraevskiy,Алексей Краевский,1974,67.1,210,130,230,570,M,SBD,Single-ply,Open,67.5
4,Oleg Krasnozhon,Олег Красножон,1970,66.15,200,110,230,540,M,SBD,Single-ply,Open,67.5
5,Stanislav Pryakhin,Станислав Пряхин,1975,67,190,115,215,520,M,SBD,Single-ply,Open,67.5
6,Sergey Verbitskiy,Сергей Вербицкий,1970,67,160,120,210,490,M,SBD,Single-ply,Open,67.5
7,Vitaliy Chernukha,Виталий Чернуха,1960,67.4,170,120,160,470,M,SBD,Single-ply,Open,67.5
8,Sergey Odarich,Сергей Одарич,1970,67,160,105,185,450,M,SBD,Single-ply,Open,67.5
DQ,Sergey Galutskiy,Сергей Галуцкий,1971,67.4,,,,,M,SBD,Single-ply,Open,67.5
1,Sirazhutdin Bazaev,Сиражутдин Базаев,1968,73,280,170,265,715,M,SBD,Single-ply,Open,75
2,Dmitriy Solovev,Дмитрий Соловьев,1970,73.2,230,170,235,635,M,SBD,Single-ply,Open,75
3,Vitaliy Krivtsov,Виталий Кривцов,1951,74.5,245,153,230,627.5,M,SBD,Single-ply,Open,75
4,Viktor Khurudzhi,Виктор Хуруджи,1975,73.6,242.5,147.5,230,620,M,SBD,Single-ply,Open,75
5,Sergey Karyy,Сергей Карый,1973,74,235,140,232.5,607.5,M,SBD,Single-ply,Open,75
6,Ivan Panchenko,Иван Панченко,1969,70,202.5,142.5,235,580,M,SBD,Single-ply,Open,75
7,Igor Feshchenko,Игорь Фещенко,1967,74.8,200,180,200,580,M,SBD,Single-ply,Open,75
8,Nikolay Ogly,Николай Оглы,1949,73.8,220,120,235,575,M,SBD,Single-ply,Open,75
9,Aleksandr Nesterenko,Александр Нестеренко,1953,72,250,110,210,570,M,SBD,Single-ply,Open,75
10,Andrey Ivanitskiy,Андрей Иваницкий,1966,74.4,195,140,212.5,547.5,M,SBD,Single-ply,Open,75
11,Vladimir Manoylo,Владимир Манойло,1953,74.4,205,100,240,545,M,SBD,Single-ply,Open,75
12,Boris Malov,Борис Малов,1962,73.1,180,130,220,530,M,SBD,Single-ply,Open,75
13,Vladimir Chernukha,Владимир Чернуха,1956,71.8,150,112.5,222.5,477.5,M,SBD,Single-ply,Open,75
14,Gennadiy Kukoba,Геннадий Кукоба,1962,70.5,160,102.5,210,472.5,M,SBD,Single-ply,Open,75
15,Viktor Urban,Виктор Урбан,1966,74.7,180,112.5,185,467.5,M,SBD,Single-ply,Open,75
16,Leonid Timchenko,Леонид Тимченко,1976,74.6,170,95,200,465,M,SBD,Single-ply,Open,75
DQ,Vasiliy Kurtyak,Василий Куртяк,1961,73.8,250,,,,M,SBD,Single-ply,Open,75
DQ,Nikolay Solovykh,Николай Соловых,1963,74.6,225,,,,M,SBD,Single-ply,Open,75
DQ,Vasiliy Pochkay,Василий Почкай,1955,74.4,190,,,,M,SBD,Single-ply,Open,75
1,Yuriy Yurtaev,Юрий Юртаев,1961,80,280,187.5,280,747.5,M,SBD,Single-ply,Open,82.5
2,Aleksandr Kotendzhi,Александр Котенджи,1964,82.45,270,165,270,705,M,SBD,Single-ply,Open,82.5
3,Vadim Bratus,Вадим Братусь,1973,82.4,270,155,270,695,M,SBD,Single-ply,Open,82.5
4,Dmitriy Chikin,Дмитрий Чикин,1966,82.45,285,150,255,690,M,SBD,Single-ply,Open,82.5
5,Oleg Zbyvshevskiy,Олег Збывшевский,1965,81.65,250,175,250,675,M,SBD,Single-ply,Open,82.5
6,Yuriy Molokoedov,Юрий Молокоедов,1959,81.5,235,180,255,670,M,SBD,Single-ply,Open,82.5
7,Yaroslav Chala,Ярослав Чала,1948,82.4,220,175,230,625,M,SBD,Single-ply,Open,82.5
8,Sergey Savyak,Сергей Савяк,1976,80.5,235,127.5,230,592.5,M,SBD,Single-ply,Open,82.5
9,Vladimir Kanibolotskiy,Владимир Каниболоцкий,1972,82.2,220,130,240,590,M,SBD,Single-ply,Open,82.5
10,Vyacheslav Orikhovskiy,Вячеслав Ориховский,1961,82.4,190,140,250,580,M,SBD,Single-ply,Open,82.5
11,Valeriy Nemyy,Валерий Немый,1965,77.5,200,120,235,555,M,SBD,Single-ply,Open,82.5
12,Yaroslav Demyanyuk,Ярослав Демянюк,1967,79.7,210,135,215,555,M,SBD,Single-ply,Open,82.5
13,Vitaliy Shevchuk,Виталий Шевчук,1968,81.5,185,125,220,525,M,SBD,Single-ply,Open,82.5
14,Oleg Gorodovoy,Олег Городовой,1976,82.3,180,120,220,520,M,SBD,Single-ply,Open,82.5
DQ,Vladimir Makhnyuk,Владимир Махнюк,1958,81.1,,,,,M,SBD,Single-ply,Open,82.5
DQ,Aleksandr Slatenkov,Александр Слатенков,1966,80.2,270,160,,,M,SBD,Single-ply,Open,82.5
1,Vladimir Ivanenko,Владимир Иваненко,1955,99.5,380.5,195,317.5,892.5,M,SBD,Single-ply,Open,100
2,Fedor Rybalka,Федор Рыбалка,1961,97.5,300,170,315,785,M,SBD,Single-ply,Open,100
3,Valeriy Voytsekhovskiy,Валерий Войцеховский,1972,96.5,297.5,185,300,782.5,M,SBD,Single-ply,Open,100
4,Oleg Korolev,Олег Королев,1971,95.5,292.5,187.5,285,765,M,SBD,Single-ply,Open,100
5,Aleksey Pletenenko,Алексей Плетененко,1961,99.85,285,170,305,760,M,SBD,Single-ply,Open,100
6,Igor Antipenko,Игорь Антипенко,1968,99,280,160,297.5,737.5,M,SBD,Single-ply,Open,100
7,Vladimir Lebedev,Владимир Лебедев,1950,99.7,277.5,165,265,707.5,M,SBD,Single-ply,Open,100
8,Oleg Pogorelov,Олег Погорелов,1972,98.8,275,155,260,690,M,SBD,Single-ply,Open,100
9,Ruslan Dubovoy,Руслан Дубовой,1963,96.75,240,150,250,640,M,SBD,Single-ply,Open,100
10,Vladimir Kovtun,Владимир Ковтун,1962,99.85,195,145,255,595,M,SBD,Single-ply,Open,100
11,Pavel Chernous,Павел Черноус,1970,99,200,130,235,565,M,SBD,Single-ply,Open,100
12,Valeriy Kovtun,Валерий Ковтун,1969,98.5,200,100,220,520,M,SBD,Single-ply,Open,100
13,Mikhail Starov,Михаил Старов,1973,97.85,300,175,,,M,SBD,Single-ply,Open,100
DQ,Viktor Karpenko,Виктор Карпенко,1960,99.9,,,,,M,SBD,Single-ply,Open,100
1,Anatoliy Koshelap,Анатолий Кошелап,1955,108.3,275,222.5,300,797.5,M,SBD,Single-ply,Open,110
2,Viktor Pirogov,Виктор Пирогов,1956,109,295,185,305,785,M,SBD,Single-ply,Open,110
3,Albert Voytsekhovskiy,Альберт Войцеховский,1970,101,280,155,310,745,M,SBD,Single-ply,Open,110
4,Sergey Grishin,Сергей Гришин,1967,109.75,270,185,270,725,M,SBD,Single-ply,Open,110
5,Anatoliy Dutskiy,Анатолий Дуцкий,1973,108.15,270,130,260,660,M,SBD,Single-ply,Open,110
6,Oleg Bezborodko,Олег Безбородько,1972,101.35,210,150,250,610,M,SBD,Single-ply,Open,110
DQ,Nikolay Nakonechnyy,Николай Наконечный,1962,107,,,,,M,SBD,Single-ply,Open,110
1,Andrey Budnik,Андрей Будник,1971,115,280,195,270,745,M,SBD,Single-ply,Open,125
2,Anatoliy Mishkovskiy,Анатолий Мишковский,1962,113.8,270,205,265,740,M,SBD,Single-ply,Open,125
3,Valeriy Dergach,Валерий Дергач,1956,122.5,275,180,260,715,M,SBD,Single-ply,Open,125
DQ,Oleg Kravchenko,Олег Кравченко,1965,124.55,330,,,,M,SBD,Single-ply,Open,125
1,Yuriy Spinov,Юрий Спинов,1962,136.6,435,185,370,990,M,SBD,Single-ply,Open,125+
2,Vasiliy Orobets,Василий Оробец,1966,140,320,195,300,815,M,SBD,Single-ply,Open,125+
