M/W,Class,BWT,Name / BY,,,SQUAT,,SQ,BENCH PRESS,,,BP,Sub.,,DEADLIFT,,DL,Total,Wilks pts,
,,,,,1,2,3,result,1,2,3,result,Tot.,1,2,3,result,,,
,,,,,,,,,,,,,,,,,,,,
,,,Womens Seniors,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
W,52,51.9,Jenny Hunter/ S,EM,75,85,92.5,92.5,65,72.5,75,72.5,165,130,140,145.5,145.5,310.5,387.66,1
W,57,56.1,Pelin Baykal/ S,GL ,75,85,95,85,50,55,60,55,140,125,135,145,145,285,334.86,1
W,57,56.5,Lucy Cohen/S,W,75,85,92.5,85,45,50,50,50,135,90,100,110,110,245,286.27,2
W,57,53.8,Joanne Dudley/ S,YNE,70,75,80,75,47.5,52.5,52.5,47.5,122.5,105,110,120,120,242.5,294.42,3
W,57,56.1,Victoria Hillier/ S,YNE,57.5,65,70,70,40,45,47.5,47.5,117.5,85,95,105,105,222.5,261.43,4
W,63,62.9,Louise Watton/ S,SW,127.5,132.5,,132.5,67.5,72.5,75,72.5,205,160,170,,170,375,403.22,1
W,63,61.7,Louise Withington/ S,YNE,112.5,115,120,120,55,60,62.5,62.5,182.5,135,145,152.5,152.5,335,365.53,2
W,63,61.1,Abi Graham/ S,EM,92.5,100,105,100,60,65,67.5,65,165,130,135,140,140,305,335.3,3
W,63,61.6,Danielle Chambers/ S,YNE,90,100,105,105,60,65,65,60,165,120,122.5,125,122.5,287.5,314.09,4
W,63,62.1,Sarah Franklin/ S,GL,80,85,90,90,42.5,47.5,50,47.5,137.5,100,110,110,100,237.5,257.87,5
W,72,67.1,Jordana Freemantle/ S,WM,107.5,117.5,127.5,127.5,75,80,85,85,212.5,125,135,145,145,357.5,366.43,1
W,72,71.7,Jenna Sadler/ S,YNE,95,100,105,100,60,65,65,60,160,150,160,160,150,310,303.42,2
W,84+,93.1,Shantelle Svarc/ S,NM,95,102.5,107.5,107.5,65,70,70,65,172.5,120,127.5,127.5,120,292.5,249.39,1
,,,Junior and Master Women A,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
W,63,61.6,Alysha Huxley/ J,W,50,57.5,65,65,37.5,42.5,45,42.5,107.5,70,80,87.5,87.5,195,213.04,1
W,84,76.3,Shachar Head/ U18,SW,110,117.5,117.5,117.5,70,75,80,75,192.5,140,150,160.5,150,342.5,322.16,2
W,84,78.7,Victoria Embelton/ J,YNE,110,120,125,125,52.5,57.5,60,60,185,120,135,140,135,320,295.53,3
W,47,44.3,Marina Cornwall/ M2,SM,67.5,72.5,77.5,72.5,47.5,50.5,51,50.5,123,107.5,115,120,120,243,340.6,1
W,52,50.5,Lindi Taylor Marson/ M2,NM,47.5,50,52.5,52.5,32.5,35,37.5,35,87.5,70,75,80,80,167.5,213.56,1
W,57,56.5,Carol Taylor/ M2,YNE,92.5,92.5,100,92.5,42.5,45,47.5,47.5,140,130,135,140,135,275,321.32,1
W,57,57,Sarah Collier/ M1,YNE,75,80,80,75,45,47.5,50,47.5,122.5,92.5,100,107.5,107.5,230,266.89,2
W,72,67.7,Wendy Kirkland/ M1,NM,97.5,105,110,110,57.5,62.5,65,65,175,110,117.5,122.5,122.5,297.5,302.99,1
W,72,70.5,Sue Giles/ M2,NM,75,85,87.5,87.5,47.5,52.5,55,52.5,140,110,123,130.5,123,263,260.37,2
W,84,78.8,Jackie Blasbery/ M1,EM,115,125,136,136,72.5,77.5,82.5,82.5,218.5,152.5,162.5,171,171,389.5,359.45,1
M/W,Class,BWT,Name / BY,,,SQUAT,SQ,,BENCH PRESS,,,BP,Sub.,,DEADLIFT,,DL,Total,Wilks pts,
,,,,,1,2,3,result,1,2,3,result,Tot.,1,2,3,result,,,
,,,,,,,,,,,,,,,,,,,,
,,,Masters Men Up to 83Kg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
M,66,64.9,Ted Byrne/ M3,NM,115,122.5,122.5,122.5,82.5,87.5,,82.5,205,175,182.5,193,182.5,387.5,308.54,1
M,66,65.6,Roger Powell/ M4,NM,100,110,115,110,50,60,70,70,180,130,140,150,150,330,260.42,2
M,66,65.6,Roger Little/ M4,NM,75,80,85,80,62.5,65.5,65.5,65.5,145.5,120,125,,125,270.5,213.46,3
M,74,74,Allen Otolangui/ M2,EM,165,180,180,180,100,105,105,105,285,190,205,,190,475,341.67,1
M,74,69.5,Ian Duckett/ M1,YNE,160,160,160, ----- ,105,105,105, ----- ,Disq,,0,, ----- ,Disq,,
M,83,83,Phil Guise/ M2,SW,175,190,200,200,125,132.5,135,135,335,195,205,210,205,540,360.45,1
M,83,80.4,David O'Brien/M1,YNE,160,170,170,170,115,122.5,127.5,127.5,297.5,200,212.5,212.5,200,497.5,338.58,2
M,83,80.5,Mark Judge/ M2,NW,140,152.5,157.5,152.5,110,120,122.5,120,272.5,180,192.5,,192.5,465,316.22,3
M,83,81.5,Ernie Parks/ M4,GL,140,145,152.5,145,90,95,97.5,95,240,200,210,217.5,210,450,303.69,4
M,83,82.6,Kevin Barrs/ M2,NM,120,130,135,130,125,132.5,132.5,125,255,150,170,,150,405,271.12,5
M,83,82.3,Doug D'Gama/ M2,EM,150,150,150, ----- ,122.5,122.5,122.5, ----- ,Disq,,,, ----- ,Disq,,
,,,Masters Men 93 Kg and 105Kg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
M,93,92.5,Kevin Jane/ M3,EM,202.5,220,227.5,227.5,132.5,137.5,137.5,132.5,360,255,267.5,275,267.5,627.5,396.56,1
M,93,92.6,Roy Cole/ M2,SE,180,200,200,200,140,150,155,150,350,200,220,230,230,580,364.35,2
M,93,92.7,Leslie Attewell/ M1,NM,180,190,190,190,120,127.5,132.5,127.5,317.5,220,235,245,235,552.5,346.76,3
