Sex,WeightClassKg,BodyweightKg,Name,Team,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Event,Equipment,AgeClass
M,120+,131,Roy Jakins,YNE,220,230,240,230,160,165,171,165,225,235,240,240,635,1,SBD,Raw,39.5-49.5
M,120+,149.5,Rhoori Latham,YNE,210,220,220,210,155,160,162.5,160,230,240,245,240,610,2,SBD,Raw,39.5-49.5
M,120+,123.8,Chris Woodhead,YNE,230,245,252.5,252.5,110,120,120,110,220,237.5,247.5,237.5,600,3,SBD,Raw,39.5-49.5
M,66,65.2,Ross Lawton,YNE,150,160,160,160,80,85,90,85,175,190,195,190,435,1,SBD,Raw,18.5-20.5
M,66,65.6,James McIlWaine,NI,140,142.5,142.5,140,85,90,90,85,155,155,160,160,385,2,SBD,Raw,14-18.5
M,66,63.4,Sam Pile,SE,120,130,135,135,65,72.5,77.5,77.5,140,150,160,160,372.5,3,SBD,Raw,14-18.5
M,66,64.8,Ben Murrell,NM,100,110,115,110,65,70,72.5,70,175,185,195.5,185,365,5,SBD,Raw,14-18.5
M,66,62.8,Jake Riddel,NM,85,90,95,90,55,60,60,55,130,140,145,140,285,6,SBD,Raw,14-18.5
M,66,65,Benjamin Cattermole,EM,152.5,152.5,152.5,,92.5,,,,,,,,,DQ,SBD,Raw,14-18.5
M,74,69.9,Andrew Dixon,SE,140,155,160,160,85,95,95,85,200,210,226,226,471,1,SBD,Raw,18.5-20.5
M,74,72.7,Dominic Manifold,SM,150,160,167.5,160,95,102.5,110,102.5,190,200,205,205,467.5,2,SBD,Raw,18.5-20.5
M,74,72.4,Jack Kay,SM,150,150,157.5,157.5,90,92.5,92.5,90,200,212.5,215,212.5,460,3,SBD,Raw,14-18.5
M,74,72.8,Andrew Houldershaw,NM,115,122.5,130,122.5,77.5,80,85,85,170,180,185,185,392.5,4,SBD,Raw,18.5-20.5
M,66,63,Philip Marshall,YNE,117.5,122.5,125,117.5,90,95,98,95,147.5,157.5,160,157.5,370,4,SBD,Raw,
M,66,66,Travis Short,NM,65,70,75,75,52.5,57.5,60,57.5,110,125,135,135,267.5,7,SBD,Raw,14-18.5
M,83,76.1,Alistair Cannings,SW,195,207.5,215,215,120,130,135,130,210,225,232.5,232.5,577.5,1,SBD,Raw,20.5-23.5
M,83,79,Robert Richardson,YNE,175,175,180,180,115,120,125,120,200,230,253.5,230,530,2,SBD,Raw,20.5-23.5
M,83,82.5,Owen Lilly,EM,170,180,190,180,107.5,115,115,107.5,220,220,227.5,220,507.5,3,SBD,Raw,20.5-23.5
M,83,82.5,Tom Rowell,EM,155,165,170,170,85,92.5,100,100,205,220,230,230,500,4,SBD,Raw,20.5-23.5
M,83,80.7,Jordan Major,NM,90,95,100,100,65,70,72.5,72.5,130,152.5,170,152.5,325,5,SBD,Raw,14-18.5
M,93,90.4,Mat Gibson,SW,220,245,250,245,150,150,167.5,150,240,255,255,240,635,1,SBD,Raw,20.5-23.5
M,93,92.3,Alexander Carvell,YNE,160,175,175,175,125,133.5,140,133.5,220,235,240,235,543.5,2,SBD,Raw,18.5-20.5
M,93,92.2,Daniel Burns,YNE,180,190,190,190,115,125,125,115,220,220,232.5,220,525,3,SBD,Raw,18.5-20.5
M,105,105,Daniel Fletcher,SE,150,160,165,160,100,107.5,107.5,107.5,180,192.5,200,192.5,460,2,SBD,Raw,14-18.5
M,105,104.1,David Mills,YNE,245,245,245,,100,,,,,,,,,DQ,SBD,Raw,20.5-23.5
M,120,108.1,Daniel Skinner,WM,210,230,230,210,150,161,170,161,255,276,276,255,626,1,SBD,Raw,18.5-20.5
M,120,111.4,David Cridland,SE,150,160,170,160,105,112.5,115,112.5,170,182,,182,454.5,2,SBD,Raw,14-18.5
M,120+,128.1,Shaun Kelly,YNE,220,230,235,230,137.5,142.5,147.5,142.5,255,262.5,267.5,262.5,635,1,SBD,Raw,18.5-20.5
M,120+,121.3,Jonathan Cathcart,NI,167.5,180,190,180,137.5,150,155,150,210,230,245,230,560,2,SBD,Raw,20.5-23.5
M,105,95.3,Paul Bennett,YNE,210,210,210,210,125,132.5,135,132.5,240,255.5,258,240,582.5,1,SBD,Raw,18.5-20.5
M,66,62.7,Paul Bartlett,YNE,160,167.5,167.5,167.5,97.5,102.5,105,102.5,180,192.5,197.5,192.5,462.5,1,SBD,Raw,23.5-39.5
M,66,63,Aaron Gidion,GL,135,142.5,147.5,142.5,132.5,137.5,140.5,137.5,170,180,187.5,180,460,2,SBD,Raw,23.5-39.5
M,66,65.6,James Withington,YNE,145,150,150,145,102.5,107.5,110,107.5,190,200,205,200,452.5,3,SBD,Raw,23.5-39.5
M,74,73.2,Paul Cooper,YNE,180,187.5,192.5,187.5,150,157.5,160.5,157.5,260,270,,270,615,1,SBD,Raw,23.5-39.5
M,74,72.1,Scott Bradwell,YNE,160,170,172.2,170,137.5,137.5,140,140,195,205,210,210,520,2,SBD,Raw,23.5-39.5
M,74,73.8,Wayne Smith,NM,155,160,165,160,120,122.5,125,125,175,192.5,200,192.5,477.5,3,SBD,Raw,23.5-39.5
M,83,81.1,Vince Mwayi,EM,225,240,251,240,160,170,176,170,270,290,300,290,700,1,SBD,Raw,23.5-39.5
M,83,82,Ben Croft,YNE,200,207.5,210,207.5,130,132.5,135,132.5,240,260,267.5,267.5,607.5,2,SBD,Raw,23.5-39.5
M,83,81.7,Paul McCaffrey,YNE,220,230,240,230,132.5,140,145,140,220,235,245,235,605,3,SBD,Raw,23.5-39.5
M,83,81.4,Chris Lineham,SW,180,190,195,190,145,152.5,152.5,145,220,230,240,240,575,4,SBD,Raw,23.5-39.5
M,83,78.7,Martin Smith,SW,170,182.5,190,182.5,135,140,145,145,220,232.5,242.5,232.5,560,5,SBD,Raw,23.5-39.5
M,83,81.5,Jamie Capewell ,NM,180,190,200,190,120,130,130,120,220,240,250,240,550,6,SBD,Raw,23.5-39.5
M,83,81.3,Leo Double,GL,165,170,175,175,115,117.5,120,117.5,215,220,225,220,512.5,7,SBD,Raw,23.5-39.5
M,93,92.5,Stephen Manuel,NW,230,240,250,250,165,175,180.5,175,285,300,312.5,300,725,1,SBD,Raw,23.5-39.5
M,93,89.2,Pierre Shillingford,GL,205,215,225,215,150,160,165,165,250,265,275,275,655,2,SBD,Raw,23.5-39.5
M,93,91.9,Ian Kendrick,EM,220,230,240,240,140,150,150,140,245,255,265,255,635,3,SBD,Raw,23.5-39.5
M,93,90.1,Ian Shaw,NW,212.5,220,230,220,120,125,127.5,127.5,275,285,290,285,632.5,4,SBD,Raw,23.5-39.5
M,93,92.6,Richard Cross,YNE,215,215,220,215,135,142.5,142.5,135,260,280,280,260,610,5,SBD,Raw,23.5-39.5
M,93,92.2,Mustafa Munir,YNE,170,185,190,185,117.5,125,130,125,250,275,275,275,560,6,SBD,Raw,23.5-39.5
M,93,91.8,Steven Cook,SW,180,192.5,195,195,110,122.5,125,122.5,200,222.5,225,225,542.5,7,SBD,Raw,23.5-39.5
M,93,91.9,Ivan Otim ,GL,160,170,175,175,110,115,117.5,117.5,230,250,255,250,542.5,8,SBD,Raw,23.5-39.5
M,105,102.9,Robert Rees,GL,220,235,235,235,155,165,,165,280,310,320,310,710,1,SBD,Raw,23.5-39.5
M,105,102.7,Darrell Brown,NM,215,220,230,220,125,130,135,135,230,245,255,255,610,2,SBD,Raw,23.5-39.5
M,105,101.1,Gary Croft,NM,160,180,185,185,160,160,165,160,200,235,255,255,600,3,SBD,Raw,23.5-39.5
M,105,103.6,Ryan Faldo,GL,205,215,220,220,135,140,140,140,220,232.5,237.5,237.5,597.5,4,SBD,Raw,23.5-39.5
M,120,119.2,Tony Cliffe,EM,270,290,300,300,185,195,202.5,202.5,300,320,,320,822.5,1,SBD,Raw,23.5-39.5
M,120,117.3,Dan Chesham,WM,240,255,262.5,262.5,160,170,172.5,170,290,305,312.5,305,737.5,2,SBD,Raw,23.5-39.5
M,120,114.3,Rhys John,W,255,262.5,267.5,262.5,180,187.5,187.5,180,285,292.5,295,285,727.5,3,SBD,Raw,23.5-39.5
M,120,116.2,Luke Conboy,YNE,260,270,275,270,170,177.5,180.5,177.5,260,270,272.5,272.5,720,4,SBD,Raw,23.5-39.5
M,120,114.9,Matthew Brownhill,NM,220,240,240,220,160,170,170,160,240,260,280,260,640,5,SBD,Raw,23.5-39.5
M,120,111.3,Andy Hutchings,EM,200,215,222.5,222.5,145,150,150,145,240,255,255,255,622.5,6,SBD,Raw,23.5-39.5
M,120,117.7,Jon Askey,WM,220,230,230,220,127.5,137.5,137.5,137.5,230,255,255,255,612.5,7,SBD,Raw,23.5-39.5
M,120,116.8,Aaron Thompson,NM,240,250,250,240,150,160,,150,,,,,,DQ,SBD,Raw,23.5-39.5
M,120+,154.4,Michael Jones,W,275,300,310,310,205,205,220,205,300,315,325,325,840,1,SBD,Raw,23.5-39.5
M,120+,142.9,Matthew Pearce,W,285,285,295,295,195,202,207.5,202,265,280,285,280,777,2,SBD,Raw,23.5-39.5
