Place,Name,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,WeightClassKg,Division,Event,Sex,Equipment
1,Colette Haddon,62.34,140.00,145.00,-150.00,145.00,75.00,-80.00,-80.00,75.00,165.00,170.00,175.50,175.50,395.5,63,Masters 1,SBD,F,Raw
2,Christine Rebello,56.2,117.50,125.00,130.00,130.00,65.00,70.00,-73.00,70.00,147.50,158.00,167.50,167.50,367.5,57,Masters 1,SBD,F,Raw
3,Barbara Claassen,101.96,180.00,187.50,-192.50,187.50,80.00,85.00,90.00,90.00,175.00,182.50,190.50,190.50,468.00,84+,Masters 1,SBD,F,Raw
4,Aysun Cakmak,60.34,120.00,125.00,130.00,130.00,67.50,70.00,-75.00,70.00,140.00,150.00,160.00,160.00,360.00,63,Masters 1,SBD,F,Raw
5,Renate Almekinders-Buurman,91.28,120.00,130.00,145.00,145.00,60.00,65.00,-70.00,65.00,145.00,160.00,175.00,175.00,385.00,84+,Masters 1,SBD,F,Raw
6,Kim Hoetjes,75.78,115.00,120.00,-122.50,120.00,75.00,77.50,-80.00,77.50,110.00,115.00,120.00,120.00,317.5,84,Masters 1,SBD,F,Raw
7,Daniëlle van Ee,78.96,105.00,115.00,120.00,120.00,57.50,-62.50,62.50,62.50,125.00,135.00,-140.00,135.00,317.5,84,Masters 1,SBD,F,Raw
8,Laura Jonker,71.7,-100.00,105.00,-110.00,105.00,50.00,55.00,-60.00,55.00,120.00,130.00,-140.00,130.00,290.00,72,Masters 1,SBD,F,Raw
9,Arleen Meyer,69.98,87.50,92.50,-100.00,92.50,50.00,52.50,-60.00,52.50,100.00,115.00,122.50,122.50,267.5,72,Masters 1,SBD,F,Raw
10,Monique van Galen,59.78,-80.00,-80.00,80.00,80.00,52.50,57.50,-60.00,57.50,105.00,110.00,-117.50,110.00,247.5,63,Masters 1,SBD,F,Raw
11,Wendy van der Gun,68.86,80.00,82.50,87.50,87.50,50.00,-52.50,-52.50,50.00,100.00,105.00,110.00,110.00,247.5,72,Masters 1,SBD,F,Raw
12,Carolien Schouten,50.48,57.50,62.50,67.50,67.50,42.50,45.00,47.50,47.50,72.50,80.00,85.00,85.00,200.00,52,Masters 1,SBD,F,Raw
1,Louise de Jong,62.02,97.50,102.50,107.50,107.50,65.00,-67.50,67.50,67.50,127.50,134.00,140.00,140.00,315.00,63,Masters 2,SBD,F,Raw
1,Job Zeijen,80.66,175.00,187.50,192.50,192.50,110.00,115.00,-117.50,115.00,235.00,247.50,252.50,252.50,560.00,83,Masters 1,SBD,M,Raw
2,Denzil Vreugd,73.78,165.00,-170.00,-170.00,165.00,117.50,125.00,130.00,130.00,195.00,210.00,-215.00,210.00,505.00,74,Masters 1,SBD,M,Raw
3,Gerrit Groen,99.76,175.00,185.00,195.00,195.00,142.50,150.00,-152.50,150.00,195.00,210.00,220.00,220.00,565.00,105,Masters 1,SBD,M,Raw
4,Jeroen Ter Veen,112.82,160.00,175.00,185.00,185.00,90.00,100.00,107.50,107.50,180.00,207.50,222.50,222.50,515.00,120,Masters 1,SBD,M,Raw
5,Eelco Hoetjes,90.32,155.00,-160.00,-160.00,155.00,85.00,87.50,-90.00,87.50,180.00,185.00,-190.00,185.00,427.5,93,Masters 1,SBD,M,Raw
DQ,Fedde Kingma,86.38,150.00,160.00,-170.00,160.00,-107.50,-107.50,-107.50,-107.50,165.00,172.50,180.00,180.00,,93,Masters 1,SBD,M,Raw
1,Jan Kloosterhuis,89.86,170.00,177.50,182.50,182.50,115.00,-120.00,-120.00,115.00,210.00,215.00,217.50,217.50,515.00,93,Masters 2,SBD,M,Raw
2,Fred van Giersbergen,120.00,-200.00,-200.00,200.00,200.00,140.00,150.00,160.00,160.00,210.00,225.00,240.00,240.00,600.00,120,Masters 2,SBD,M,Raw
3,Wim Wamsteeker,129.5,215.00,225.00,230.00,230.00,130.00,135.00,137.50,137.50,242.50,252.50,-260.50,252.50,620.00,120+,Masters 2,SBD,M,Raw
4,Wim Bevers,82.56,150.00,160.00,170.50,170.50,100.00,110.00,-120.50,110.00,190.50,202.50,-212.50,202.50,483.00,83,Masters 2,SBD,M,Raw
5,Ben Epe,72.88,135.00,145.00,-151.00,145.00,-100.00,106.00,-110.00,106.00,170.00,185.00,-199.00,185.00,436.00,74,Masters 2,SBD,M,Raw
6,Manuel Reniers,115.6,-190.00,190.00,205.00,205.00,-100.00,110.00,-120.00,110.00,200.00,220.00,240.50,240.50,555.5,120,Masters 2,SBD,M,Raw
7,Peter Gillies,117.22,-40.00,40.00,60.00,60.00,140.00,145.00,150.00,150.00,170.00,180.00,190.00,190.00,400.00,120,Masters 2,SBD,M,Raw
