Name,Age,Tested,Division,BodyWeightLBS,WeightClassLBS,Squat1LBS,Squat2LBS,Squat3LBS,Squat4LBS,Best3SquatLBS,Bench1LBS,Bench2LBS,Bench3LBS,Bench4LBS,Best3BenchLBS,Deadlift1LBS,Deadlift2LBS,Deadlift3LBS,Deadlift4LBS,Best3DeadiftLBS,TotalLBS,Place,Event,Sex,Equipment,State,,,,,,,,,,
Xavier Colter-Mosiman,22,Yes,Open,305,308,635,655,675,,675,345,370,,,370,585,610,625,,625,1670,1,SBD,M,Wraps,IN,,,,,,,,,,
Bryce  Leipzig,19,Yes,Teen 18-19,162,165,,,,,,235,245,265,,265,340,380,420,,420,685,1,BD,M,Wraps,WI,,,,,,,,,,
Dave Forstner,44,No,Masters 40-49,321.6,SHW,,,,,,-800,-800,,,,,,,,,DQ,,B,M,Multi,MI,,,,,,,,,,
Dave Forstner,44,No,Open,321.6,SHW,,,,,,-800,-800,,,,,,,,,DQ,,B,M,Multi,MI,,,,,,,,,,
John Draher,40,No,Open,260.4,275,,,,,,475,505,520,,520,,,,,,520,1,B,M,Raw,MI,,,,,,,,,,
Bobby Body,41,Yes,Masters 40-49,178.6,181,,,,,,385,405,415,420,415,,,,,,415,1,B,M,Raw,MI,,,,,,,,,,
Bobby Body,41,Yes,Open,178.6,181,,,,,,385,405,415,,415,,,,,,415,1,B,M,Raw,MI,,,,,,,,,,
Charlie Davidson,25,Yes,Open,216,220,,,,,,380,390,405,-430,405,,,,,,405,1,B,M,Raw,WI,,,,,,,,,,
Eddie Ruiz,61,Yes,Master 60-69,195.2,198,,,,,,,,,,,500,535,550,,550,550,1,D,M,Raw,MI,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
