Place,Name,Sex,Event,Division,WeightClassKg,Equipment,BirthYear,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg
1,Helena Gimeno Valero,F,SBD,SNR,57,Raw,1997,54.66,97.5,105.0,110.0,110.0,-52.5,57.5,-62.5,57.5,127.5,132.5,137.5,137.5,305.0
2,Isabel Cerezo Rodriguez,F,SBD,SNR,57,Raw,1998,55.61,77.5,87.5,-100.0,87.5,37.5,42.5,45.0,45.0,110.0,120.0,130.0,130.0,262.5
1,Diego Leiva Carrasco,M,SBD,SNR,74,Raw,1994,72.27,170.0,175.0,180.0,180.0,105.0,112.5,-115.0,112.5,-227.5,227.5,-235.0,227.5,520.0
2,Juan Antonio Ferrer-Egea Navarro,M,SBD,SNR,74,Raw,1996,71.11,160.0,172.5,180.0,180.0,110.0,120.0,-127.5,120.0,175.0,190.0,200.0,200.0,500.0
3,Francisco Javier Sánchez Torrecilla,M,SBD,SNR,74,Raw,1996,69.36,160.0,170.0,175.0,175.0,110.0,115.0,-120.0,115.0,175.0,-190.0,190.0,190.0,480.0
4,Juan Lozano Ruiz,M,SBD,SNR,74,Raw,2001,73.22,130.0,140.0,-145.0,140.0,-95.0,95.0,,95.0,165.0,172.5,185.0,185.0,420.0
5,Miguel Ángel Juan Pérez,M,SBD,SNR,74,Raw,1997,72.95,140.0,-147.5,147.5,147.5,80.0,85.0,90.0,90.0,150.0,160.0,-170.0,160.0,397.5
1,Álvaro Pedro Ponce,M,SBD,SNR,83,Raw,1997,82.36,215.0,227.5,235.0,235.0,130.0,137.5,-145.0,137.5,-255.0,270.0,-285.0,270.0,642.5
2,Moses Crentsil,M,SBD,SNR,83,Raw,1990,82.40,170.0,182.5,200.0,200.0,-125.0,-135.0,135.0,135.0,210.0,240.0,260.0,260.0,595.0
3,Jose David Sánchez Martínez,M,SBD,SNR,83,Raw,1993,82.56,-185.0,185.0,205.0,205.0,130.0,135.0,-140.0,135.0,190.0,212.5,225.0,225.0,565.0
4,Rubén Rivodigo Ordóñez,M,SBD,SNR,83,Raw,2001,80.44,180.0,190.0,-200.0,190.0,97.5,102.5,107.5,107.5,200.0,215.0,-230.0,215.0,512.5
5,Alejandro Pastor Pastor,M,SBD,SNR,83,Raw,1998,78.27,170.0,180.0,190.0,190.0,120.0,130.0,-135.0,130.0,180.0,190.0,-200.0,190.0,510.0
6,Diego Arteaga Martínez,M,SBD,SNR,83,Raw,1995,82.30,-172.5,172.5,185.0,185.0,92.5,97.5,-100.0,97.5,205.0,212.5,220.0,220.0,502.5
7,Juan Carlos Perán Rodríguez de Vera,M,SBD,SNR,83,Raw,1996,80.19,165.0,180.0,-190.0,180.0,102.5,107.5,-112.5,107.5,175.0,187.5,200.0,200.0,487.5
8,Cristopher Pérez Espitaliere,M,SBD,SNR,83,Raw,1998,81.38,165.0,175.0,182.5,182.5,97.5,102.5,107.5,107.5,175.0,187.5,-197.5,187.5,477.5
1,Alejandro Céspedes Plaza,M,SBD,SNR,93,Raw,1998,91.42,-210.0,210.0,,210.0,130.0,-140.0,,130.0,210.0,225.0,235.0,235.0,575.0
2,Eduardo Martínez Marín,M,SBD,SNR,93,Raw,1991,91.03,170.0,182.5,190.0,190.0,130.0,140.0,145.0,145.0,215.0,225.0,-232.5,225.0,560.0
3,Andrés Merino Moreno,M,SBD,SNR,93,Raw,1998,90.97,180.0,190.0,200.0,200.0,115.0,122.5,125.0,125.0,200.0,217.5,230.0,230.0,555.0
4,Guillermo Gómez de Salazar Ramírez,M,SBD,SNR,93,Raw,1992,88.94,140.0,160.0,-180.0,160.0,90.0,-100.0,-100.0,90.0,190.0,220.0,-225.0,220.0,470.0
1,Manuel Meroño Baños,M,SBD,SNR,105,Raw,1990,98.78,182.5,195.0,202.5,202.5,125.0,132.5,-137.5,132.5,-210.0,210.0,220.0,220.0,555.0
2,Alejandro González Cordellat,M,SBD,SNR,105,Raw,1992,102.61,185.0,195.0,-200.0,195.0,115.0,120.0,-125.0,120.0,215.0,225.0,232.5,232.5,547.5
1,Joaquín Vera García,M,SBD,SNR,120,Raw,2001,118.24,-200.0,-200.0,200.0,200.0,100.0,110.0,-120.0,110.0,180.0,200.0,-210.0,200.0,510.0
