Name,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Bench1Kg,Bench2Kg,Bench3Kg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,TotalKg
Harold Escobedo,51.7,52,363,391,-402,292,319,-325,352,391,407,1118
L. Stoudt,51,52,259,286,308,176,192,-203,380,402,435,936
Mansoor Ijaz,52,52,286,314,330,165,176,181,347,374,-396,887
Marc Morshige,56,56,-363,363,-396,236,253,-259,440,451,468,1085
D. DeHart,55.8,56,352,-374,-380,242,259,-264,418,446,457,1069
Steve Snyder,55.3,56,363,-380,-380,209,220,-231,-413,413,-440,997
Ken Trujillo,60,60,435,462,473,220,-236,-236,490,512,-523,1207
C. Lawson,59.3,60,-440,440,-473,-220,220,-236,473,-545,-545,1135
J. Penic,60,60,374,402,-418,253,-270,270,413,440,-457,1113
J. Sylvia,59.4,60,363,391,-407,220,236,242,451,-485,-485,1085
B. Swigart,60,60,-369,391,-413,242,242,259,424,-440,-440,1074
D. Edmonsson,59.9,60,-429,-429,-429,,,,,,,
A. Alexander,59.8,60,385,,,,,,,,,
Bill Cavalier,67.5,67.5,501,-523,-523,264,286,-292,606,633,-666,1421
A. Crooks,67.3,67.5,-507,-507,512,308,330,-341,512,545,-573,1388
Ken Goude,67.3,67.5,473,507,-534,303,319,-330,556,-589,-589,1383
M. Winquist,67.5,67.5,507,540,-556,303,319,-330,496,523,-634,1383
I. Mendoza,67.4,67.5,468,501,-512,341,-363,-369,490,523,-540,1366
B. Wright,67.4,67.5,451,-479,490,242,259,264,540,-578,578,1333
Rich Tsutsui,67.2,67.5,462,-490,-496,385,-402,-402,462,-479,-479,1311
M. Wonyetye,67.3,67.5,446,469,-501,264,-292,-292,501,551,-578,1295
S. Louie,66.7,67.5,-451,-468,-468,,,,,,,
A. Rafael,,67.5,,,,,,,,,,
Mike Roy,74.6,75,-644,644,-666,363,385,-391,556,578,595,1625
R. Sandvold,75,75,-584,584,,374,380,-402,595,617,-655,1592
J. Leeber,73.3,75,551,-584,-584,352,369,-374,540,567,-573,1488
P. Cargni,72.2,75,551,-573,578,330,-347,347,551,-578,,1477
A. Rafael,73.8,75,457,512,-529,391,-418,418,473,518,540,1471
R. Neeley,73.9,75,501,534,551,358,-380,-380,551,-589,,1460
R. Penna,74.5,75,-611,617,-650,363,-380,-380,-600,-600,-600,
D. Gay,74.7,75,595,-622,-622,,,,,,,
H. Hoffman,74.2,75,-622,-622,-622,,,,,,,
S. Kogul,74.8,75,-567,-567,-567,,,,,,,
Pat Pointer,82,82.5,,,,,,,,,,
K. McClaverty,81.7,82.5,,,,,,,,,,
D. Pierce,81.4,82.5,,,,,,,,,,
T. Mossbarger,81.9,82.5,,,,,,,,,,
B. van Haselen,82.8,82.5,,,,,,,,,,
R. Eiden,82.5,82.5,,,,,,,,,,
M. Hayden,82.5,82.5,,,,,,,,,,
B. Sullivan,81.8,82.5,,,,,,,,,,
J. Lem,81.3,82.5,,,,,,,,,,
M. Baird,81.9,82.5,,,,,,,,,,
D. Bullard,82.1,82.5,,,,,,,,,,
C. Johnson,81.7,82.5,,,,,,,,,,
J. Issacson,81.5,82.5,,,,,,,,,,
L. Havelka,82.1,82.5,,,,,,,,,,
K. Horewitch,82.2,82.5,,,,,,,,,,
J. Anderson,82.1,82.5,,,,,,,,,,
D. Morlan,81.7,82.5,,,,,,,,,,
D. Eller,81.9,82.5,,,,,,,,,,
A. Goldberg,81.8,82.5,,,,,,,,,,
L. Mistric,81.6,82.5,,,,,,,,,,
D. Hazelwood,,82.5,,,,,,,,,,
T. Rachwal,,82.5,,,,,,,,,,
J. Walden,81.8,82.5,,,,,,,,,,
Richard Woods,88.2,90,,,,,,,,,,
Marc Caplan,85.9,90,,,,,,,,,,
Kent Bush,88.3,90,,,,,,,,,,
F. Silva,89.4,90,,,,,,,,,,
M. Riedel,89.5,90,,,,,,,,,,
R. Parker,89.2,90,,,,,,,,,,
J. Cribbin,89.2,90,,,,,,,,,,
C. Jones,88.8,90,,,,,,,,,,
R. Beamesderfer,88.7,90,,,,,,,,,,
D. Helgenberger,89.3,90,,,,,,,,,,
B. Coury,89.3,90,,,,,,,,,,
