Name,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Bench1Kg,Bench2Kg,Bench3Kg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,TotalKg
P. Markle,87.3,90,,,,,,,,,,
John Black,89.1,90,,,,,,,,,,
D. Borden,89.5,90,,,,,,,,,,
L. Brosius,88.8,90,,,,,,,,,,
Gabe Stivers,89.1,90,,,,,,,,,,
Kevin Fisher,100,100,,,,,,,,,,
S. Foster,99.1,100,,,,,,,,,,
T. Hamner,97.6,100,,,,,,,,,,
J. Florio,99.5,100,,,,,,,,,,
B. Boland,99.3,100,,,,,,,,,,
G. Gnerre,99.4,100,,,,,,,,,,
P. Whitney,98.3,100,,,,,,,,,,
Kit Carson,100,100,,,,,,,,,,
Charlie Perkins,98.8,100,,,,,,,,,,
D. Bost,99.8,100,,,,,,,,,,
J. Hjorth,98.8,100,,,,,,,,,,
R. Norman,99.4,100,,,,,,,,,,
M. Metchikian,100,100,,,,,,,,,,
M. Morris,99,100,,,,,,,,,,
J. Mize,97.4,100,,,,,,,,,,
D. Sewell,98.3,100,,,,,,,,,,
D. Marshall,97.6,100,,,,,,,,,,
W. Bloom,98.7,100,,,,,,,,,,
P. Brown,99.1,100,,,,,,,,,,
D. Darbenzio,99.4,100,,,,,,,,,,
W. Keppler,99.2,100,,,,,,,,,,
R. Kincaid,99.4,100,,,,,,,,,,
J. Moffat,99.2,100,,,,,,,,,,
Fred Hatfield,103.8,110,,,,,,,,,,
Bennet Clayton,109.4,110,,,,,,,,,,
J. Free,108.8,110,,,,,,,,,,
J. Lawson,109,110,,,,,,,,,,
J. Svitak,108.9,110,,,,,,,,,,
Jeff Magruder,107.3,110,,,,,,,,,,
J. Hawkins,107.7,110,,,,,,,,,,
B. Carlson,107.3,110,,,,,,,,,,
J. Green,108.2,110,,,,,,,,,,
Sam Samniego,108,110,,,,,,,,,,
T. Kunkel,104.6,110,,,,,,,,,,
M. Dent Jr,109.5,110,,,,,,,,,,
T. Thompson,109.4,110,,,,,,,,,,
H. Hitchcock,105,110,,,,,,,,,,
R. Molden,108.8,110,,,,,,,,,,
J. Schaeffer,108,110,,,,,,,,,,
B. Fox,107.8,110,,,,,,,,,,
J. Mutz,106.4,110,,,,,,,,,,
R. Lambert,107.8,110,,,,,,,,,,
W. Morris,109.5,110,,,,,,,,,,
K. Highberger,109.2,110,,,,,,,,,,
K. Delong,,110,,,,,,,,,,
L. Jacobs,108.7,110,,,,,,,,,,
D. Morton,108.4,110,,,,,,,,,,
D. Colangelo,107.2,110,,,,,,,,,,
Jim Drapal,122.4,125,,,,,,,,,,
Lee Moran,116.2,125,,,,,,,,,,
Dave Parks,122.6,125,,,,,,,,,,
J. Houser,142.2,125,,,,,,,,,,
D. Arnold,120.6,125,,,,,,,,,,
T. Habback,120,125,,,,,,,,,,
J. Hjorth,124.5,125,,,,,,,,,,
BW Dunn,118,125,,,,,,,,,,
J. Gentile,120.4,125,,,,,,,,,,
W. Robinson,118.1,125,,,,,,,,,,
D. Atterholt,115.2,125,,,,,,,,,,
Dwayne Fely,153.2,125+,,,,,,,,,,
Durwin Piper,190,125+,,,,,,,,,,
R. Raney,127.6,125+,,,,,,,,,,
A. Pregnar,140,125+,,,,,,,,,,
R. Davis,141.3,125+,,,,,,,,,,
B. Boscaccy,132,125+,,,,,,,,,,
Mike Gollehon,139.5,125+,,,,,,,,,,
Bill Dunn,158.4,125+,,,,,,,,,,
