Place,Name,CyrillicName,BirthYear,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,Deadlift4Kg,TotalKg,Sex,Event,Equipment,Division,WeightClassKg
1,Evgeniya Filippova,Евгения Филиппова,1975,44,90,47.5,115,120,252.5,F,SBD,Single-ply,Open,44
2,Tatyana Tikhonova,Татьяна Тихонова,1977,42.8,80,40,110,,230,F,SBD,Single-ply,Open,44
3,Viktoriya Shcherban,Виктория Щербань,1980,44,75,35,90,,200,F,SBD,Single-ply,Open,44
4,Yana Petrenko,Яна Петренко,1981,36,70,37.5,87.5,,195,F,SBD,Single-ply,Open,44
5,Anna Miroshnichenko,Анна Мирошниченко,1980,42.1,70,27.5,90,,187.5,F,SBD,Single-ply,Open,44
6,Elena Parieva,Елена Париева,1971,43.75,60,35,80,,175,F,SBD,Single-ply,Open,44
1,Natalya Finchenko,Наталья Финченко,1976,48,85,37.5,105,,227.5,F,SBD,Single-ply,Open,48
2,Olga Primakova,Ольга Примакова,1981,46.55,75,57.5,85,,217.5,F,SBD,Single-ply,Open,48
1,Oksana Spiridonova,Оксана Спиридонова,1974,52,125,67.5,135,,327.5,F,SBD,Single-ply,Open,52
2,Elena Bespartochnaya,Елена Беспарточная,1974,52,80,65,132.5,,277.5,F,SBD,Single-ply,Open,52
3,Marina Finchenko,Марина Финченко,1978,51,112.5,47.5,115,,275,F,SBD,Single-ply,Open,52
4,Viktoriya Minyaylo,Виктория Миняйло,1973,50,75,45,100,,220,F,SBD,Single-ply,Open,52
5,Elena Kozina,Елена Козина,1968,51,67.5,50,92.5,,210,F,SBD,Single-ply,Open,52
DQ,Yuliya Bannikova,Юлия Банникова,1977,51.7,,,,,,F,SBD,Single-ply,Open,52
DQ,Svetlana Krasnobryzhaya,Светлана Краснобрыжая,1960,52,,,,,,F,SBD,Single-ply,Open,52
1,Lyudmila Sinkevich,Людмила Синькевич,1970,55.7,140,77.5,170,,387.5,F,SBD,Single-ply,Open,56
2,Natalya Ship,Наталья Шип,1976,56,135,57.5,127.5,,320,F,SBD,Single-ply,Open,56
3,Inna Savyachenko,Инна Савяченко,1971,54.5,95,60,117.5,,272.5,F,SBD,Single-ply,Open,56
4,Lyusena Andresyuk,Люсьена Андресюк,1977,54.15,95,47.5,125,,267.5,F,SBD,Single-ply,Open,56
DQ,Svetlana Poplavskaya,Светлана Поплавская,1966,55.5,,,,,,F,SBD,Single-ply,Open,56
1,Elena Pilipenko,Елена Пилипенко,1977,60,85,47.5,112.5,,245,F,SBD,Single-ply,Open,60
2,Natalya Pavelko,Наталья Павелко,1975,59.1,80,42.5,120,,242.5,F,SBD,Single-ply,Open,60
3,Tatyana Malukha,Татьяна Малуха,1966,56.1,80,50,95,,225,F,SBD,Single-ply,Open,60
1,Irina Dubinina,Ирина Дубинина,1966,67,190,95,185,,470,F,SBD,Single-ply,Open,67.5
2,Elena Miroshnichenko,Елена Мирошниченко,1970,65.5,140,77.5,150,,367.5,F,SBD,Single-ply,Open,67.5
3,Inna Andrievskaya,Инна Андриевская,1975,66.5,110,45,135,,290,F,SBD,Single-ply,Open,67.5
4,Viktoriya Chelpambaeva,Виктория Челпамбаева,1975,65,90,40,115,,245,F,SBD,Single-ply,Open,67.5
1,Elena Sukhetskaya,Елена Сухецкая,1975,75,100,45,125,,270,F,SBD,Single-ply,Open,75
2,Marina Golovatyuk,Марина Головатюк,1977,74.5,105,40,122.5,,267.5,F,SBD,Single-ply,Open,75
1,Anna Ganenko,Анна Ганенко,1975,81.5,155,90,155,,400,F,SBD,Single-ply,Open,82.5
1,Vitaliy Blyk,Виталий Блык,1972,52,122.5,100,160,,382.5,M,SBD,Single-ply,Open,52
2,Sergey Latyshev,Сергей Латышев,1977,52,120,82.5,145,,347.5,M,SBD,Single-ply,Open,52
1,Aleksandr Gromov,Александр Громов,1975,55.55,165,107.5,170,,442.5,M,SBD,Single-ply,Open,56
2,Stanislav Apanasovich,Станислав Апанасович,1962,54.5,127.5,105,140,,372.5,M,SBD,Single-ply,Open,56
1,Stepan Ovcharenko,Степан Овчаренко,1976,59.7,200,117.5,237.5,,555,M,SBD,Single-ply,Open,60
2,Sergey Vatyuk,Сергей Ватюк,1962,59.5,207.5,138.5,205,,550,M,SBD,Single-ply,Open,60
3,Valentin Zubik,Валентин Зубик,1971,59,195,100,190,,485,M,SBD,Single-ply,Open,60
4,Grigoriy Sarkisyan,Григорий Саркисян,1963,59.5,145,100,200,,445,M,SBD,Single-ply,Open,60
5,Andrey Zabozhnyy,Андрей Забожный,1978,60,160,80,170,,410,M,SBD,Single-ply,Open,60
1,Yuriy Vernichenko,Юрий Верниченко,1962,66.5,227.5,160,230,,617.5,M,SBD,Single-ply,Open,67.5
2,Nikolay Zaguday,Николай Загудай,1962,67.5,225,142.5,245,,612.5,M,SBD,Single-ply,Open,67.5
3,Valeriy Kravchenko,Валерий Кравченко,1965,66.4,225,155,230,,610,M,SBD,Single-ply,Open,67.5
4,Petr Kravtsov,Петр Кравцов,1946,66,230,142.5,230,,602.5,M,SBD,Single-ply,Open,67.5
