Name,Sex,Age,Division,Equipment,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Event,Tested,Place
Maria Dowle,F,54,F_MEM_3_AAPF,Multi-ply,73.5,75,122.5,142.5,157.5,157.5,67.5,-75,-75,67.5,115,-125,127.5,127.5,352.5,SBD,Yes,1
Charlene Long,F,39,F_MEM_1_AAPF,Multi-ply,66.9,67.5,82.5,-97.5,-97.5,82.5,47.5,55,57.5,57.5,115,-132.5,132.5,132.5,272.5,SBD,Yes,1
Kristin Vaziri,F,25,F_OEM_AAPF,Multi-ply,62.3,67.5,150,-172.5,-172.5,150,70,-85,85,85,110,-130,130,130,365,SBD,Yes,1
Heather Clegg,F,32,F_OEM_AAPF,Multi-ply,66.9,67.5,87.5,95,-100,95,52.5,57.5,-62.5,57.5,82.5,92.5,100,100,252.5,SBD,Yes,2
Shannon Detman,F,28,F_OEM_AAPF,Multi-ply,94.3,SHW,-227.5,227.5,,227.5,110,125,-137.5,125,165,182.5,185,185,537.5,SBD,Yes,1
Trish Martin,F,42,F_OEM_APF,Multi-ply,67,67.5,122.5,-137.5,-137.5,122.5,72.5,-77.5,-87.5,72.5,120,140,152.5,152.5,347.5,SBD,,1
Heather Clegg,F,32,F_OEM_APF,Multi-ply,66.9,67.5,87.5,95,-100,95,52.5,57.5,-62.5,57.5,82.5,92.5,100,100,252.5,SBD,,2
Linda Gisburne,F,30,F_OEM_APF,Multi-ply,71.3,75,65,70,77.5,77.5,52.5,-57.5,57.5,57.5,85,90,100,100,235,SBD,,1
Greg Zweig,M,50,M_GEM_APF,Multi-ply,81.6,82.5,75,,,75,75,,,75,255,272.5,-277.5,272.5,422.5,SBD,,1
Putt Houston,M,37,M_GEM_APF,Multi-ply,88.9,90,280,290,-297.5,290,185,197.5,207.5,207.5,240,255,-275,255,752.5,SBD,,1
Mike Guthery,M,35,M_GEM_APF,Multi-ply,110,110,252.5,-270,-270,252.5,182.5,-192.5,-192.5,182.5,235,245,-250,245,680,SBD,,1
Kyle Laya,M,19,M_TEM_3_APF,Multi-ply,124.5,125,240,272.5,-285,272.5,145,170,182.5,182.5,-237.5,-250,250,250,705,SBD,,1
Peter Crifase,M,19,M_TEM_3_APF,Multi-ply,87.5,90,160,167.5,182.5,182.5,125,142.5,150,150,215,227.5,240,240,572.5,SBD,,2
Andre Gahan,M,17,M_TEM_2_AAPF,Multi-ply,74.9,75,192.5,230,235,235,122.5,130,-137.5,130,192.5,227.5,235,235,600,SBD,Yes,1
Austin Abel,M,17,M_TEM_2_AAPF,Multi-ply,86.5,90,227.5,-250,-250,227.5,142.5,157.5,165,165,182.5,205,217.5,217.5,610,SBD,Yes,2
Lamar Hooper,M,16,M_TEM_2_AAPF,Multi-ply,82.5,82.5,185,202.5,-227.5,202.5,102.5,107.5,-115,107.5,185,207.5,220,220,530,SBD,Yes,3
Bobby Zabel,M,16,M_TEM_2_AAPF,Multi-ply,60,60,132.5,-152.5,-152.5,132.5,87.5,100,-107.5,100,132.5,142.5,155,155,387.5,SBD,Yes,4
Matt Mammosser,M,16,M_TEM_2_AAPF,Multi-ply,89.9,90,-160,160,192.5,192.5,92.5,102.5,-110,102.5,142.5,172.5,-195,172.5,467.5,SBD,Yes,5
Dan Campbell,M,15,M_TEM_1_AAPF,Multi-ply,67.4,67.5,142.5,160,170,170,52.5,62.5,-70,62.5,-125,140,147.5,147.5,380,SBD,Yes,1
Kyler Collins,M,13,M_TEM_1_AAPF,Multi-ply,61.5,67.5,105,117.5,-130,117.5,60,62.5,65,65,132.5,145,-160,145,327.5,SBD,Yes,2
Max Boone,M,14,M_TEM_1_AAPF,Multi-ply,54.4,56,70,87.5,97.5,97.5,55,67.5,-80,67.5,82.5,97.5,107.5,107.5,272.5,SBD,Yes,3
Gage Lovely,M,13,M_TEM_1_AAPF,Multi-ply,50.9,52,-62.5,62.5,67.5,67.5,45,47.5,-50,47.5,97.5,100,-107.5,100,215,SBD,Yes,4
Corbin Perry,M,21,M_TEM_1_AAPF,Multi-ply,87.7,90,165,192.5,-207.5,192.5,122.5,137.5,-142.5,137.5,195,220,240,240,570,SBD,Yes,1
Matthew Bordenaro,M,19,M_TEM_3_APF,Multi-ply,88,90,-227.5,227.5,-295,227.5,-207.5,-207.5,207.5,207.5,215,232.5,245,245,680,SBD,,1
Antonio Morrison,M,16,M_TEM_2_AAPF,Multi-ply,91.8,100,217.5,-227.5,-227.5,217.5,112.5,125,-137.5,125,205,217.5,227.5,227.5,570,SBD,Yes,1
Jeremy Malec,M,16,M_TEM_2_AAPF,Multi-ply,93.1,100,192.5,-210,210,210,85,107.5,-120,107.5,182.5,215,-227.5,215,532.5,SBD,Yes,2
Sean Raymundo,M,17,M_TEM_2_AAPF,Multi-ply,102.3,110,205,215,227.5,227.5,102.5,107.5,-115,107.5,205,217.5,220,220,555,SBD,Yes,3
AJ Mesik,M,17,M_TEM_2_AAPF,Multi-ply,96.4,100,185,192.5,205,205,90,95,-97.5,95,205,217.5,-220,217.5,517.5,SBD,Yes,4
Michael Reilly Jr,M,17,M_TEM_2_AAPF,Multi-ply,104.3,110,-227.5,-227.5,227.5,227.5,85,120,-142.5,120,127.5,155,182.5,182.5,530,SBD,Yes,5
Ben Pry,M,17,M_TEM_2_AAPF,Multi-ply,107,110,182.5,205,-210,205,127.5,-142.5,-142.5,127.5,182.5,195,200,200,532.5,SBD,Yes,6
Elijah Radakovich,M,17,M_TEM_2_AAPF,Multi-ply,122.7,125,-217.5,-217.5,217.5,217.5,127.5,142.5,150,150,165,182.5,-195,182.5,550,SBD,Yes,7
Brett Jones,M,15,M_TEM_1_AAPF,Multi-ply,88.5,90,-205,-240,240,240,107.5,125,-132.5,125,207.5,215,-227.5,215,580,SBD,Yes,1
Tyler Reitz,M,15,M_TEM_1_AAPF,Multi-ply,78.2,82.5,-200,200,-227.5,200,85,105,-110,105,205,-227.5,227.5,227.5,532.5,SBD,Yes,2
Viktor Nusbaumer,M,15,M_TEM_1_AAPF,Multi-ply,92.7,100,142.5,-160,-160,142.5,82.5,85,92.5,92.5,137.5,152.5,172.5,172.5,407.5,SBD,Yes,3
Jon Jursich,M,23,M_JEM_APF,Multi-ply,123.9,125,237.5,-260,-272.5,237.5,145,165,-182.5,165,235,-255,-255,235,637.5,SBD,,1
Eric Rudolph,M,20,M_JEM_APF,Multi-ply,81.6,82.5,165,172.5,182.5,182.5,102.5,-115,-115,102.5,142.5,162.5,175,175,460,SBD,,2
Seaver Mattison,M,22,M_JEM_APF,Multi-ply,76.1,82.5,275,-285,-297.5,275,-192.5,-192.5,-192.5,,,,,,,SBD,,DQ
