Name,Age,WeightClassKg,BodyweightKg,Tested,Sex,Division,Equipment,Event,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Place
Adrian Eberwine,28,60,59.87,,M,M_OEM_APF,Multi-ply,SBD,300,200,400,900,1
Evan Bauer,14,67.5,63.96,Yes,M,M_TEM_1_AAPF,Multi-ply,SBD,300,160,315,775,1
Mary Conroy,46,75,70.76,,F,F_OR_APF,Raw,D,,135,,135,2
Kathy Wolf,41,75,71.21,,F,F_OR_APF,Raw,D,,155,,155,1
Kathy Wolf,41,75,71.21,,F,F_MR_1_APF,Raw,D,,155,,155,1
Allen McVaney,46,75,74.84,Yes,M,M_MEM_2_AAPF,Multi-ply,SBD,560,370,540,1470,1
Jason Wright,20,82.5,81.19,,M,M_OR_APF,Raw,SBD,,,,0,1
Hunter Huggins,15,90,88.91,,M,M_TEM_1_APF,Multi-ply,SBD,325,200,350,875,1
Steven Wright,20,90,89.81,Yes,M,M_OR_AAPF,Raw,D,,,555,555,1
Steven Wright,20,90,89.81,Yes,M,M_JR_AAPF,Raw,D,,,555,555,1
Cory Edinger,18,90,89.36,,M,M_TEM_3_APF,Multi-ply,SBD,415,315,455,1185,1
Eric Bauer,43,90,89.36,Yes,M,M_MEM_1_AAPF,Multi-ply,SBD,500,370,485,1355,1
Gabe Longworth,30,100,99.79,,M,M_OEM_APF,Multi-ply,B,,,,0,1
Alana Bennington,33,90+,95.71,,F,F_OR_APF,Raw,SBD,400,155,350,905,1
Raymond Wade,24,100,96.62,,M,M_OR_APF,Raw,SBD,465,325,455,1245,2
Brandon Elsen,27,100,99.79,,M,M_OR_APF,Raw,SBD,405,325,520,1250,1
Tony DiLucente,56,100,99.79,,M,M_OR_APF,Raw,SBD,380,305,450,1135,3
Tony DiLucente,56,100,99.79,,M,M_MR_4_APF,Raw,SBD,380,305,450,1135,1
Rusty Bluck,41,110,108.86,,M,M_OEM_APF,Multi-ply,SBD,710,555,525,1790,2
Rusty Bluck,41,110,108.86,,M,M_MEM_1_APF,Multi-ply,SBD,710,555,525,1790,1
Derrick Kinsey,29,110,109.77,,M,M_OR_APF,Raw,SBD,500,245,500,1245,1
Tom Keim,31,110,102.97,Yes,M,M_OEM_AAPF,Multi-ply,SBD,565,400,460,1425,1
Mike Szudarek,42,110,108.41,,M,M_OEM_APF,Multi-ply,SBD,810,475,655,1940,1
Tyres Selmon,23,125,117.48,,M,M_OR_APF,Raw,SBD,545,375,565,1485,1
Tyres Selmon,23,125,117.48,,M,M_JR_APF,Raw,SBD,545,375,565,1485,1
Tommy Nuce,26,125,122.02,,M,M_OR_APF,Raw,SBD,520,360,495,1375,2
Shannon Venezia,29,90+,123.38,,F,F_OR_APF,Raw,SBD,200,95,285,580,2
Edgar Kirk,33,140+,158.76,,M,M_SEM_APF,Multi-ply,B,,500,,500,1
Tommy Dawson,17,140+,150.59,,M,M_TR_2_APF,Raw,D,,,365,365,1
Zach Morris,23,125,119.3,,M,M_JR_APF,Raw,D,,,575,575,1
James McNeill,69,90,89.36,,M,M_MEM_6_APF,Multi-ply,B,,235,,235,1
James McNeill,69,90,89.36,,M,M_MEM_6_APF,Multi-ply,D,,,340,340,1
Jim Wetenhall,,140,136.53,,M,M_MR_4_APF,Raw,B,,320,,320,1
Kathy Wetenhall,,82.5,82.1,,F,F_MEM_5_APF,Multi-ply,B,,220,,220,1
Ray Cairney,,110,109.77,,M,M_OR_APF,Raw,D,,,615,615,1
