Name,Age,Event,Sex,Division,Equipment,BodyweightLBS,WeightClassLBS,Squat1LBS,Squat2LBS,Squat3LBS,Best3SquatLBS,Bench1LBS,Bench2LBS,Bench3LBS,Best3BenchLBS,Deadlift1LBS,Deadlift2LBS,Deadlift3LBS,Best3DeadliftLBS,TotalLBS,Place
Bill Carlough,52,SBD,M,Masters 2,Multi-ply,177,181,405,430,450,450,305,-385,405,405,385,410,445,445,1300,1
Doug Peterson,57,B,M,Masters 2,Raw,241,242,,,,,315,350,370,370,,,,,370,1
Victor Patterson,47,B,M,Masters 2,Raw,382,308+,,,,,405,450,500,500,,,,,500,1
Kaleb Carlson,16,B,M,Teen 2,Raw,148,148,,,,,220,235,245,245,,,,,245,1
Nick Price,16,D,M,Teen 2,Raw,164,165,,,,,,,,,315,345,-385,345,345,1
Pietro Alfano,16,D,M,Teen 2,Raw,186,198,,,,,,,,,350,380,-390,380,380,1
Danny Bridgeman,25,D,M,Novice,Raw,185,198,,,,,,,,,315,405,450,450,450,1
