Place,WeightClassKg,CyrillicName,,,,,,,,,,,,,,,,,,,
1,52,Игорь Артемьев,,1971,Удмуртская,,51.8,180,,132.5,190,,502.5,,,Михайлова Н.В.,,,,,
2,52,Бойков Алексей,,1981,Ивановская,,51.9,215,,112.5,175,,502.5,,,Агинян В.К.,,,,,
3,52,Александр Бойков,,1982,Хабаровский,,50.8,195,,125,150,,470,,,Андрейченко А.,,,,,
1,56,Асабин Фаниль,,1972,Башкортостан,,,,56,,235,,,180.5,,210,,625,,,Ефимов А.А.
2,56,Николай Асабин,,1978,Башкортостан,,,,55.95,,235,,,155,,225,,615,,,Шейко Б.И.
3,56,Максим Тягушев,,,Хабаровский,,,,55.35,,212.5,,,125,,220,,557.5,,,Чернышов В.П.
4,56,Гиззатуллин Андрей,,1977,Кемеровская,,,,56,,215,,,127.5,,197.5,,540,,,Деревянко И.Г.
5,56,Артемьев Фаиль,,1973,Татарстан,,,,55.95,,200,,,115,,205,,520,,,Беляков И.Г.
6,56,Батиев Олег,,1971,Удмуртская,,,,55.35,,192.5,,,145,,180,,517.5,,,Михайлова Н.В.
7,56,Елькин Валерий,,1974,Коми,,,,55.95,,200,,,115,,175,,490,,,Булышев И.А.
8,56,Юрий Елькин,,1981,С-Пб,,,,55.75,,160,,,92.5,,180,,432.5,,,Муминов В.И.
1,60,Равиль Казаков,,1982,Башкортостан,,,57.7,,270,,,190,,,210,670,,,Горшков С.,
2,60,Айрат Закиев,,1981,Татарстан,,,59.95,,260,,,200,,,200,660,,,Бадрутдинов Б.Х.,
3,60,Анатолий Звягинцев,,1978,Коми,,,60,,240,,,165,,,237.5,642.5,,,Агалаков Ю.М.,
4,60,Максим Белобородов,,1983,Кемеровская,,,59.95,,240,,,140,,,230,610,,,Бокарев О.В.,
5,60,Александр Колышкин,,1981,Москва,,,60,,225,,,140,,,230,595,,,Косарев С.М.,
6,60,Петр Запольский,,1980,Хабаровский,,,59.4,,225,,,135,,,225,585,,,Щетина Б.М.,
7,60,Михаил Пеньков,,1983,Орловская,,,60,,210,,,130,,,210,550,,,Мишин Н.Я.,
8,60,Игорь Любаев,,1979,Ростовская,,,59.85,,220,,,120,,,200,540,,,Черников А.В.,
9,60,Денис Варюхин,,1986,Мордовия,,,59.9,,200,,,115,,,192.5,507.5,,,Бикчурин А.Х.,
DQ,60,Сергей Агафонов,,1984,Новгородская,,,58.4,,0,,,-,,,-,-,,,Крикунов Д.М.,
1,67.5,Максим Лапшин,,1979,Казахстан,,,66.8,,310,,,200,,270,,780,,,Куликов М.А.,
2,67.5,Евгений Долгов,,1976,Кемеровская,,,67.05,,285,,,187.5,,285,,757.5,,,Черданцев Ю.В.,
3,67.5,Николай Соколов,,1979,Москва,,,67.45,,300,,,182.5,,275,,757.5,,,Косарев С.М.,
4,67.5,Илья Кокорев,,1973,Ярославская,,,66.45,,255,,,175,,270,,700,,,Кокорнов А.Н.,
5,67.5,Евгений Биктагиров,,1979,Ханты-Манс.,,,67.5,,255,,,182.5,,262.5,,700,,,Подтынный М.Л.,
6,67.5,Виталий Киреев,,1985,Кемеровская,,,67.4,,260,,,152.5,,247.5,,660,,,Валетский И.Б.,
7,67.5,Владимир Пак,,1982,Москва,,,67.45,,245,,,137.5,,260,,642.5,,,Косарев С.М.,
8,67.5,Константин Гирин,,1981,Челябинская,,,65.35,,260,,,170,,200,,630,,,Маркин Н.Н.,
9,67.5,Виктор Черпинский,,1981,Красноярский,,,67.45,,260,,,157.5,,210,,627.5,,,Кортунов В.В.,
10,67.5,Алексей Сайфутдинов,,1984,Башкортостан,,,67,,230,,,140,,230,,600,,,Гадиев Р.Р.,
11,67.5,Максим Нурутдинов,,1982,Иркутская,,,67.2,,285,,,100,,125,,510,,,Котов А.Ю.,
1,75,Виктор Баранов,,1967,Владимирская,74.75,330,185,310,825,,Кузнецов В.,,,,,,,,,
2,75,Иван Калля,,1962,Чувашская,74.45,272.5,185,330,787.5,,Морозов С.,,,,,,,,,
3,75,Сергей Ушаков,,1974,Орловская,74.8,300,200,287.5,787.5,,Шушпанов Н.Н.,,,,,,,,,
4,75,Олег Рябинников,,1978,Москва,75,285,182.5,295,762.5,,Косарев С.М.,,,,,,,,,
5,75,Александр Жевтун,,1980,Хабаровский,74.55,280,165,290,735,,Мулин В.,,,,,,,,,
6,75,Руслан Жадуков,,1983,Оренбургская,74.45,260,162.5,297.5,720,,Баженов Е.А.,,,,,,,,,
7,75,Владимир Маницын,,1982,Новгородская,73.6,290,165,265,720,,Семёнов В.А.,,,,,,,,,
8,75,Алексей Эрнандес-Ортега,,1984,Владимирская,74.6,270,180,270,720,,Храменков С.В.,,,,,,,,,
9,75,Тарас Тарасенко,,1979,Калужская,74.65,295,165,260,720,,Никифоров Л.К.,,,,,,,,,
10,75,Сергей Чурзин,,1981,Саратовская,74.75,270,175,275,720,,Ласориб А.И.,,,,,,,,,
11,75,Александр Матвеев,,1974,Владимирская,74.95,265,172.5,267.5,705,,Жинкин В.,,,,,,,,,
12,75,Сергей Влазнев,,1977,Брянская,74.65,270,200,230,700,,Ермаченко А.,,,,,,,,,
13,75,Антон Пинчук,,1984,Амурская,71.25,270,180,245,695,,Суров В.Д.,,,,,,,,,
14,75,Артем Шипилов,,1980,Иркутская,73.45,250,155,260,665,,Деханов А.С.,,,,,,,,,
15,75,Андрей Горунов,,1970,Кемеровская,74.9,250,170,235,655,,Шабанов А.,,,,,,,,,
16,75,Василий Одинцов,,1984,Кировская,73.3,265,157.5,220,652.5,,Лекомцев А.,,,,,,,,,
