Name,Sex,BodyweightKg,Best3SquatLBS,Best3BenchLBS,Best3DeadliftLBS,TotalLBS,Place,Equipment,Event
Jael Hughes,M,88.9,520,325,530,1375,2,Single-ply,SBD
Gared Beauvais,M,88.6,555,315,490,1360,3,Single-ply,SBD
Chance Sonnier,M,87.1,455,315,420,1190,4,Single-ply,SBD
Brady Davis,M,84.5,385,235,420,1040,5,Single-ply,SBD
Dent Wells,M,86.7,395,220,405,1020,6,Single-ply,SBD
Clarke Turner,M,97,550,300,485,1335,1,Single-ply,SBD
Jordan Aguillard,M,99.3,465,380,435,1280,2,Single-ply,SBD
Trell Dewey,M,98.2,435,300,455,1190,3,Single-ply,SBD
Dylan,M,97.6,405,250,470,1125,4,Single-ply,SBD
Mason Riche,M,93.3,430,245,405,1080,5,Single-ply,SBD
Jacob Fontenot,M,109.6,710,445,575,1730,1,Single-ply,SBD
Grant Spencer,M,122.6,515,355,550,1420,1,Single-ply,SBD
Garrett Bradley,M,122.9,535,340,470,1345,2,Single-ply,SBD
Garrett Madere,M,112.5,535,380,425,1340,3,Single-ply,SBD
Grayson Thompson,M,112.3,465,250,465,1180,4,Single-ply,SBD
Randall Jeansonne,M,138.9,600,325,545,1470,1,Single-ply,SBD
Corey McDavid,M,127.9,515,455,455,1425,2,Single-ply,SBD
Grant Polozolo,M,138,435,230,450,1115,3,Single-ply,SBD
Blasé Courville,M,145.5,730,600,570,1900,1,Multi-ply,SBD
Conlan Hogan,M,155.4,570,320,575,1465,2,Single-ply,SBD
