Place,,,,BirthYear,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg
3,Жуков Юрий,,,1991,71.7,165,172.5,177.5,177.5,110,110,117.5,125,125,190,205,212.5,212.5,515
4,Печенкин Дмитрий,,,1982,74,160,170,180,180,125,125,-132.5,135,135,170,190,-200,190,505
5,Кочин Евгений,,,1985,72.8,130,145,155,155,100,100,-110,-110,100,180,200,205,205,460
6,Морозов Илья,,,1988,72.95,155,165,-170,165,-120,-120,-120,120,120,175,-185,,175,460
7,Томилов Денис,,,1997,74,-130,-145,145,145,105,105,112.5,117.5,117.5,-160,180,-195,180,442.5
8,Зулин Иван,,,1990,72.5,-147.5,155,-165,155,95,95,102.5,-107.5,102.5,-155,165,175,175,432.5
9,Бобров Александр,,,1996,72.05,130,137.5,142.5,142.5,85,85,90,-95,90,150,162.5,170,170,402.5
10,Гольцман Иван,,,1997,72.45,120,130,-137.5,130,110,110,120,-130,120,120,135,150,150,400
11,Усов Дмитрий,,,1994,73.35,125,-135,-135,125,92.5,92.5,-97.5,97.5,97.5,155,165,175,175,397.5
12,Сараев Дмитрий,,,1995,73.6,120,130,-135,130,90,90,95,100,100,145,155,162.5,162.5,392.5
13,Ромадин Иван,,,1991,70.6,105,110,120,120,100,100,110,112.5,112.5,120,-135,145,145,377.5
-,Семин Юрий,,,1999,71.1,-110,-120,-125,-125,70,70,75,-80,75,140,150,160,160,
-,Иванов Вячеслав,,,1975,73.55,-170,175,-190,175,105,105,-110,-110,105,-230,-230,,,
-,Десятов Алексей,,,1992,70.95,,,,,105,105,112.5,-117.5,112.5,,,,-,
-,Меньшиков Роман,,,1982,71.2,-175,-185,-185,-185,140,140,-145,-145,140,205,,,-,
-,Цветков Вадим,,,1991,71.35,,,,,130,130,137.5,-142.5,137.5,,,,-,
