29/06/2018,WPC BENCH EQUIPPED-Kg Results,,,,,,,,,,
Name,Age,Div,BWt (Kg),WtCls (Kg),Bench 1,Bench 2,Bench 3,Bench 4,Coeff Score,Age  & Coeff,Pl-Div-WtCl
YLITALO-JAMES Emma GB master,48,F_M2_ES_WPC,87.2,90,-210,-210,,,0,0,0
YLITALO-JAMES Emma GB,48,F_O_ES_WPC,87.2,90,-210,-210,,,0,0,0
HERMANN Peter SWI,76,M_M8_ES_WPC,80.2,82.5,107.5,112.5,115,,75.5205,141.676458,"1-M_M8_ES_WPC-82,5"
LAINE Tapio FIN,66,M_M6_EM_WPC,120.4,125,-235,-235,-235,,0,0,0
THEUX Didier FRA master,60,M_M5_EM_WPC,87.3,90,210,220,-505,,136.972,183.54248,1-M_M5_EM_WPC-90
CHAVIN GAZALIER Stéphane FRA,57,M_M4_ES_WPC,89.8,90,175,-200.5,-200.5,,107.205,135.93594,1-M_M4_ES_WPC-90
LALOUI Farid FRA,59,M_M4_ES_WPC,96.7,100,165,-170,-170,,97.34175,128.0044013,1-M_M4_ES_WPC-100
GIBSON David GB,51,M_M3_ES_WPC,84.9,90,160,-170,170,-175,108.035,123.916145,1-M_M3_ES_WPC-90
YOUNG Marcus FIN,53,M_M3_ES_WPC,86.4,90,160,170,-177.5,,106.4795,126.071728,2-M_M3_ES_WPC-90
GURINI Stéphane FRA master,53,M_M3_EM_WPC,89.7,90,190,-205,-205,,116.47,137.90048,1-M_M3_EM_WPC-90
YOUNG Marcus FIN mp master,53,M_M3_EM_WPC,86.4,90,170,180,-190,,112.743,133.487712,2-M_M3_EM_WPC-90
TOMSIN Denis FRA,45,M_M2_ES_WPC,74.6,75,155,162.5,-170,,112.328125,118.5061719,1-M_M2_ES_WPC-75
GAINCHE Hervé FRA,46,M_M2_ES_WPC,123.7,125,195,-205,205,,112.12475,119.749233,1-M_M2_ES_WPC-125
LAPICCIRELLA Fabrice FRA,42,M_M1_ES_WPC,82.5,82.5,-155,-155,-155,,0,0,0
DUPIRE Mickael FRA,44,M_M1_ES_WPC,115.1,125,250,-260,260,,144.586,150.803198,1-M_M1_ES_WPC-125
CAMPOS David FRA,23,M_J_ES_WPC,81.2,82.5,160,-165,-165,,104.208,0,"1-M_J_ES_WPC-82,5"
FLAMME Pieter FRA,34,M_O_ES_WPC,89.2,90,250,-260,-260,,153.725,0,1-M_O_ES_WPC-90
PELYKH Roman UKR,32,M_O_EM_WPC,72.2,75,230,-240,-240,,162.9895,0,1-M_O_EM_WPC-75
THEUX Didier FRA,60,M_O_EM_WPC,87.3,90,210,220,-505,,136.972,183.54248,1-M_O_EM_WPC-90
GURINI Stéphane FRA,53,M_O_EM_WPC,89.7,90,190,-205,-205,,116.47,137.90048,2-M_O_EM_WPC-90
YOUNG Marcus FIN,53,M_O_EM_WPC,86.4,90,170,180,-190,,112.743,133.487712,3-M_O_EM_WPC-90
BARROS GAMEIRO Garry FRA,34,M_O_EM_WPC,109.9,110,255,265,-275,,149.26125,0,1-M_O_EM_WPC-110
HOSIO Petteri FIN,39,M_O_EM_WPC,121.7,125,-350,-360,-360,,0,0,0
