28/06/2018,WPC BENCH RAW-Kg Results,,,,,,,,,,
Name,Age,Div,BWt (Kg),WtCls (Kg),Bench 1,Bench 2,Bench 3,Bench 4,Coeff Score,Age  & Coeff,Pl-Div-WtCl
FRASER Simeon FRA,29,M_O_R_WPC,74.7,75,140,150,160,,110.496,0,1-M_O_R_WPC-75
CHAMP Johann FRA,31,M_O_R_WPC,73.6,75,145,152.5,-160,,106.49075,0,2-M_O_R_WPC-75
GODARD Geoffrey FRA,28,M_O_R_WPC,69,75,92.5,-100,-100,,67.973625,0,3-M_O_R_WPC-75
SIMOES Luis POR,36,M_O_R_WPC,82,82.5,180,-195,-195,,116.487,0,"1-M_O_R_WPC-82,5"
WALSH Ben IRL,26,M_O_R_WPC,79.5,82.5,130,140,-145,,92.484,0,"2-M_O_R_WPC-82,5"
FIGUEIREDO Florindo POR,44,M_O_R_WPC,89.9,90,225,232.5,-238,,142.813125,148.9540894,1-M_O_R_WPC-90
SCHERBAKOV Aleksandr MOL,51,M_O_R_WPC,89.2,90,205,215,-217.5,,132.2035,151.6374145,2-M_O_R_WPC-90
BOCKA Merlin FRA,38,M_O_R_WPC,89.3,90,160,167.5,-172.5,,102.937125,0,3-M_O_R_WPC-90
VAZQUEZ RIVERA Roberto ESP,25,M_O_R_WPC,90.2,100,-190,192.5,-200,,117.646375,0,1-M_O_R_WPC-100
DIEU JUSTE Pierre Silas FRA,27,M_O_R_WPC,94.9,100,180,190,-200,,113.4015,0,2-M_O_R_WPC-100
VIRTANEN Jani FIN,22,M_O_R_WPC,97.1,100,180,190,-195,,111.8815,0,3-M_O_R_WPC-100
HAINAK Michaël FRA,27,M_O_R_WPC,92.2,100,180,187.5,-190,,113.25,0,4-M_O_R_WPC-100
AGESILAS Maurice FRA,31,M_O_R_WPC,110,110,200,210,-212.5,,118.125,0,1-M_O_R_WPC-110
BOTTIN Jonathan FRA,30,M_O_R_WPC,106.8,110,190,202.5,-210,,114.908625,0,2-M_O_R_WPC-110
METRISHEV Abdul-Rashid RUS,44,M_O_R_WPC,106.8,110,190,202.5,-210,,114.908625,119.8496959,3-M_O_R_WPC-110
IMPEDUGLIA Gaspare ITA,30,M_O_R_WPC,103.1,110,165,180,182.5,,104.828,0,4-M_O_R_WPC-110
BOSS Daniel SWI,35,M_O_R_WPC,113,125,210,-220,-220,,117.2955,0,1-M_O_R_WPC-125
YLITALO-JAMES Kalle ,35,M_O_R_WPC,127.5,140,190,202.5,210,,113.988,0,1-M_O_R_WPC-140
MESSAI Karim FRA,24,M_O_R_WPC,132.4,140,200,-210,-210,,107.59,0,2-M_O_R_WPC-140
