29/06/2018,WPC DEADLIFT EQUIPPED-Kg Results,,,,,,,,,,
Name,Age,Div,BWt (Kg),WtCls (Kg),Deadlift 1,Deadlift 2,Deadlift 3,Deadlift 4,Coeff Score,Age  & Coeff,Pl-Div-WtCl
YLITALO-JAMES Emma GB,48,F_M2_ES_WPC,87.2,90,160,175,190,-200,144.5805,158.6048085,1-F_M2_ES_WPC-90
PLATEL Sandrine FRA master,43,F_M1_ES_WPC,67.4,67.5,182.5,192.5,200,,180.15,185.73465,"1-F_M1_ES_WPC-67,5"
PLATEL Sandrine FRA,43,F_O_ES_WPC,67.4,67.5,182.5,192.5,200,,180.15,185.73465,"1-F_O_ES_WPC-67,5"
CHAZELLE François FRA,80,M_M9_ES_WPC,86.4,90,182.5,-190,0,,114.308875,234.3331938,1-M_M9_ES_WPC-90
SCHULZE Lothar GER,68,M_M6_ES_WPC,80.5,82.5,120,140,155,,101.53275,160.015614,"1-M_M6_ES_WPC-82,5"
SOCHANSKI Stephan ITA,69,M_M6_ES_WPC,90.2,100,220,246,0,,150.3429,242.052069,1-M_M6_ES_WPC-100
THEUX Didier FRA,60,M_M5_EM_WPC,87.3,90,250,265,-280,,164.989,221.08526,1-M_M5_EM_WPC-90
BRETON Patrick FRA,58,M_M4_ES_WPC,80.3,82.5,240,260,-275,,170.599,220.243309,"1-M_M4_ES_WPC-82,5"
WATKINS Phil GB master,49,M_M2_ES_WPC,89,90,285,305,0,,187.7885,209.0086005,1-M_M2_ES_WPC-90
TEIXERA José POR,47,M_M2_ES_WPC,92.3,100,265,-280,-282.5,,159.96725,173.0845645,1-M_M2_ES_WPC-100
WATKINS Phil GB,49,M_O_ES_WPC,89,90,285,305,0,,187.7885,209.0086005,1-M_O_ES_WPC-90
RAMIL Ahmadov ,30,M_O_ES_WPC,100,100,300,315,330,,191.829,0,1-M_O_ES_WPC-100
IMPEDUGLIA Gaspare ITA,30,M_O_ES_WPC,103.8,110,260,-285,285,,163.29075,0,1-M_O_ES_WPC-110
