26/06/2018,WPC POWER CLASSIC-Kg Results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Age,Div,BWt (Kg),WtCls (Kg), Squat  1, Squat  2, Squat  3, Squat  4,,Bench 1,Bench 2,Bench 3,Bench 4,,Deadlift 1,Deadlift 2,Deadlift 3,Deadlift 4,PL Total,Coeff Score,Age  & Coeff,Pl-Div-WtCl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREGORCIC Erni SLO,42,M_M1_CR_WPC,73.5,75,200,210,220,,,140,145,150,,,230,245,253,,623,435.477,444.18654,1-M_M1_CR_WPC-75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARTIN Richard GB,41,M_M1_CR_WPC,89.9,90,200,222.5,237.5,,,130,145,-155,,,240,257.5,-265,,640,393.12,397.0512,1-M_M1_CR_WPC-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARTINET Flavien FRA,22,M_J_CR_WPC,82.3,82.5,195,-202.5,-202.5,,,130,135,-137.5,,,200,210,-220,,540,348.624,0,"1-M_J_CR_WPC-82,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAU ESTRUCH Marc ESP,23,M_J_CR_WPC,89,90,260,-280,-280,,,-190,-190,-190,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REINOSO FERREIRO Jon Ander ESP,19,M_T3_CR_WPC,67.2,67.5,-170,-185,190,-202.5,,110,115,-120,,,200,210,220,-230,525,394.40625,0,"1-M_T3_CR_WPC-67,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOURME Alexis FRA,19,M_T3_CR_WPC,86,90,210,225,-235,,,125,132.5,-142.5,,,235,250,255,-260,612.5,384.71125,0,1-M_T3_CR_WPC-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLATEL Théo FRA,17,M_T2_CR_WPC,67.5,67.5,-150,150,160,-170,,80,87.5,92.5,,,160,170,180,-185,432.5,323.683,0,"1-M_T2_CR_WPC-67,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KECIRI Tahar FRA,17,M_T2_CR_WPC,81.2,82.5,-165,170,-180,,,105,110,112.5,,,220,230,240,-250,522.5,340.30425,0,"1-M_T2_CR_WPC-82,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CELEGHIN Manuel ITA,26,M_O_CR_WPC,65.5,67.5,140,-160.5,-160.5,,,90,-95,95,,,160,180,-200,,415,318.74075,0,"1-M_O_CR_WPC-67,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIAGO Cyril FRA,25,M_O_CR_WPC,74,75,235,242.5,250,,,130,135,140,,,240,250,-255,,640,445.088,0,1-M_O_CR_WPC-75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
