24/06/2018,AWPC DEADLIFT-Kg Results,,,,,,,,,,
Name,Age,Div,BWt (Kg),WtCls (Kg),Deadlift 1,Deadlift 2,Deadlift 3,Deadlift 4,Coeff Score,Age  & Coeff,Pl-Div-WtCl
PAUZIN Sophia IRL,27,F_O_R_AWPC,54.7,56,110,120,125,,132.975,0,1-F_O_R_AWPC-56
ELLIS Vicky GB,38,F_O_R_AWPC,57.3,60,137.5,145,150,-152.5,153.72,0,1-F_O_R_AWPC-60
WORTHINGTON Robert GB,52,M_M3_R_AWPC,88.4,90,170,182.5,190,,117.439,136.816435,1-M_M3_R_AWPC-90
MILLER JOHN GB,52,M_M3_R_AWPC,99.8,100,160,170,175,,101.815,118.614475,1-M_M3_R_AWPC-100
DU PLESSIS Andrea IRL,53,M_M3_R_AWPC,144,SHW,260,-275,275,,145.13125,171.8354,1-M_M3_R_AWPC-SHW
SHEADER Harry GB,21,M_J_R_AWPC,64.7,67.5,195,210,220,,170.819,0,"1-M_J_R_AWPC-67,5"
PHIPPS Mickael GB,39,M_O_R_AWPC,64.1,67.5,155,-167.5,,,121.35725,0,"1-M_O_R_AWPC-67,5"
