Place,Name,BirthYear,Country,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,WeightClassKg,Division,Sex,Equipment,Event
10,Ronald Tubiniez,1986,VEN,111.41,350,-362.5,-362.5,350,245,-255,-255,245,325,-335,-335,325,920,120,Open,M,Single-ply,SBD
11,John MacDonald,1983,CAN,119.9,320,330,340,340,270,282.5,-287.5,282.5,265,280,290,290,912.5,120,Open,M,Single-ply,SBD
12,Jose Ramirez,1990,MEX,117.57,285,-290,290,290,-227.5,227.5,235,235,230,240,247.5,247.5,772.5,120,Open,M,Single-ply,SBD
13,Ransilu Jayathilake,1986,SRI,115.02,265,280,292.5,292.5,135,150,157.5,157.5,310,-320,-322.5,310,760,120,Open,M,Single-ply,SBD
14,Ishar Singh,1963,IND,106.18,120,150,175,175,150,-160,160,160,120,140,150,150,485,120,Open,M,Single-ply,SBD
DQ,Saifolla Tilyeubyerd,1987,MGL,110.8,-380,-380,-380,,240,-247.5,,240,310,-325,-325,310,,120,Open,M,Single-ply,SBD
DQ,Chimedtseren Bataa,1981,MGL,118.41,-320,-320,-320,,315,322.5,-327.5,322.5,250,,,250,,120,Open,M,Single-ply,SBD
DQ,Ma Campos Murillo Carlos,1979,CRC,119.02,-355,-355,-355,,240,-275,-275,240,-335,342.5,-365,342.5,,120,Open,M,Single-ply,SBD
DQ,Orhan Bilican,1978,BEL,119.72,-430.5,-430.5,-430.5,,,,,,,,,,,120,Open,M,Single-ply,SBD
1,Blaine Sumner,1987,USA,170.62,465,-485,-485,465,365,375,385,385,335,350,-377.5,350,1200,120+,Open,M,Single-ply,SBD
2,Joseph Cappellino,1988,USA,167.44,435,-455,455,455,335,-345,-345,335,-335,335,345,345,1135,120+,Open,M,Single-ply,SBD
3,David Lupac,1991,CZE,146.44,405,425,435,435,315,325,332.5,332.5,330,-352.5,-352.5,330,1097.5,120+,Open,M,Single-ply,SBD
4,Viktor Testsov,1989,UKR,135.03,420,-430,-435,420,340,-350,-350,340,330,-357.5,-357.5,330,1090,120+,Open,M,Single-ply,SBD
5,J.K. Johannsson Julian,1993,ISL,161.43,385,-405,-405,385,295,305,-315,305,340,380,-390,380,1070,120+,Open,M,Single-ply,SBD
6,Robert Valach,1992,SVK,132.64,380,395,402.5,402.5,265,275,-282.5,275,325,350,360,360,1037.5,120+,Open,M,Single-ply,SBD
7,Kenneth Sandvik,1975,FIN,141.45,-380,390,-400,390,340,347.5,-352.5,347.5,290,300,-305,300,1037.5,120+,Open,M,Single-ply,SBD
8,Steve Ringoot,1989,BEL,145.28,-372.5,372.5,382.5,382.5,275,282.5,-287.5,282.5,290,310,320,320,985,120+,Open,M,Single-ply,SBD
9,Jari Martikainen,1975,FIN,144.43,360,-375,375,375,240,245,-250,245,340,360,-370,360,980,120+,Open,M,Single-ply,SBD
10,Ryan Stinn,1981,CAN,141.5,-370,370,385,385,275,-287.5,-287.5,275,275,295,-325,295,955,120+,Open,M,Single-ply,SBD
11,Eumenes Souza,1972,BRA,151.49,-355,355,375,375,245,-260,262.5,262.5,275,290,305,305,942.5,120+,Open,M,Single-ply,SBD
DQ,Jewgenij Kondraschow,1983,GER,140.67,-380,-380,-385,,-287.5,-295,-295,,315,340,,340,,120+,Open,M,Single-ply,SBD
DQ,Magne Baartvedt Hans,1983,NOR,172.31,-415,-415,-415,,-335,335,-345,335,340,350,-352.5,350,,120+,Open,M,Single-ply,SBD
