Name,BodyweighKg,Best3BenchKg,TotalKg,Place,Event,Equipment,Sex
E. Vroegop,56,50,50,1,B,Single-ply,F
B. van Beijnum,60,50,50,1,B,Single-ply,F
M. Spronk,67.5,90,90,1,B,Single-ply,F
J. Mikic,75,92.5,92.5,1,B,Single-ply,F
T. Koppen,75,87.5,87.5,2,B,Single-ply,F
E. VitWout,75,65,65,3,B,Single-ply,F
A. Klok,82.5,77.5,77.5,1,B,Single-ply,F
Tagy Parnian,60,180,180,1,B,Single-ply,M
N. Byl,67.5,100,100,1,B,Single-ply,M
K. Debi,67.5,80,80,2,B,Single-ply,M
Erwin Krokkee,75,160,160,1,B,Single-ply,M
F. Bruijn,75,115,115,2,B,Single-ply,M
M de Jager,75,95,95,3,B,Single-ply,M
M. Haas,75,85,85,4,B,Single-ply,M
Groeneboom,82.5,182.5,182.5,1,B,Single-ply,M
Ab Bruggink,82.5,160,160,2,B,Single-ply,M
Janus Schneider,90,197.5,197.5,1,B,Single-ply,M
M. Hoes,90,190,190,2,B,Single-ply,M
Paul den Ouden,90,150,150,3,B,Single-ply,M
J. Pietersma,90,100,100,4,B,Single-ply,M
A. Kraal,90,95,95,5,B,Single-ply,M
Gene Bell,100,240,240,1,B,Single-ply,M
F. Vuysiman,100,192.5,192.5,2,B,Single-ply,M
D. Vlo Veen,100,180,180,3,B,Single-ply,M
C. Hemming,100,167.5,167.5,4,B,Single-ply,M
C. Schneider,100,165,165,5,B,Single-ply,M
H. Post,100,162.5,162.5,6,B,Single-ply,M
J. Staal,100,155,155,7,B,Single-ply,M
N. Hoedses,100,150,150,8,B,Single-ply,M
P. Bongers,100,147.5,147.5,9,B,Single-ply,M
J. Post,100,137.5,137.5,10,B,Single-ply,M
M. Staal,110,150,150,1,B,Single-ply,M
C. Schermer,110,120,120,2,B,Single-ply,M
J. Kroonkamp,110,,,DQ,B,Single-ply,M
H. Haandriksman,110,,,DQ,B,Single-ply,M
Piebe Faber,125,260,260,1,B,Single-ply,M
G. van Doorn,125,195,195,2,B,Single-ply,M
Ab Mourid,125,182.5,182.5,3,B,Single-ply,M
Ed Pietersma,125,180,180,4,B,Single-ply,M
L. Leowaan,125,175,175,5,B,Single-ply,M
R. Jansen,125,165,165,6,B,Single-ply,M
H. Eelman,125,140,140,7,B,Single-ply,M
J. Beunk,125,,,DQ,B,Single-ply,M
