Name,Division,Equipment,Team,Sex,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Event
Malte Fleissner,Open,Single-ply,AC Siegen,M,109,120,-280,-280,280,280,170,-190,,170,300,320,332.5,332.5,782.5,SBD
Andreas Schlichenmaier,Open,Single-ply,AC Siegen,M,111.25,120,200,-230,250,250,120,140,-160,140,240,260,280,280,670,SBD
Daniel Schneider,Open,Single-ply,AC Siegen,M,111.5,120,180,-200,-210,180,-140,140,155,155,240,250,-262.5,250,585,SBD
Thomas Berger,Masters 2,Raw,Body Aktiv Oberhausen,M,116.7,120,160,170,,170,135,140,145,145,-160,160,185,185,500,SBD
Denis Lenz,Juniors,Raw,KSV Essen 1888,M,116.9,120,172.5,182.5,190,190,127.5,135,140,140,185,200,210,210,540,SBD
Thorsten van den Berg,Open,Raw,KSV Essen 1888,M,118.2,120,230,240,247.5,247.5,140,152.5,157.5,157.5,260,280,-295,280,685,SBD
Igor Nemtsov,Open,Raw,Body Aktiv Oberhausen,M,118.5,120,255,-270,270,270,172.5,180,182.5,182.5,250,265,270,270,722.5,SBD
Patrick Ohleff,Open,Raw,KSV Essen 1888,M,123.1,120+,-220,225,230,230,170,180,185,185,255,-275,-280,255,670,SBD
Anton Elzer,Masters 1,Single-ply,SV Westerholt,M,123.7,120+,-280,280,-300,280,205,212.5,-217.5,212.5,260,-275,,260,752.5,SBD
Michael Jäger,Masters 2,Single-ply,Powerlifting Duisburg,M,135.85,120+,260,275,-290,275,225,240,-265,240,280,305,315,315,830,SBD
