Place,Name,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,WeightClassKg,Division,Event,Sex,Equipment
Joev Ma ,81.9,,205,223,226,,132.5,141,145,,250,260,-271.5,631,1,83,Juniors,SBD,M,Raw
Sietse Bergsma ,81.85,,185,192.5,200,,120,125,-130,,230,240,-250,565,2,83,Juniors,SBD,M,Raw
Wander van der Wal,80.35,,177.5,190,-195,,115,125,-130,,205,220,230,545,3,83,Juniors,SBD,M,Raw
Thomas Verbeek,79.95,,150.0,160.0,172.5,,95.0,102.5,110.0,,170.0,185.0,200.0,482.5,4,83,Juniors,SBD,M,Raw
Daniel Rugge,79.75,,100.0,110.0,115.0,,65.0,72.5,77.5,,130.0,142.5,147.5,340.0,5,83,Juniors,SBD,M,Raw
Bob van den Boogaard,92.20,,230.0,240.0,245.0,,160.0,165.0,-167.5,,260.0,275.0,-282.5,685.0,1,93,Juniors,SBD,M,Raw
Vito Minheere,92.50,,220.0,227.5,232.5,,125.0,132.5,137.5,,280.0,300.0,-315.5,670.0,2,93,Juniors,SBD,M,Raw
Richard Kouwenburgh,92.40,,190.0,197.5,207.5,,140.0,150.0,-152.5,,245.0,255.0,-260.0,612.5,3,93,Juniors,SBD,M,Raw
Vincent Rutjes,88.10,,170.0,180.0,185.0,,100.0,107.5,112.5,,235.0,247.5,-260.0,545.0,4,93,Juniors,SBD,M,Raw
Auke Piers,88.05,,150.0,160.0,170.0,,122.5,132.5,-137.5,,220.0,240.0,-250.0,542.5,5,93,Juniors,SBD,M,Raw
Jip Buwalda,89.45,,140.0,150.0,-157.5,,-115.0,120.0,127.5,,205.0,215.0,222.5,500.0,6,93,Juniors,SBD,M,Raw
Henry de Vries,88.20,,152.5,160,-167.5,,85,90.0,-92.5,,197.5,-210.0,-210.0,447.5,7,93,Juniors,SBD,M,Raw
Alexander Vermetten        ,104.15,,210,230,240,,160,170,-175.5,,260.0,,,670.0,1,105,Juniors,SBD,M,Raw
Math Cuppen,99.50,,-195.0,-197.5,205.0,,150.0,155.0,-160.0,,-232.5,-240.0,240.0,600.0,2,105,Juniors,SBD,M,Raw
Erik Smallegange,96.50,,190.0,200.0,205.0,,122.5,-127.5,127.5,,-200.0,200.0,207.5,540.0,3,105,Juniors,SBD,M,Raw
Mirza van Meerwijk,105.00,,185.0,-192.5,-192.5,,120.0,125.0,-127.5,,200.0,-212.5,-212.5,510.0,4,105,Juniors,SBD,M,Raw
Juanita Hernandez,50.9,,70,-80,-85,,40,45,47.5,,80,95,-102.5,212.5,1,52,Juniors,SBD,F,Raw
Annamarika Jaskowiak,51.1,,45,55,-62.5,,35,45,50,,65,75,85,190,2,52,Juniors,SBD,F,Raw
Eva de Lange,56.5,,90,97.5,102.5,,45,50,-52.5,,115,122.5,127.5,280,1,57,Juniors,SBD,F,Raw
Lenny Gribnau,55.75,,60,70,77.5,,40,-50,50,,90,100,110,237.5,2,57,Juniors,SBD,F,Raw
Arianne Derickx,62.05,,100,110,-115.5,,55,-60,60,,125,132.5,-140,302.5,1,63,Juniors,SBD,F,Raw
Maaike de Vries,71.25,,120,125,130,,72.5,77.5,80.5,,120,127.5,132.5,343,1,72,Juniors,SBD,F,Raw
Diede Vogelzang,69.85,,105,-110,110,,60,-65,-65,,135,140,145,315,2,72,Juniors,SBD,F,Raw
Lora Bosch,77.3,,110,115,120,,60,65,72.5,,130,140,142.5,335,1,84,Juniors,SBD,F,Raw
Angela Wijdenes,79.9,,67.5,-72.5,72.5,,45,47.5,50,,100,105,110,232.5,2,84,Juniors,SBD,F,Raw
Sien Helsloot,72.05,,62.5,67.5,70,,42.5,45,47.5,,82.5,-87.5,87.5,205,3,84,Juniors,SBD,F,Raw
Daniel van Wezel,73.8,,-182.5,185,195,,100,110,115,,185,195,210,520,1,74,Sub-Juniors,SBD,M,Raw
Nathan Verboon,87.9,,152.5,162.5,170,,-80,87.5,92.5,,160,172.5,182.5,445,1,93,Sub-Juniors,SBD,M,Raw
Tom Leijnse,90.1,,110,120,130,,85,97.5,-110,,160,-175,-175,387.5,2,93,Sub-Juniors,SBD,M,Raw
Shawn Hoek,111.5,,195,-205,-210,,125,132.5,137.5,,225,240,250,582.5,1,120,Sub-Juniors,SBD,M,Raw
Fabbio Hu,64.95,,137.5,145,150,,87.5,92.5,95,,162.5,172.5,180,425,1,66,Juniors,SBD,M,Raw
Nicolas Kamp,72.05,,-170,-170,-170,,95,105,-112.5,,190,205,210,,DQ,74,Juniors,SBD,M,Raw
Daniel Schooneveld,73.7,,195,-207.5,-221.5,,80,87.5,92.5,,190,202.5,-210,490,1,74,Juniors,SBD,M,Raw
Rick Verdoes,73.15,,160,170,177.5,,120,125,-127.5,,-185,185,-192.5,487.5,2,74,Juniors,SBD,M,Raw
Patrick Miatimu,72.6,,-165,165,,,85,90,92.5,,200,212.5,-222.5,470,3,74,Juniors,SBD,M,Raw
Benjamin Faal,112.8,,210,-217.5,-217.5,,130,132.5,135,,240,250,257.5,602.5,1,120,Juniors,SBD,M,Raw
Bob Tillemans,118.45,,155,170,-180,,85,-95,95,,190,210,225,490,2,120,Juniors,SBD,M,Raw
