Place,Name,Division,BirthYear,BodyweightKg,Best3BenchKg,WeightClassKg,Sex,CyrillicName,Equipment,Event,TotalKg
DQ,Dmitro Kuzmenko,Juniors,1994,91.25,,93,M,Дмитро Кузьменко,Single-ply,B,
DQ,Igor Dudin,Juniors,1991,92.6,,93,M,Ігор Дудін,Single-ply,B,
DQ,Maxym Veretennikov,Juniors,1993,92.95,,93,M,Максим Веретенніков,Single-ply,B,
1,Dmytro Pavlenko,Juniors,1992,104.6,230,105,M,Дмитро Павленко,Single-ply,B,230
2,Yevgen Vasilyev,Juniors,1993,104.75,230,105,M,Євген Васильєв,Single-ply,B,230
3,Bogdan Vlasov,Juniors,1992,103,212.5,105,M,Богдан Власов,Single-ply,B,212.5
4,Andriy Novak,Juniors,1991,94.7,150,105,M,Андрій Новак,Single-ply,B,150
1,Oleksiy Brezhnev,Juniors,1993,112.95,260,120,M,Олексій Брежнєв,Single-ply,B,260
2,Bogdan Semko,Juniors,1993,111.25,215,120,M,Богдан Семко,Single-ply,B,215
3,Vladislav Bordun,Juniors,1995,106.5,170,120,M,Владислав Бордун,Single-ply,B,170
1,Yelizaveta Ryzhak,Open,1990,46.5,95,47,F,Єлізавета Рижак,Single-ply,B,95
1,Darya Kuzmina,Open,1992,51.25,70,52,F,Дарья Кузьмина,Single-ply,B,70
2,Katerina Grisha,Open,1988,51.45,67.5,52,F,Катерина Гриша,Single-ply,B,67.5
3,Olena Shevlyakova,Open,1987,48.55,60,52,F,Альона Шевлякова,Single-ply,B,60
1,Ganna Gonchar,Open,1993,56.85,130,57,F,Ганна Гончар,Single-ply,B,130
2,Iryna Danylyuk,Open,1971,56.7,112.5,57,F,Ірина Данилюк,Single-ply,B,112.5
3,Yuliya Lenshyna,Open,1985,56.85,85,57,F,Юлія Лєншина,Single-ply,B,85
4,Yana Meleshko,Open,1988,56.9,80,57,F,Яна Мелешко,Single-ply,B,80
5,Nellya Kosenko,Open,1968,57,65,57,F,Нелля Косенко,Single-ply,B,65
1,Irina Vorobyeva,Open,1980,62.35,115,63,F,Ірина Воробйова,Single-ply,B,115
2,Olena Fedorenko,Open,1988,62.35,112.5,63,F,Олена Федоренко,Single-ply,B,112.5
3,Marta Dobryakova,Open,1986,62.4,102.5,63,F,Марта Добрякова,Single-ply,B,102.5
4,Lyubov Derkach,Open,1985,61.25,90,63,F,Любов Деркач,Single-ply,B,90
1,Tetyana Melnyk,Open,1985,63.35,130,72,F,Тетяна Мельник,Single-ply,B,130
2,Marina Zuy,Open,1989,70.55,110,72,F,Марина Зуй,Single-ply,B,110
1,Yelyzaveta Nazina,Open,1988,74.2,130,84,F,Єлізавета Назіна,Single-ply,B,130
2,Oksana Frolova,Open,1990,74.45,65,84,F,Оксана Фролова,Single-ply,B,65
1,Tetyana Belousova,Open,1975,103.35,152.5,84+,F,Тетяна Бєлоусова,Single-ply,B,152.5
1,Igor Garaschenko,Open,1988,59,182.5,59,M,Ігор Гаращенко,Single-ply,B,182.5
1,Ivan Chuprinko,Open,1986,65.9,245,66,M,Іван Чупринко,Single-ply,B,245
2,Mykyta Sukhorutchenko,Open,1995,65.25,150,66,M,Микита Сухорутченко,Single-ply,B,150
1,Oleksandr Shlyakhta,Open,1979,73.9,212.5,74,M,Олександр Шляхта,Single-ply,B,212.5
2,Andriy Balenkov,Open,1981,73.95,212.5,74,M,Андрій Баленков,Single-ply,B,212.5
3,Roman Rossokha,Open,1989,73.55,175,74,M,Роман Россоха,Single-ply,B,175
4,Sergiy Antsybor,Open,1987,73,170,74,M,Сергій Анцибор,Single-ply,B,170
5,Ivan Kaptilov,Open,1986,72.2,160,74,M,Іван Каптілов,Single-ply,B,160
DQ,Vyacheslav Kashpullin,Open,1989,73.95,,74,M,В'ячеслав Кашпулін,Single-ply,B,
1,Andriy Andrushchenko,Open,1987,82.9,260,83,M,Андрій Андрущенко,Single-ply,B,260
2,Roman Akhlestin,Open,1979,82.35,222.5,83,M,Роман Ахлестін,Single-ply,B,222.5
3,Vitaliy Krasnikov,Open,1987,80.7,170,83,M,Віталій Красніков,Single-ply,B,170
DQ,Maxym Lymar,Open,1989,82.5,,83,M,Максим Лимар,Single-ply,B,
1,Andriy Krymov,Open,1985,93,302.5,93,M,Андрій Кримов,Single-ply,B,302.5
2,Volodymyr Bettyar,Open,1984,92.8,295,93,M,Володимир Беттяр,Single-ply,B,295
3,Stanislav Levytskyy,Open,1984,92.75,235,93,M,Станіслав Левицький,Single-ply,B,235
4,Volodimir Zhirniy,Open,1986,87.95,202.5,93,M,Володимир Жирний,Single-ply,B,202.5
5,Oleksiy Shepitko,Open,1983,91.7,190,93,M,Олексій Шепітько,Single-ply,B,190
DQ,Oleksandr Umantsev,Open,1984,91.3,,93,M,Олександр Уманцев,Single-ply,B,
DQ,Andriy Klimets,Open,1990,91.6,,93,M,Андрій Клімець,Single-ply,B,
1,Oleksandr Petrenko,Open,1979,103.65,277.5,105,M,Олександр Петренко,Single-ply,B,277.5
2,Viktor Leskovets,Open,1990,99.7,275,105,M,Віктор Лесковець,Single-ply,B,275
3,Valeriy Melnyk,Open,1987,104.7,262.5,105,M,Валерій Мельник,Single-ply,B,262.5
4,Igor Golubtsov,Open,1986,103.2,260,105,M,Ігор Голубцов,Single-ply,B,260
5,Maxym Oseledchenko,Open,1981,104.95,247.5,105,M,Максим Оселедченко,Single-ply,B,247.5
6,Igor Petorin,Open,1976,104,237.5,105,M,Ігор Петьорін,Single-ply,B,237.5
7,Oleksandr Dudchenko,Open,1990,101.85,220,105,M,Олександр Дудченко,Single-ply,B,220
