Name,State,Country,Division,BodyweightKg,WeightClassKg,BirthYear,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Event,BirthDate,Sex,Equipment,AgeRange
Terrie Redmore,EM,,FR-M2,68.00,69,1970,120.0,125.0,130.0,130.0,67.5,70.0,72.5,72.5,125.0,130.0,135.0,135.0,337.5,2,SBD,,F,Raw,49.5-58.5
Lisa Liddy,YNE,,FR-M2,67.10,69,,-115.0,115.0,120.0,120.0,70.0,75.0,-77.5,75.0,130.0,135.0,140.0,140.0,335.0,3,SBD,,F,Raw,49.5-58.5
Suzanne Shepherd,SW,,FR-M2,67.70,69,1969,95.0,100.0,107.5,107.5,60.0,65.0,-67.5,65.0,130.0,135.0,-137.5,135.0,307.5,4,SBD,,F,Raw,49.5-58.5
Paula Gentle,EM,,FR-M2,66.50,69,1970,100.0,107.5,112.5,112.5,47.5,50.0,-52.5,50.0,125.0,135.0,140.0,140.0,302.5,5,SBD,,F,Raw,49.5-58.5
Rebecca Allen,NW,,FR-M1,73.80,76,,150.0,-160.0,160.0,160.0,70.0,72.5,75.0,75.0,160.0,-170.0,170.0,170.0,405.0,1,SBD,,F,Raw,39.5-48.5
Ajanta Hilton,EM,,FR-M1,73.30,76,,-132.5,132.5,142.5,142.5,67.5,70.0,72.5,72.5,155.0,162.5,167.5,167.5,382.5,2,SBD,,F,Raw,39.5-48.5
Sam Hines,EM,,FR-M1,73.10,76,,120.0,127.5,135.0,135.0,60.0,65.0,-70.0,65.0,155.0,172.5,-182.5,172.5,372.5,3,SBD,,F,Raw,39.5-48.5
Catherine Woodward,NM,,FR-M1,73.40,76,,135.0,140.0,-145.0,140.0,75.0,80.0,-85.0,80.0,140.0,150.0,-162.5,150.0,370.0,4,SBD,,F,Raw,39.5-48.5
Jennifer Aulman,WM,,FR-M1,74.10,76,,90.0,100.0,105.0,105.0,50.0,55.0,57.5,57.5,120.0,130.0,135.0,135.0,297.5,5,SBD,,F,Raw,39.5-48.5
Joy Mineo,NM,,FR-M2,72.70,76,,-110.0,110.0,-115.0,110.0,70.0,75.0,77.5,77.5,150.0,155.0,160.0,160.0,347.5,1,SBD,,F,Raw,49.5-58.5
Fenella Bashiri,YNE,,FR-M2,74.70,76,,115.0,122.5,-127.5,122.5,65.0,-70.0,-70.0,65.0,110.0,120.0,130.0,130.0,317.5,2,SBD,,F,Raw,49.5-58.5
Sue Giles,NM,,FR-M3,74.50,76,,95.0,105.0,110.0,110.0,52.5,55.0,57.5,57.5,110.0,120.0,-125.0,120.0,287.5,1,SBD,,F,Raw,59.5-68.5
Lisa Grant,NW,,FR-M1,81.50,84,1977,110.0,120.0,130.0,130.0,60.0,62.5,-67.5,62.5,175.0,185.0,-192.5,185.0,377.5,1,SBD,,F,Raw,39.5-48.5
Kelly Phasey,WM,,FR-M1,83.20,84,1976,130.0,135.0,140.0,140.0,70.0,75.0,80.0,80.0,135.0,145.0,155.0,155.0,375.0,2,SBD,,F,Raw,39.5-48.5
Lucy Hyde,SE,,FR-M1,83.00,84,1979,115.0,122.5,-125.0,122.5,87.5,-90.0,90.0,90.0,147.5,157.5,160.0,160.0,372.5,3,SBD,,F,Raw,39.5-48.5
Jodi Weaver,NM,,FR-M1,81.40,84,1977,130.0,-135.0,135.0,135.0,65.0,67.5,70.0,70.0,125.0,-130.0,130.0,130.0,335.0,4,SBD,,F,Raw,39.5-48.5
Georgina Hazell,EM,,FR-M2,81.90,84,1969,130.0,140.0,150.0,150.0,85.0,90.0,95.0,95.0,175.0,182.5,190.0,190.0,435.0,1,SBD,,F,Raw,49.5-58.5
Amelia Allen,SW,,FR-M2,78.90,84,1970,145.0,-155.0,155.0,155.0,95.0,100.0,,100.0,160.0,170.0,-175.0,170.0,425.0,2,SBD,,F,Raw,49.5-58.5
Hira Teirney,SW,,FR-O,83.00,84,1982,162.5,172.5,177.5,177.5,87.5,-92.5,-92.5,87.5,202.5,212.5,222.5,222.5,487.5,1,SBD,,F,Raw,
Helen Ferguson-Ford,,Scotland,FR-M1,132.00,84+,,180.0,190.0,-197.5,190.0,95.0,100.0,-102.5,100.0,180.0,190.0,-195.0,190.0,480.0,1,SBD,,F,Raw,39.5-48.5
Joanne Parkin,,Scotland,FR-M1,125.70,84+,,145.0,155.0,-165.0,155.0,85.0,90.0,-95.0,90.0,190.0,-200.0,-200.0,190.0,435.0,2,SBD,,F,Raw,39.5-48.5
Meg Robertson,NM,,FR-M1,100.00,84+,,135.0,145.0,152.5,152.5,75.0,80.0,82.5,82.5,157.5,170.0,180.0,180.0,415.0,3,SBD,,F,Raw,39.5-48.5
Elizabeth Cromwell,GL,,FR-M1,90.00,84+,,-125.0,125.0,130.0,130.0,65.0,67.5,-70.0,67.5,145.0,152.5,160.0,160.0,357.5,4,SBD,,F,Raw,39.5-48.5
Carol Taylor,,Wales,FR-M1,104.90,84+,,137.5,145.0,-150.0,145.0,57.5,60.0,-62.5,60.0,135.0,145.0,-155.0,145.0,350.0,5,SBD,,F,Raw,39.5-48.5
Jo Whiteley,NM,,FR-M2,116.80,84+,,160.0,170.0,175.0,175.0,95.0,97.5,-100.0,97.5,180.0,190.0,-197.5,190.0,462.5,1,SBD,,F,Raw,49.5-58.5
Betty Gray,SE,,FR-M2,103.20,84+,,120.0,127.5,132.5,132.5,70.0,75.0,77.5,77.5,180.0,200.0,210.0,210.0,420.0,2,SBD,,F,Raw,49.5-58.5
Gillian Lomax,NW,,FR-M2,102.10,84+,,130.0,135.0,140.0,140.0,75.0,-80.0,80.0,80.0,155.0,160.0,165.0,165.0,385.0,3,SBD,,F,Raw,49.5-58.5
