WeightClassKg,Name,Event,Equipment,Sex,Country,Division,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Best3DeadliftKg,TotalKg,Place
44,Anezka Machalkova,B,Multi-ply,F,Slovenia,Open,,52.5,55.5,60,61,60,,60,1
56,Yveline Dujardin,B,Multi-ply,F,Belgium,40-44,,85,90,-95,,90,,90,1
56,Martine Camail,B,Multi-ply,F,France,45-49,,-42.5,47.5,50,,50,,50,1
56,Karin Heindl,B,Multi-ply,F,Austria,45-49,,35,40,42.5,,42.5,,42.5,2
56,Marie L. Hellal,B,Multi-ply,F,France,Open,,70,-75,75,,75,,75,1
60,Virpi Pekkila,B,Multi-ply,F,Finland,Open,,98.5,102.5,108,-110,108,,108,1
67.5,Angelika Morawski,B,Multi-ply,F,Germany,Open,,90,95,100,102.5,100,,100,1
75,Astrid Schröder,B,Multi-ply,F,Germany,45-49,,62.5,67.5,-70,,67.5,,67.5,1
75,Monika Högg,B,Multi-ply,F,Austria,60-64,,47.5,50,52.5,55,52.5,,52.5,1
75,Michaela Zimmer,B,Multi-ply,F,Austria,Open,,130,137.5,-143,,137.5,,137.5,1
90,Lidia Makowska,B,Multi-ply,F,Poland,junior,,85,90,92.5,,92.5,,92.5,1
90,Ingeburg Hagge,B,Multi-ply,F,Germany,50-54,,85,90,93.5,,93.5,,93.5,1
90,Tarja Rantanen,B,Multi-ply,F,Finland,Open,,115,162.5,170,,170,,170,1
90+,Daisy Houthuys,B,Multi-ply,F,Belgium,18-19,,45,50,52.5,,52.5,,52.5,1
75,Marc Schröder,B,Multi-ply,M,Germany,13-15,,75,77.5,-82.5,,77.5,,77.5,1
82.5,Mateusz Skowron,B,Multi-ply,M,Poland,13-15,,110,-120,125,,125,,125,1
82.5,Vladislav Gacik,B,Multi-ply,M,Slovenia,13-15,,110,115,118,120,118,,118,2
67.5,Roman Galbavy,B,Multi-ply,M,Slovenia,16-17,,95,100,103,-105,103,,103,1
82.5,Michal Krajci,B,Multi-ply,M,Slovenia,16-17,,95,100,-105,,100,,100,1
60,Vjaceslavs Trofimous,B,Multi-ply,M,Latvia,18-19,,85,100,-105,,100,,100,1
100,Unsual Mardanov,B,Multi-ply,M,Azerbaijan,18-19,,150,165,175.5,-180,175.5,,175.5,1
52,Michails Sabarovs,B,Multi-ply,M,Latvia,Junior,,90,105.5,,,105.5,,105.5,1
75,Samir Shiraliyev,B,Multi-ply,M,Azerbaijan,Junior,,150,160,,,160,,160,1
82.5,Uldis Ļaudāms,B,Multi-ply,M,Latvia,Junior,,170,,,,170,,170,1
