Name,Age,Sex,Division,Equipment,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Event,Place
Tom Martin,,M,M_O_C_BPU,Wraps,108.1,110,330,350,-360,350,192.5,202.5,207.5,207.5,350,385,400,400,957.5,SBD,1
Tim Hopwood,,M,M_O_C_BPU,Wraps,114.6,125,225,240,265,265,145,155,160,160,250,275,280,280,705,SBD,2
Luke Davies,,M,M_O_C_BPU,Wraps,111.7,125,240,245,260,260,150,,,150,300,330,-340,330,740,SBD,1
Tom Shaw,,M,M_O_C_BPU,Wraps,133.7,140,220,250,260,260,140,160,-180,160,320,340,360,360,780,SBD,1
Kurt Beech,,M,M_O_M_BPU,Multi-ply,89.7,90,235,245,255,255,165,-170,182.5,182.5,235,250,-260,250,687.5,SBD,1
Andrew Cairney,,M,M_O_M_BPU,Multi-ply,128,140,380,,,380,260,-280,,260,310,-332.5,332.5,332.5,972.5,SBD,1
Steve Mcneil,,M,M_O_M_BPU,Multi-ply,141.2,140+,,,,,-365,-365,,,,,,,,B,DQ
Michael Phipps,,M,M_O_R_ABPU,Raw,64.5,67.5,-102.5,102.5,110,110,82.5,90,,90,122.5,,,122.5,322.5,SBD,2
Dan Clarkson,,M,M_O_R_ABPU,Raw,65.9,67.5,140,147.5,-152.5,147.5,100,107.5,112.5,112.5,180,190,-200,190,450,SBD,1
Andy Gregory,,M,M_O_R_ABPU,Raw,73.1,75,150,160,165,165,107.5,115,-120,115,200,210,220,220,500,SBD,4
Sohail Rashid,,M,M_O_R_ABPU,Raw,74.1,75,150,162.5,170,170,115,120,125,125,200,-210,215,215,510,SBD,3
Sean Kilbride,,M,M_O_R_ABPU,Raw,74.1,75,175,182.5,190,190,132.5,140,142.5,142.5,200,210,-215,210,542.5,SBD,2
Christopher Lindley,,M,M_O_R_ABPU,Raw,74.7,75,190,202.5,-205,202.5,120,125,127.5,127.5,215,225,237.5,237.5,567.5,SBD,1
Matthew Robinson,,M,M_O_R_ABPU,Raw,80.1,82.5,170,180,-190,180,100,-105,105,105,220,230,-242.5,230,515,SBD,1
Tomasz Kuc,,M,M_O_R_ABPU,Raw,88.6,90,-100,100,110,110,50,60,70,70,130,-140,-140,130,310,SBD,4
Paul Craven,,M,M_O_R_ABPU,Raw,87.9,90,120,-140,150,150,115,120,-125,120,210,220,-225,220,490,SBD,3
Martin Cockcroft,,M,M_O_R_ABPU,Raw,89.5,90,170,185,-195,185,130,140,-150,140,190,205,215,215,540,SBD,2
Andrew Barber,,M,M_O_R_ABPU,Raw,87.9,90,185,195,207.5,207.5,155,160,165,165,215,225,-232.5,225,597.5,SBD,1
Imran Khan,,M,M_O_R_ABPU,Raw,98.3,100,175,190,205,205,117.5,125,130,130,210,225,235,235,570,SBD,1
Oliver Welch,,M,M_O_R_BPU,Raw,82.2,82.5,200,210,220,220,145,152.5,160,160,230,240,250,250,630,SBD,3
Stuart Lorne,,M,M_O_R_BPU,Raw,99.8,100,190,205,215,215,-125,130,140,140,240,255,270,270,625,SBD,2
Christian Murphy,,M,M_O_R_BPU,Raw,96.9,100,230,245,260,260,140,150,155,155,240,260,280,280,695,SBD,1
Wylie Sung,,M,M_O_R_BPU,Raw,94,100,220,230,245,245,142.5,152.5,160,160,280,295,310,310,715,SBD,1
Andrzej Roszkowski,,M,M_O_R_BPU,Raw,107.2,110,265,-285,-285,265,,,,,,,,,,SBD,DQ
Jack Coyne,,M,M_O_R_BPU,Raw,124.8,125,,,,,170,185,-195,185,,,,,185,B,1
Jack Coyne,,M,M_O_R_BPU,Raw,124.8,125,,,,,,,,,240,255,-270,255,255,D,1
Jack Coyne,,M,M_O_R_BPU,Raw,124.8,125,220,235,250,250,170,185,-195,185,240,255,-270,255,690,SBD,2
Alexander Clarke,,M,M_O_R_BPU,Raw,122.5,125,240,260,270,270,192.5,210,217.5,217.5,310,340,355,355,842.5,SBD,1
Martin Lewis,,M,M_O_R_BPU,Raw,134.3,140,190,207.5,215,215,145,155,-172.5,155,240,250,-275,250,620,SBD,1
Yahya Mohammed,,M,M_T3_C_ABPU,Wraps,73.7,75,120,130,135,135,85,-95,-95,85,145,-155,160,160,380,SBD,1
