Place,Name,Division,Country,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Squat4Kg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Bench4Kg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,Deadlift4Kg,TotalKg,WeightClassKg,Sex,Equipment,Event,Age,Tested
1,Christine Clark,F_MR_3_AWPC,UK,73.75,80,90,95,95,-100,42.5,45,-47.5,45,,110,122.5,130,130,135,270,75,F,Raw,SBD,52,Yes
1,Julene Adams,F_MCR_2_AWPC,USA,54.85,115,122.5,125,125,,57.5,60,-62.5,60,,130,137.5,138.5,138.5,-140,323.5,56,F,Wraps,SBD,45,Yes
1,Robin Miller,F_MCR_2_AWPC,USA,59.15,90,100,-110,100,,65,70,72.5,72.5,75,140,148,-157.5,148,,320.5,60,F,Wraps,SBD,49,Yes
1,Elena Kudryashova,F_MR_2_AWPC,Russia,51.95,75,80,85,85,90,55,60,-65,60,,105,115,125,125,,270,52,F,Raw,SBD,45,Yes
1,Brenda Bowen,F_MR_2_AWPC,USA,88.25,115,127.5,-132.5,127.5,,60,70,72.5,72.5,75,115,130,142.5,142.5,145,342.5,90,F,Raw,SBD,47,Yes
1,Melinda Fischl,F_MR_2_AWPC,USA,103,130,140,147.5,147.5,-155,65,70,75,75,,150,160,172.5,172.5,,395,90+,F,Raw,SBD,47,Yes
1,Rebecca Tarlton ,F_MR_1_AWPC,USA,133.7,77.5,-85,85,85,,57.5,60,-62.5,60,,107.5,115,120,120,,265,90+,F,Raw,SBD,42,Yes
1,Robyn Herrick,F_SCR_AWPC,USA,77.75,115,120,122.5,122.5,,67.5,72.5,75,75,-77.5,115,-120,120,120,,317.5,82.5,F,Wraps,SBD,36,Yes
1,Finley O'Neal,F_TES_2_AWPC,USA,88.8,125,150,-182.5,150,,72.5,-85,-92.5,72.5,,115,130,137.5,137.5,-142.5,360,90,F,Single-ply,SBD,16,Yes
1,Isabella Birket,F_TCR_2_AWPC,USA,49.5,80,-87.5,87.5,87.5,-92.5,35,-40,40,40,-42.5,67.5,77.5,-82.5,77.5,,205,52,F,Wraps,SBD,17,Yes
1,Gabriella Charlebois,F_TR_2_AWPC,USA,49.25,-70,-70,70,70,,45,50,-53,50,,75,82.5,92.5,92.5,,212.5,52,F,Raw,SBD,16,Yes
1,Lillianna Meehan Bain,F_TR_1_AWPC,USA,49,45,50,57.5,57.5,,30,35,-40,35,,70,90,-107.5,90,,182.5,52,F,Raw,SBD,13,Yes
1,Gemma Wright,F_OES_AWPC,UK,80.7,195,-205,205,205,-210,-105,105,-112.5,105,,150,160,170.5,170.5,,480.5,82.5,F,Single-ply,SBD,26,Yes
1,Gillian Tedeschi,F_OCR_AWPC,USA,55.4,122.5,130,-137.5,130,,-62.5,62.5,-67.5,62.5,,157.5,167.5,177.5,177.5,-182.5,370,56,F,Wraps,SBD,31,Yes
2,Julene Adams,F_OCR_AWPC,USA,54.85,115,122.5,125,125,,57.5,60,-62.5,60,,130,137.5,138.5,138.5,-140,323.5,56,F,Wraps,SBD,45,Yes
1,Nicola Burroughs,F_OCR_AWPC,UK,73.8,150,160,-167.5,160,,77.5,-82.5,82.5,82.5,,160,180,-190,180,,422.5,75,F,Wraps,SBD,36,Yes
1,Robyn Herrick,F_OCR_AWPC,USA,77.75,115,120,122.5,122.5,,67.5,72.5,75,75,-77.5,115,-120,120,120,,317.5,82.5,F,Wraps,SBD,36,Yes
DQ,Viv Dickinson,F_OCR_AWPC,UK,89.85,-152.5,-152.5,-152.5,,,62.5,67.5,-72.5,67.5,,120,127.5,-132.5,127.5,,,90,F,Wraps,SBD,38,Yes
1,Shalynn McCauley,F_OCR_AWPC,Canada,104.85,140,150,157.5,157.5,,65,77.5,82.5,82.5,,145,-162.5,-162.5,145,,385,90+,F,Wraps,SBD,25,Yes
1,Holly Davis,F_OR_AWPC,UK,51,-95,95,-102.5,95,,47.5,-52.5,-52.5,47.5,,-135,-135,135,135,,277.5,52,F,Raw,SBD,31,Yes
2,Gabriella Charlebois,F_OR_AWPC,USA,49.25,-70,-70,70,70,,45,50,-53,50,,75,82.5,92.5,92.5,,212.5,52,F,Raw,SBD,16,Yes
3,Lillianna Meehan Bain,F_OR_AWPC,USA,49,45,50,57.5,57.5,,30,35,-40,35,,70,90,-107.5,90,,182.5,52,F,Raw,SBD,13,Yes
1,Cheska Webb,F_OR_AWPC,UK,57.2,60,77.5,87.5,87.5,,45,52.5,-60,52.5,,127.5,135,-145,135,,275,60,F,Raw,SBD,33,Yes
1,Cathy Miller,F_OR_AWPC,USA,63.45,110,-115,115,115,,55,-57.5,-57.5,55,,125,130,-137.5,130,,300,67.5,F,Raw,SBD,50,Yes
1,Laura Smith #1,F_OR_AWPC,UK,70.45,125,135,-145,135,,67.5,70,-72.5,70,,145,157.5,-162.5,157.5,,362.5,75,F,Raw,SBD,37,Yes
2,Katie Rourke,F_OR_AWPC,UK,74.85,117.5,127.5,-132.5,127.5,,62.5,67.5,-72.5,67.5,,145,155,-160,155,,350,75,F,Raw,SBD,24,Yes
1,Rose Pope,F_OR_AWPC,UK,88.7,125,130,135,135,,57.5,62.5,65,65,,135,145,-150,145,,345,90,F,Raw,SBD,28,Yes
2,Brenda Bowen,F_OR_AWPC,USA,88.25,115,127.5,-132.5,127.5,,60,70,72.5,72.5,75,115,130,142.5,142.5,145,342.5,90,F,Raw,SBD,47,Yes
1,Lucinda Perrett,F_OR_AWPC,UK,128.5,-130,130,145,145,,75,80,-82.5,80,,160,170,-180,170,,395,90+,F,Raw,SBD,27,Yes
2,Rebecca Tarlton ,F_OR_AWPC,USA,133.7,77.5,-85,85,85,,57.5,60,-62.5,60,,107.5,115,120,120,,265,140+,F,Raw,SBD,42,Yes
1,Brian Lee Pittman,M_MR_3_AWPC,USA,88.2,87.5,92.5,97.5,97.5,,85,97.5,100,100,,110,125,-137.5,125,,322.5,90,M,Raw,SBD,53,Yes
1,Aidan Fallon,M_JR_AWPC,USA,79.2,67.5,82.5,97.5,97.5,,57.5,72.5,-85,72.5,,95,117.5,-137.5,117.5,,287.5,82.5,M,Raw,SBD,21,Yes
1,Tyler Chambers,M_JR_AWPC,USA,89.7,145,157.5,167.5,167.5,,85,97.5,110,110,-115,152.5,167.5,187.5,187.5,-192.5,465,90,M,Raw,SBD,21,Yes
1,Tristen Bresnahan,M_TR_3_AWPC,USA,82,167.5,175,180,180,182.5,92.5,105,107.5,107.5,110,170,195,200,200,207.5,487.5,82.5,M,Raw,SBD,19,Yes
1,Tony LaPorte,M_OR_AWPC,USA,73.65,62.5,-75,87.5,87.5,,52.5,62.5,-67.5,62.5,,70,80,85,85,,235,75,M,Raw,SBD,32,Yes
1,Tristen Bresnahan,M_OR_AWPC,USA,82,167.5,175,180,180,182.5,92.5,105,107.5,107.5,110,170,195,200,200,207.5,487.5,82.5,M,Raw,SBD,19,Yes
1,Jackson Ware,M_OR_AWPC,USA,90.1,87.5,102.5,-110,102.5,,67.5,72.5,75,75,,125,137.5,150,150,160,327.5,100,M,Raw,SBD,24,Yes
1,Cameron Randall Neely,M_OR_AWPC,USA,132.25,145,157.5,167.5,167.5,,67.5,72.5,75,75,,105,117.5,122.5,122.5,,365,140,M,Raw,SBD,29,Yes
1, Joshua Scott Myers,M_OR_AWPC,USA,145,192.5,207.5,217.5,217.5,,85,-102.5,-102.5,85,,-180,-180,180,180,,482.5,140+,M,Raw,SBD,31,Yes
1,William Roberts,M_MCR_8_AWPC,USA,107.2,62.5,75,,75,,75,82.5,,82.5,,102.5,115,,115,,272.5,110,M,Wraps,SBD,76,Yes
1,William Roberts,M_MR_8_AWPC,USA,107.2,62.5,75,,75,,75,82.5,,82.5,,102.5,115,,115,,272.5,110,M,Raw,SBD,76,Yes
1,Mike Wider,M_MR_7_AWPC,USA,65.3,100,112.5,123,123,,52.5,62.5,-70,62.5,,167.5,182.5,190.5,190.5,,376,67.5,M,Raw,SBD,71,Yes
