Name,Sex,Division,WeightClassKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Place,Tested,Equipment
John Mulvey,M,M_MR_2_AAPF,100,122.47,183.7,306.17,1,Yes,Raw
Aaron Gaines,M,M_JR_AAPF,110,111.13,226.8,337.93,1,Yes,Raw
Micky McCormick,M,M_OR_AAPF,125,147.42,197.31,344.73,1,Yes,Raw
Mike Fowler,M,M_MR_4_AAPF,140,127.01,204.12,331.12,1,Yes,Raw
David Viors,M,M_MR_3_AAPF,82.5,165.56,,165.56,1,Yes,Raw
Tom Murphy,M,M_MR_3_AAPF,100,147.42,,147.42,1,Yes,Raw
Mark Lessman,M,M_OEM_AAPF,110,249.48,,249.48,1,Yes,Multi-ply
Greg Norris,M,M_OEM_AAPF,125,201.85,,201.85,1,Yes,Multi-ply
Micky McCormick,M,M_OR_AAPF,125,147.42,,147.42,1,Yes,Raw
Hugh Henry,M,M_MR_6_AAPF,75,,102.06,102.06,1,Yes,Raw
Jim Sevick,M,M_MEM_1_AAPF,140+,,249.48,249.48,1,Yes,Multi-ply
