Name,Sex,BodyweightKg,WeightClassKg,Division,Equipment,Event,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place
John Proctor,M,92.50,93,M-C-O,RAW,SBD,140.0,150.0,160.0,160.0,100.0,105.0,110.0,110.0,165.0,180.0,190.0,190.0,460.0,9
Kieran McFadyen,M,91.70,93,M-C-O,RAW,SBD,135.0,142.5,150.0,150.0,115.0,117.5,120.0,120.0,170.0,177.5,185.0,185.0,455.0,10
Calum Jamieson,M,89.70,93,M-C-O,RAW,SBD,140.0,147.5,152.5,152.5,95.0,100.0,-105.0,100.0,175.0,190.0,200.0,200.0,452.5,11
Kelvin Stephen,M,90.40,93,M-C-O,RAW,SBD,130.0,140.0,145.0,145.0,-85.0,85.0,90.0,90.0,172.5,-180.0,180.0,180.0,415.0,12
Iain Allen,M,102.60,105,M-C-O,RAW,SBD,190.0,202.5,207.5,207.5,122.5,130.0,-132.5,130.0,215.0,232.5,247.5,247.5,585.0,1
Roy Ritchie,M,103.20,105,M-C-O,RAW,SBD,182.5,200.0,-210.0,200.0,125.0,-132.5,132.5,132.5,220.0,247.5,-252.5,247.5,580.0,2
Ashley Mciver,M,98.90,105,M-C-O,RAW,SBD,180.0,190.0,200.0,200.0,112.5,117.5,-122.5,117.5,200.0,210.0,217.5,217.5,535.0,3
Lewis Glass,M,103.80,105,M-C-O,RAW,SBD,190.0,200.0,-210.0,200.0,95.0,102.5,107.5,107.5,205.0,215.0,220.0,220.0,527.5,4
Colin Horsburgh,M,102.80,105,M-C-O,RAW,SBD,195.0,-205.0,-205.0,195.0,90.0,-95.0,-95.0,90.0,200.0,207.5,215.0,215.0,500.0,5
Chris Willsdon,M,116.00,120,M-C-O,RAW,SBD,200.0,207.5,210.0,210.0,-142.5,142.5,-155.0,142.5,240.0,250.0,-255.0,250.0,602.5,1
Alan Rucroft,M,139.00,120+,M-C-O,RAW,SBD,170.0,180.0,190.0,190.0,120.0,-130.0,-130.0,120.0,180.0,200.0,210.0,210.0,520.0,1
