Name,Age,Division,Sex,Event,BodyweightKg,WeightClassLBS,Best3SquatKg,Squat4Kg,Best3BenchKg,Bench4Kg,Best3DeadliftKg,Deadlift4Kg,TotalKg,Place
Jason Gibson,33,Submaster,M,SBD,116.4,125,385,,282.5,,295,,962.5,1
David Edmondson,46,M45-49,M,SBD,66.6,67.5,272.5,282.5,145,152.5,247.5,,665,1
Steve Lumpe,47,M45-49,M,SBD,74.5,75,247.5,,155,,210,,612.5,2
Manuel Rivera,47,M45-49,M,SBD,74.8,75,272.5,,170,,230,,672.5,1
Michael Larsen,48,M45-49,M,SBD,77.1,82.5,187.5,,75,,167.5,,430,1
Greg Sager,52,M50-54,M,SBD,68.9,75,177.5,,90,,172.5,,440,1
Gordon Wolfe,54,M50-54,M,SBD,81.4,82.5,280,,147.5,,210,,637.5,2
Rudy Ruettiger,53,M50-54,M,SBD,81.8,82.5,275,,165,,232.5,,672.5,1
Chris Suffredini,51,M50-54,M,SBD,87,90,227.5,,150,,205,,582.5,1
Mike Wider,59,M55-59,M,SBD,66.6,67.5,195,,105,,200,,500,1
Jon Smoker,60,M60-64,M,SBD,74.3,75,215,,100,,215,,530,1
Alan Busch,60,M60-64,M,SBD,81.6,82.5,235,,155,,210,,600,1
Richard Flores,75,M65-69,M,SBD,73.7,75,252.5,,105,,235,,592.5,1
Kirby Anderson,71,M70-74,M,SBD,66.5,67.5,152.5,,107.5,,127.5,,387.5,2
Richard Gidcumb,70,M70-74,M,SBD,64.1,67.5,142.5,,95,,165,,402.5,1
Fred Glass,70,M70-74,M,SBD,70.6,75,170,,67.5,,170,,407.5,1
Anna McCloskey,14,W T13-15,F,SBD,83.9,90,,,87.5,,160,,247.5,DQ
Vincent Scelfo,49,M45-49,M,SBD,66.6,67.5,,,70,,137.5,,207.5,DQ
Harlan South,41,M40-44,M,SBD,97.6,100,280,,142.5,,257.5,,680,1
Scott Edmiston,44,M40-44,M,SBD,143.3,140+,320,,207.5,,272.5,,800,1
Bruce McCord,46,M45-49,M,SBD,99.2,100,280,,190,,242.5,,712.5,1
Mike Sawyer,52,M50-54,M,SBD,111.8,125,265,,182.5,,267.5,,715,1
Dick Zenzen,55,M55-59,M,SBD,98.7,100,290,,125,,230,,645,1
Mike Shealy,55,M55-59,M,SBD,102.2,110,192.5,,155,,185,,532.5,1
Skip Sandberg,67,M65-69,M,SBD,109.2,110,272.5,,210,,272.5,,755,1
Daniel Reph,65,M65-69,M,SBD,126.1,140,185,,82.5,,227.5,,495,1
Joseph Dement,19,Open,M,SBD,60,60,227.5,,150,,190,,567.5,1
John Digirolamo,30,Open,M,SBD,72.8,75,272.5,,185,,245,,702.5,1
Stanislav Pryakhin,32,Open,M,SBD,80.4,82.5,340,,185,,280,,805,1
Eric Stone,24,Open,M,SBD,81.4,82.5,330,,190,,230,,750,2
Vincent Lysobey,36,Open,M,SBD,79.2,82.5,272.5,,165,,230,,667.5,3
JJ Thomas,26,Open,M,SBD,89.7,90,340,,212.5,,297.5,,850,1
Mike Szudarek,35,Open,M,SBD,99.4,100,382.5,,182.5,,290,,855,1
Erik Stark,34,Open,M,SBD,94.3,100,275,,197.5,,242.5,,715,2
Phillip Wylie,41,Open,M,SBD,108.9,110,385,,237.5,,310,,932.5,1
Joe Atef,30,Open,M,SBD,109.3,110,365,,267.5,,262.5,,895,2
Mike Allocco,29,Open,M,SBD,123.8,125,420,,305,,320,,1045,1
Clint Ewald,29,Open,M,SBD,133.6,140,355,,295,,322.5,,972.5,1
Ernie Lilliebridge Sr,35,Open,M,SBD,136.7,140,387.5,391,235,,330,350,952.5,2
Robert Bierschbach,39,Open,M,SBD,136.3,140,350,,245,,290,,885,3
Scott Edmiston,44,Open,M,SBD,143.3,140+,320,,207.5,,272.5,,800,1
Mike Morgan,31,Open,M,SBD,123.2,125,342.5,,,,250,,592.5,DQ
Augie Augustein,30,Open,M,SBD,98.8,100,,,205,,282.5,,487.5,DQ
Ronnie Paras,45,Open,M,SBD,90,90,352.5,,232.5,,,,585,DQ
