Name,Sex,BirthDate,Age,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Event,Place,Tested,Equipment
Seaver Mattison,M,1988-01-09,20,M_JEM_AAPF,66.80,67.5,195.00,215.00,-230.00,,215.00,145.00,155.00,-160.00,,155.00,182.50,200.00,-220.00,,200.00,570.00,SBD,1,Yes,Multi-ply
Kalin Chester,M,1984-07-22,23,M_JEM_AAPF,75.00,75,260.00,272.50,282.50,,282.50,237.50,-245.00,250.00,-260.00,250.00,207.50,215.00,-227.50,,215.00,747.50,SBD,1,Yes,Multi-ply
Dan O'Brien,M,1986-05-07,21,M_JEM_AAPF,80.90,82.5,225.00,-232.50,232.50,,232.50,150.00,157.50,162.50,,162.50,210.00,215.00,-217.50,,215.00,610.00,SBD,1,Yes,Multi-ply
Brian Bott,M,1984-10-08,23,M_JEM_AAPF,90.00,90,255.00,-275.00,275.00,,275.00,167.50,-180.00,-180.00,,167.50,212.50,-232.50,232.50,,232.50,675.00,SBD,1,Yes,Multi-ply
Ward Benson,M,1984-09-06,23,M_JEM_AAPF,87.00,90,190.00,210.00,-227.50,,210.00,137.50,147.50,155.00,,155.00,190.00,210.00,-227.50,,210.00,575.00,SBD,2,Yes,Multi-ply
Charlie Morse,M,1966-07-05,41,M_MEM_1_AAPF,67.50,67.5,227.50,-252.50,-252.50,,227.50,137.50,147.50,-152.50,,147.50,195.00,-205.00,205.00,,205.00,580.00,SBD,1,Yes,Multi-ply
Mark Van Alstyne,M,1967-05-12,40,M_MEM_1_AAPF,80.70,82.5,300.00,-320.00,-320.00,,300.00,-205.00,-205.00,205.00,-215.00,205.00,225.00,-237.50,237.50,,237.50,742.50,SBD,1,Yes,Multi-ply
Mark Trulock,M,1967-05-18,40,M_MEM_1_AAPF,80.60,82.5,235.00,247.50,-265.00,,247.50,125.00,-135.00,-135.00,,125.00,230.00,-245.00,245.00,,245.00,617.50,SBD,2,Yes,Multi-ply
Dyke Naughton,M,1964-01-10,44,M_MEM_1_AAPF,81.00,82.5,150.00,,,,150.00,200.00,-215.00,215.00,-217.50,215.00,170.00,192.50,205.00,,205.00,570.00,SBD,3,Yes,Multi-ply
Jeff Rebera,M,1968-02-12,40,M_MEM_1_AAPF,93.60,100,-320.00,320.00,-337.50,,320.00,230.00,-247.50,-247.50,,230.00,250.00,-265.00,,,250.00,800.00,SBD,1,Yes,Multi-ply
Michael Larsen,M,1959-07-26,48,M_MEM_2_AAPF,76.80,82.5,185.00,197.50,-205.00,,197.50,82.50,87.50,-90.00,,87.50,152.50,165.00,-180.00,,165.00,450.00,SBD,1,Yes,Multi-ply
Bruce McCord,M,1961-05-07,46,M_MEM_2_AAPF,100.00,100,250.00,267.50,-275.00,,267.50,175.00,-185.00,-187.50,,175.00,-235.00,235.00,250.00,,250.00,692.50,SBD,1,Yes,Multi-ply
Bruce Garnett,M,1963-03-13,45,M_MEM_2_AAPF,94.90,100,205.00,230.00,245.00,,245.00,-175.00,-175.00,175.00,,175.00,185.00,207.50,227.50,,227.50,647.50,SBD,2,Yes,Multi-ply
James Dibble,M,1961-02-10,47,M_MEM_2_AAPF,109.70,110,280.00,317.50,332.50,,332.50,227.50,242.50,-257.50,,242.50,242.50,255.00,265.00,,265.00,840.00,SBD,1,Yes,Multi-ply
Paul Burgess,M,1958-07-28,49,M_MEM_2_AAPF,123.40,125,177.50,-202.50,220.00,,220.00,110.00,120.00,-130.00,,120.00,-165.00,165.00,-190.00,,165.00,505.00,SBD,1,Yes,Multi-ply
Tim Lane,M,1959-03-02,49,M_MEM_2_AAPF,133.90,140,325.00,-350.00,362.50,,362.50,185.00,207.50,-212.50,,207.50,277.50,-292.50,300.00,,300.00,870.00,SBD,1,Yes,Multi-ply
Gregg Sagor,M,1955-02-15,53,M_MEM_3_AAPF,71.90,75,170.00,185.00,200.00,,200.00,85.00,95.00,-105.00,,95.00,150.00,165.00,175.00,,175.00,470.00,SBD,1,Yes,Multi-ply
Rudy Ruettiger,M,1954-06-11,53,M_MEM_3_AAPF,82.30,82.5,260.00,-277.50,-277.50,,260.00,155.00,165.00,-170.00,,165.00,227.50,237.50,-242.50,,237.50,662.50,SBD,1,Yes,Multi-ply
