Name,BodyweightKg,Division,WeightClassKg,Best3BenchKg,Best3SquatKg,Best3DeadliftKg,TotalKg,Event,Equipment,Sex
L. Watson,,Open,48,95,65,110,270,SBD,Single-ply,F
F. Milham,,Masters 45-49,48,85,40,110,235,SBD,Single-ply,F
D. Sykes,,Open,52,105,62.5,130,297.5,SBD,Single-ply,F
L. Steggles,,Open,56,150,92.5,157.5,400,SBD,Single-ply,F
Eva Carr-Hill,,Juniors,56,125,75,166,366,SBD,Single-ply,F
McCalmon,,Masters 50-54,56,110,42.5,132.5,285,SBD,Single-ply,F
Vanessa Gibson,,Open,60,200,122.5,200,512.5,SBD,Single-ply,F
N. Evans,,Juniors,60,110,60,125,295,SBD,Single-ply,F
M. Allon,,Open,67.5,175,80,175,430,SBD,Single-ply,F
A. Callan,,Teen 17,67.5,125,80,182.5,387.5,SBD,Single-ply,F
Anne Martin,,Masters 40-44,67.5,145,95.5,185,425,SBD,Single-ply,F
P. Carter,,Masters 55-59,67.5,77.5,48,125,250,SBD,Single-ply,F
S. Bentham,,Juniors,75,125,70,130,325,SBD,Single-ply,F
E. James,,Open,82.5,145,100,167.5,412.5,SBD,Single-ply,F
J. Altham,,Open,82.5,137.5,85,160,382.5,SBD,Single-ply,F
D. Shaw,,Open,90+,255,140,250,645,SBD,Single-ply,F
J. Bates,,Masters 40-44,90+,120,80,35,235,SBD,Single-ply,F
G. Mellor,,Open,52,,,,,SBD,Single-ply,M
G. Buckle,,Juniors,52,,,,,SBD,Single-ply,M
S. Grey,,Open,56,,,,,SBD,Single-ply,M
McDermott,,Juniors,56,,,,,SBD,Single-ply,M
J. Mitchell,,Open,60,,,,,SBD,Single-ply,M
K. Chilcott,,Open,60,,,,,SBD,Single-ply,M
G. Crowley,,Teen 15,60,,,,,SBD,Single-ply,M
J. Winter,,Teen 18,60,,,,,SBD,Single-ply,M
Mannering,,Open,67.5,,,,,SBD,Single-ply,M
L. Gordon,,Open,67.5,,,,,SBD,Single-ply,M
B. Mullan,,Masters 50-54,67.5,,,,,SBD,Single-ply,M
B. Evans,,Masters 60-64,67.5,,,,,SBD,Single-ply,M
J. Callan,,Open,75,,,,,SBD,Single-ply,M
D. Berg,,Masters 45-49,75,,,,,SBD,Single-ply,M
T. Kent,,Masters 45-49,75,,,,,SBD,Single-ply,M
A. Jawanda,,Masters 45-49,75,,,,,SBD,Single-ply,M
P. Bartlett,,Open,82.5,,,,,SBD,Single-ply,M
I. Murray,,Open,82.5,,,,,SBD,Single-ply,M
I. Gladdish,,Masters 40-44,82.5,,,,,SBD,Single-ply,M
Robyn Brown,,Masters 50-54,82.5,,,,,SBD,Single-ply,M
M. Donovan,,Open,90,,,,,SBD,Single-ply,M
N. Matthews,,Open,90,,,,,SBD,Single-ply,M
Chris Jones,,Teen 19,90,,,,,SBD,Single-ply,M
K. Phillips,,Masters 40-44,90,,,,,SBD,Single-ply,M
D. Jones,,Masters 45-49,90,,,,,SBD,Single-ply,M
P. Latter,,Masters 45-49,90,,,,,SBD,Single-ply,M
R. Jordan,,Masters 50-54,90,,,,,SBD,Single-ply,M
Hammerton,,Open,100,,,,,SBD,Single-ply,M
B. Kane,,Open,100,,,,,SBD,Single-ply,M
R. Elliss,,Open,100,,,,,SBD,Single-ply,M
G. Bowles,,Masters 40-44,100,,,,,SBD,Single-ply,M
P. Bell,,Masters 40-44,100,,,,,SBD,Single-ply,M
S. Evans,,Masters 40-44,100,,,,,SBD,Single-ply,M
R. Campbell,,Masters 45-49,100,,,,,SBD,Single-ply,M
J. Gilchrist,,Masters 45-49,100,,,,,SBD,Single-ply,M
J. Fisher,,Masters 50-54,100,,,,,SBD,Single-ply,M
Bannaghan,,Masters 50-54,100,,,,,SBD,Single-ply,M
R. Allison,,Open,110,,,,,SBD,Single-ply,M
R. Martin,,Open,110,,,,,SBD,Single-ply,M
D. Williams,,Masters 40-44,110,,,,,SBD,Single-ply,M
S. Clegg,,Masters 40-44,110,,,,,SBD,Single-ply,M
P. White,,Masters 45-49,110,,,,,SBD,Single-ply,M
G. Bates,,Masters 45-49,110,,,,,SBD,Single-ply,M
A. Scott,,Open,125,,,,,SBD,Single-ply,M
C. Williams,,Open,125,,,,,SBD,Single-ply,M
Dave Carter,,Masters 45-49,125,,,,,SBD,Single-ply,M
M. Brown,,Masters 50-54,125,,,,,SBD,Single-ply,M
J. Kiss,,Open,140,,,,,SBD,Single-ply,M
B. Bell,,Open,140,,,,,SBD,Single-ply,M
Peter Tregloan,159.66,Open,140+,,,,,SBD,Single-ply,M
