Place,CyrillicName,WeightClassKg,BirthYear,Event,Equipment,Sex,Division,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg
DQ,Виктор Никитин,75,1972,SBD,Single-ply,M,Open,73.9,,,,
1,Лев Альбин,82.5,1960,SBD,Single-ply,M,Open,81.35,237.5,172.5,250,660
2,Александр Котенджи,82.5,1964,SBD,Single-ply,M,Open,80.4,240,125,247.5,612.5
3,Анатолий Калина,82.5,1948,SBD,Single-ply,M,Open,82.5,225,135,247.5,607.5
4,Василий Алоев,82.5,1956,SBD,Single-ply,M,Open,82.15,202.5,157.5,227.5,587.5
5,Сергей Бака,82.5,1964,SBD,Single-ply,M,Open,81.5,192.5,150,240,582.5
6,Вячеслав Савченко,82.5,1965,SBD,Single-ply,M,Open,82.05,192.5,135,255,582.5
7,Юрий Соболь,82.5,1962,SBD,Single-ply,M,Open,80.5,192.5,120,235,547.5
8,Алексей Иванов,82.5,1949,SBD,Single-ply,M,Open,82.2,192.5,142.5,210,545
9,Олег Катарин,82.5,1963,SBD,Single-ply,M,Open,75.3,180,160,200,540
10,Олег Королев,82.5,1971,SBD,Single-ply,M,Open,77.85,165,110,200,475
DQ,Дмитрий Королев,82.5,1963,SBD,Single-ply,M,Open,81.1,,,,
DQ,Ярослав Чала,82.5,1948,SBD,Single-ply,M,Open,82.05,,,,
DQ,Василий Почкай,82.5,1955,SBD,Single-ply,M,Open,82.35,,,,
DQ,Сергей Антропов,82.5,1972,SBD,Single-ply,M,Open,81.9,,,,
DQ,Леонид Сенченко,82.5,1956,SBD,Single-ply,M,Open,82,,,,
DQ,Сергей Ковалев,82.5,1961,SBD,Single-ply,M,Open,82.5,165,,,
DD,Владимир Резников,82.5,1956,SBD,Single-ply,M,Open,82.15,210,165,240,
1,Виктор Ганчур,90,1958,SBD,Single-ply,M,Open,87.1,280,170,315,765
2,Владимир Иваненко,90,1955,SBD,Single-ply,M,Open,90,300,175,290,765
3,Анатолий Емельянович,90,1960,SBD,Single-ply,M,Open,90,260,172.5,300.5,732.5
4,Леонид Котенджи,90,1957,SBD,Single-ply,M,Open,90,262.5,170,283,715
5,Сергей Ватолин,90,1959,SBD,Single-ply,M,Open,87.5,250,200,252.5,692.5
6,Олег Опанасенко,90,1955,SBD,Single-ply,M,Open,89.5,245,172.5,275,692.5
7,Владимир Яровой,90,1956,SBD,Single-ply,M,Open,90,252.5,180,250,675
8,Владимир Синенький,90,1960,SBD,Single-ply,M,Open,89.4,220,187.5,240,647.5
9,Александр Сорокин,90,1956,SBD,Single-ply,M,Open,89.8,212.5,195,225,632.5
10,Игорь Федоренко,90,1967,SBD,Single-ply,M,Open,90,210,140,270,620
11,Сергей Колесник,90,1963,SBD,Single-ply,M,Open,90,222.5,170,225,617.5
12,Сергей Иванов,90,1956,SBD,Single-ply,M,Open,88.3,212.5,152.5,240,605
13,Сергей Бахарев,90,1972,SBD,Single-ply,M,Open,89.7,200,160,220,605
14,Николай Полтавский,90,1958,SBD,Single-ply,M,Open,89.4,195,150,200,545
DQ,Борис Жеребцов,90,1938,SBD,Single-ply,M,Open,89.8,220,,,
DQ,Алексей Масловский,90,1971,SBD,Single-ply,M,Open,88.8,,,,
DQ,Виктор Соловьев,90,1964,SBD,Single-ply,M,Open,89.8,,,,
DQ,Михаил Петришин,90,1963,SBD,Single-ply,M,Open,89.1,,,,
1,Федор Рыбалка,100,1961,SBD,Single-ply,M,Open,97.4,280,167.5,325,762.5
2,Игорь Тюменев,100,1964,SBD,Single-ply,M,Open,99.5,280,190,260,730
3,Борис Бниашвили,100,1963,SBD,Single-ply,M,Open,96.1,230,170,312.5,712.5
4,Анатолий Кошелап,100,1955,SBD,Single-ply,M,Open,99.55,240,202.5,270,712.5
5,Юрий Симоненко,100,1949,SBD,Single-ply,M,Open,99.7,260,167.5,270,697.5
6,Александр Ределов,100,1969,SBD,Single-ply,M,Open,97.65,240,172.5,275,687.5
7,Николай Сафошин,100,1966,SBD,Single-ply,M,Open,91.65,240,170,260,670
DQ,Василий Ватолин,100,1959,SBD,Single-ply,M,Open,90.5,250,195.5,,
DQ,Саид-Хусейн Закаев,100,1966,SBD,Single-ply,M,Open,98.3,,,,
DQ,Сергей Приходько,100,1956,SBD,Single-ply,M,Open,98,,,,
DQ,Николай Юдин,100,1938,SBD,Single-ply,M,Open,98.85,255,180,,
DQ,Виктор Пирогов,100,1956,SBD,Single-ply,M,Open,99.5,240,165,,
DQ,Алексей Епишин,100,1960,SBD,Single-ply,M,Open,98.6,225,160,,
DQ,Андрей Силенков,100,1962,SBD,Single-ply,M,Open,99.3,,,,
1,Виктор Налейкин,110,1953,SBD,Single-ply,M,Open,104.55,290,180,340,790
2,Юрий Спинов,110,1962,SBD,Single-ply,M,Open,106.55,280,190,310,780
3,Вадим Кузовлев,110,1966,SBD,Single-ply,M,Open,108.85,255,200,297.5,752.5
4,Юрий Еременко,110,1956,SBD,Single-ply,M,Open,102.9,215,167.5,250,632.5
DQ,Олег Кравченко,110,1965,SBD,Single-ply,M,Open,110,,,,
1,Валерий Мельник,125,1958,SBD,Single-ply,M,Open,110.2,300,215,300,815
1,Александр Коханевич,125+,1961,SBD,Single-ply,M,Open,153,320,225,280,815
2,Юрий Заболотный,125+,1958,SBD,Single-ply,M,Open,134.4,300,192.5,290,782.5
