Sex,WeightClassKg,Name,AgeClass,Team,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Place,Division,Event,Equipment
F,56,Jenny Hunter,50-59,EM,55.5,60,60,100,220,1,M2,SBD,Single-ply
F,75,Jackie Blasbery,40-49,EM,71.3,25,50,75,150,1,M1,SBD,Single-ply
M,56,David Brown,50-59,EM,55.2,87.5,75,125,287.5,1,M2,SBD,Single-ply
M,75,Allen Ottolangui,40-49,EM,74.85,250,147.5,230,627.5,1,M1,SBD,Single-ply
M,90,Doug D'Gama,40-49,EM,88.35,,,,,DQ,M1,SBD,Single-ply
M,90,Kevin Jane,50-59,EM,89.9,260,155,280,695,1,M2,SBD,Single-ply
M,90,Nicholas Oliver,50-59,EM,87.8,192.5,117.5,220,530,3,M2,SBD,Single-ply
M,110,Malc Bason,50-59,EM,106.75,202.5,137.5,225,565,1,M2,SBD,Single-ply
M,110,Ian Finch,50-59,EM,109.1,182.5,117.5,215,515,2,M2,SBD,Single-ply
M,125,Andrew Rodney,40-49,EM,111.15,150,100,250,500,1,M1,SBD,Single-ply
M,125,Terance O'Neill,50-59,EM,125,302.5,155,282.5,740,1,M2,SBD,Single-ply
M,90,Steve Gates,40-49,EM,83.75,260,145,260,665,G,Guest,SBD,Single-ply
