WeightClassKg,Name,Country,Division,Sex,Event,Equipment,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Place
60,Ewelina Krotosik,Poland,16-17,F,B,Multi-ply,,55,,55,1
75,Johanna Becker,Germany,Junior,F,B,Multi-ply,,90,,90,1
90,Lidia Kamila Makowska,Poland,Junior,F,B,Multi-ply,,92.5,,92.5,1
56,Lysann Bohse,Germany,Open,F,B,Multi-ply,,70,,70,1
67.5,Virpi Kila,Finland,Open,F,B,Multi-ply,,95,,95,1
67.5,Svetlana Platonova,Russia,Open,F,B,Multi-ply,,87.5,,87.5,2
75,Michaela Zimmer,Austria,Open,F,B,Multi-ply,,143.5,,143.5,1
82.5,Katarina Muraneanova,Slovenia,Open,F,B,Multi-ply,,120,,120,1
52,Yveline Dujardin,Belgium,40-44,F,B,Multi-ply,,82.5,,82.5,1
67.5,Hildegard Weinelt,Germany,40-44,F,B,Multi-ply,,62.5,,62.5,1
56,Karin Heindl,Austria,45-49,F,B,Multi-ply,,50,,50,1
60,Martine Camail,France,45-49,F,B,Multi-ply,,57.5,,57.5,1
75,Astrid Schroder,Germany,45-49,F,B,Multi-ply,,70,,70,1
75,Hildegard Utrecht,Germany,50-54,F,B,Multi-ply,,82.5,,82.5,1
90,Ingeborg Hagge,Germany,50-54,F,B,Multi-ply,,105,,105,1
82.5,Monika Högg,Austria,60-64,F,B,Multi-ply,,67.5,,67.5,1
67.5,Sergiy Nazarenko,UK,16-17,M,B,Multi-ply,,108,,108,1
75,Marc Schröder,Germany,16-17,M,B,Multi-ply,,100,,100,1
75,Joachim Probst,Germany,16-17,M,B,Multi-ply,,92.5,,92.5,2
82.5,Mateusz Skowron,Poland,16-17,M,B,Multi-ply,,150,,150,1
82.5,Yannick Polnot,Belgium,16-17,M,B,Multi-ply,,130,,130,2
100,Stefan Schmidt,Germany,16-17,M,B,Multi-ply,,145,,145,1
56,Dariusz Herok,Poland,18-19,M,B,Multi-ply,,82.5,,82.5,1
60,Marcin Kreplewski,Poland,18-19,M,B,Multi-ply,,110,,110,1
75,Vyachaslav Petrenkov,Russia,18-19,M,B,Multi-ply,,120,,120,1
82.5,Piotr Nowara,Poland,18-19,M,B,Multi-ply,,125,,125,1
82.5,Chidr Remmo,Germany,18-19,M,B,Multi-ply,,110,,110,2
90,Vüsal Mardanov,Russia,18-19,M,B,Multi-ply,,176,,176,1
90,Sebastian Borgers,Belgium,18-19,M,B,Multi-ply,,160,,160,2
125,Rene Amann,Austria,18-19,M,B,Multi-ply,,203,,203,1
125,Sergejs Arbuzovs,Latvia,18-19,M,B,Multi-ply,,202.5,,202.5,2
140,Viesturs Kronbergs,Latvia,18-19,M,B,Multi-ply,,182.5,,182.5,1
67.5,Simon Quitzau,Germany,Junior,M,B,Multi-ply,,147.5,,147.5,1
67.5,Christoph Reinhardt,Germany,Junior,M,B,Multi-ply,,132.5,,132.5,2
90,Ibrahim Ibrahimov,Russia,Junior,M,B,Multi-ply,,200,,200,1
90,Christian Becker,Germany,Junior,M,B,Multi-ply,,155,,155,2
90,Marco Zabatta,Germany,Junior,M,B,Multi-ply,,,,,DQ
100,Waldemar Barab,Poland,Junior,M,B,Multi-ply,,210,,210,1
110,Nick Butschalowski,Germany,Junior,M,B,Multi-ply,,195,,195,1
125,André Conrad,Germany,Junior,M,B,Multi-ply,,210,,210,1
140,Daniel Grube,Germany,Junior,M,B,Multi-ply,,230,,230,1
56,Rupert-Alexander Wick,Germany,Open,M,B,Multi-ply,,137.5,,137.5,1
60,Reno Karkuschke,Germany,Open,M,B,Multi-ply,,125,,125,1
60,Peter Komar,Slovenia,Open,M,B,Multi-ply,,122.5,,122.5,2
60,Antoly Nefedov,Russia,Open,M,B,Multi-ply,,120,,120,3
67.5,Erik Batschinsky,Slovenia,Open,M,B,Multi-ply,,140,,140,1
75,Markus Schik,Germany,Open,M,B,Multi-ply,,275,,275,1
75,Jean-Luc Garcia,France,Open,M,B,Multi-ply,,200,,200,2
75,Jacek Szymichowski,Poland,Open,M,B,Multi-ply,,180,,180,3
82.5,Andrey Tchesnokov,Russia,Open,M,B,Multi-ply,,225,,225,1
82.5,Ronny Pawlowski,Germany,Open,M,B,Multi-ply,,190,,190,2
82.5,Milan Gejdoš,Slovenia,Open,M,B,Multi-ply,,175,,175,3
82.5,Artak Asrian,Netherlands,Open,M,B,Multi-ply,,175,,175,4
82.5,Marcin Herok,Poland,Open,M,B,Multi-ply,,140,,140,5
90,Lutz Gayek,Germany,Open,M,B,Multi-ply,,240,,240,1
90,Andrej Sadkowski,Poland,Open,M,B,Multi-ply,,230,,230,2
90,Oliver Beck,Germany,Open,M,B,Multi-ply,,225,,225,3
90,Torben Vogel,Germany,Open,M,B,Multi-ply,,200,,200,4
100,Vitaliy Ponomarenko,UK,Open,M,B,Multi-ply,,300,,300,1
100,Dariusz Formela,Poland,Open,M,B,Multi-ply,,240,,240,3
100,Harald Ecker,Austria,Open,M,B,Multi-ply,,227.5,,227.5,4
100,Frank Schoele,Germany,Open,M,B,Multi-ply,,215,,215,5
100,Maik Roebow,Germany,Open,M,B,Multi-ply,,210,,210,7
100,Krysztof Zakrzewski,Poland,Open,M,B,Multi-ply,,212.5,,212.5,6
100,Juri Ustinov,Russia,Open,M,B,Multi-ply,,210,,210,8
100,Jarkko Salminen,Finland,Open,M,B,Multi-ply,,210,,210,9
100,Fabian Boucard,France,Open,M,B,Multi-ply,,195,,195,10
100,Szabolis Onozo,Hungary,Open,M,B,Multi-ply,,265,,265,2
110,Bernhard Schwab,Austria,Open,M,B,Multi-ply,,260,,260,1
110,Matthia Marten,Germany,Open,M,B,Multi-ply,,260,,260,1
110,Marcin Wolf,Poland,Open,M,B,Multi-ply,,257.5,,257.5,2
110,Ivars Cīrulis,Latvia,Open,M,B,Multi-ply,,252.5,,252.5,3
110,Jani Ihalainen,Finland,Open,M,B,Multi-ply,,252.5,,252.5,4
110,Mirko Kruger,Germany,Open,M,B,Multi-ply,,232.5,,232.5,5
110,Carsten Gruhn,Germany,Open,M,B,Multi-ply,,220,,220,6
110,Jarkko Holviala,Finland,Open,M,B,Multi-ply,,205,,205,7
110,Miroslaw Zakrzewski,Poland,Open,M,B,Multi-ply,,,,,DQ
125,Petri Saastamoinen,Finland,Open,M,B,Multi-ply,,270,,270,1
125,Dmitry Kasatov,Russia,Open,M,B,Multi-ply,,270,,270,2
125,Vesa Penttinen,Finland,Open,M,B,Multi-ply,,255,,255,3
125,Sven Lorenz,Germany,Open,M,B,Multi-ply,,210,,210,4
125,Edmunds Andrups,Latvia,Open,M,B,Multi-ply,,200,,200,5
125,Tobias Ide,Germany,Open,M,B,Multi-ply,,,,,DQ
140,Jari Mentula,Finland,Open,M,B,Multi-ply,,290,,290,1
140,Kai-Uwe Göllnitz,Germany,Open,M,B,Multi-ply,,270,,270,2
140+,Sergey Popov,Russia,Open,M,B,Multi-ply,,302.5,,302.5,1
140+,Ingo Czeplinski,Germany,Open,M,B,Multi-ply,,275,,275,2
67.5,Philippe Herzog,Switzerland,40-44,M,B,Multi-ply,,186.5,,186.5,1
90,Marcel Chayard,France,40-44,M,B,Multi-ply,,190,,190,1
90,Lothar Pritzl,Germany,40-44,M,B,Multi-ply,,182.5,,182.5,2
90,Ingo Rose,Germany,40-44,M,B,Multi-ply,,165,,165,3
100,Uwe Haase,Germany,40-44,M,B,Multi-ply,,250.5,,250.5,1
100,Juha Pukkila,Finland,40-44,M,B,Multi-ply,,185,,185,2
110,Juri Hochstetter,Germany,40-44,M,B,Multi-ply,,240,,240,1
110,Robert Brasseur,France,40-44,M,B,Multi-ply,,230,,230,2
110,Thomas Frey,Germany,40-44,M,B,Multi-ply,,195,,195,3
125,Juris Judko,Latvia,40-44,M,B,Multi-ply,,250,,250,1
125,Dominique Seminatore,France,40-44,M,B,Multi-ply,,230,,230,2
125,John Antony O'Neill,Ireland,40-44,M,B,Multi-ply,,210,,210,3
125,Geoff Nadin,UK,40-44,M,B,Multi-ply,,200,,200,4
125,Nils Sjödin,Sweden,40-44,M,B,Multi-ply,,,,,DQ
140+,Mario Böttcher,Germany,40-44,M,B,Multi-ply,,250,,250,1
67.5,Martin Heindl,Austria,45-49,M,B,Multi-ply,,125,,125,1
75,Uwe Werner,Germany,45-49,M,B,Multi-ply,,180,,180,1
75,Michel Fauque,France,45-49,M,B,Multi-ply,,135,,135,2
75,Kurt Rooch,Germany,45-49,M,B,Multi-ply,,,,,DQ
82.5,Berthold Rien,Germany,45-49,M,B,Multi-ply,,170,,170,1
82.5,Michel Vossier,France,45-49,M,B,Multi-ply,,162.5,,162.5,2
82.5,Dietmar Rien,Germany,45-49,M,B,Multi-ply,,160,,160,3
82.5,Frances Mattei,France,45-49,M,B,Multi-ply,,160,,160,4
82.5,Didier Theux,France,45-49,M,B,Multi-ply,,152.5,,152.5,5
82.5,Thomas Wagner,Germany,45-49,M,B,Multi-ply,,112.5,,112.5,6
90,Eugeniusz Mehlich,Poland,45-49,M,B,Multi-ply,,185,,185,1
90,Stanislaw Kaleja,Poland,45-49,M,B,Multi-ply,,182.5,,182.5,2
100,Wieslaw Wróbel,Poland,45-49,M,B,Multi-ply,,167.5,,167.5,1
100,Michael Neubert,Germany,45-49,M,B,Multi-ply,,157.5,,157.5,2
110,Krystian Slosarek,Germany,45-49,M,B,Multi-ply,,210,,210,1
110,Jorg Stypmann,Germany,45-49,M,B,Multi-ply,,195,,195,2
110,Klaus Grosser,Germany,45-49,M,B,Multi-ply,,180,,180,3
110,Wilhelm Reinheimer,Germany,45-49,M,B,Multi-ply,,172.5,,172.5,4
125,Viktors Pevko,Latvia,45-49,M,B,Multi-ply,,265,,265,1
125,Andreas Mrosek,Germany,45-49,M,B,Multi-ply,,240,,240,2
125,Andreas Richter,Germany,45-49,M,B,Multi-ply,,225,,225,3
140,Wojciech Bialic,Poland,45-49,M,B,Multi-ply,,220,,220,1
60,Helmut Novotny,Austria,50-54,M,B,Multi-ply,,77.5,,77.5,1
67.5,Louis Guercio,France,50-54,M,B,Multi-ply,,115,,115,1
82.5,Risto Leskenmaa,Finland,50-54,M,B,Multi-ply,,181,,181,1
90,Alfred Neumaier,Austria,50-54,M,B,Multi-ply,,160,,160,1
100,Michael Gunter,Germany,50-54,M,B,Multi-ply,,180,,180,1
100,Horst-Dieter Schoch,Germany,50-54,M,B,Multi-ply,,162.5,,162.5,2
100,Didier Douet,France,50-54,M,B,Multi-ply,,145,,145,3
110,Roland Germanicus,France,50-54,M,B,Multi-ply,,170,,170,1
125,Karl Weber,Germany,50-54,M,B,Multi-ply,,187.5,,187.5,1
75,Joachim Winterscheidt,Germany,55-59,M,B,Multi-ply,,115,,115,1
82.5,Ivan Klushnikov,Russia,55-59,M,B,Multi-ply,,125,,125,1
82.5,Ludwig Ruault,Austria,55-59,M,B,Multi-ply,,110,,110,2
100,Wolfram Waibel,Austria,55-59,M,B,Multi-ply,,127.5,,127.5,1
75,Anatoly Kuzmins,Latvia,60-64,M,B,Multi-ply,,147.5,,147.5,1
75,Willi Sinn,Germany,60-64,M,B,Multi-ply,,130,,130,2
90,Alfred Stolz,Austria,60-64,M,B,Multi-ply,,181,,181,1
90,Franz Krivanek,Austria,60-64,M,B,Multi-ply,,80,,80,2
100,Marc Vergnes-Blanquer,France,60-64,M,B,Multi-ply,,160,,160,1
110,Frieder Hachenberger,Germany,60-64,M,B,Multi-ply,,157.5,,157.5,1
67.5,Erwin Trichlin,Austria,65-69,M,B,Multi-ply,,100,,100,1
75,Dieter Schweitzer,Germany,65-69,M,B,Multi-ply,,65,,65,1
82.5,Philipp Crusius,Germany,65-69,M,B,Multi-ply,,145,,145,1
100,Marc LeBolay,France,65-69,M,B,Multi-ply,,182.5,,182.5,1
100,Igor Goldmann,Russia,70-74,M,B,Multi-ply,,145,,145,1
82.5,Piere Pothee,France,75-79,M,B,Multi-ply,,65,,65,1
82.5,Olivia De Almeida,Belgium,Junior,F,SBD,Multi-ply,115,60,150,325,1
56,Lesley Jayne Thomas,UK,Open,F,SBD,Multi-ply,180,82.5,172.5,435,1
67.5,Amy Weisberger,Ireland,Open,F,SBD,Multi-ply,235,132.5,205,572.5,1
67.5,Svetlana Platonova,Russia,Open,F,SBD,Multi-ply,160,70,150,380,2
75,Wendy Michiels,Belgium,Open,F,SBD,Multi-ply,200,105,180,485,1
82.5,Anne Tuisku,Finland,Open,F,SBD,Multi-ply,175,110,170,455,1
52,Yveline Dujardin,Belgium,Mas 40-44,F,SBD,Multi-ply,125,82.5,142.5,350,1
