WeightClassKg,Name,Country,Division,Sex,Event,Equipment,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Place
56,Karin Heindl,Austria,Mas 45-49,F,SBD,Multi-ply,100,50.5,105,255.5,1
67.5,Marie-Jacques Burrick,Belgium,Mas 45-49,F,SBD,Multi-ply,111,60,120,291,2
75,Hildegard Utecht,Germany,Mas 50-54,F,SBD,Multi-ply,145,85,135,365,1
56,Sergeys Ivanushins,Latvia,13-15,M,SBD,Multi-ply,125.5,80,100,305.5,1
67.5,Sergey Nazarenko,UK,16-17,M,SBD,Multi-ply,150,108,180,438,1
75,Dries Willaert,Belgium,16-17,M,SBD,Multi-ply,185,95,216,496,1
125,Martins Skujinieks,Latvia,16-17,M,SBD,Multi-ply,370,204.5,300,874.5,1
75,Vyacheslav Petrenkov,Russia,18-19,M,SBD,Multi-ply,150,120,190,460,1
67.5,Pieter Calus,Belgium,Junior,M,SBD,Multi-ply,212.5,137.5,222.5,572.5,1
67.5,Christoph Reinhardt,Germany,Junior,M,SBD,Multi-ply,130,130,140,400,2
75,Michaël Blösch,Germany,Junior,M,SBD,Multi-ply,205,127.5,210,542.5,1
75,Guido Kaiser,Germany,Junior,M,SBD,Multi-ply,190,92.5,210,492.5,2
82.5,Stefan Oesterle,Germany,Junior,M,SBD,Multi-ply,230,170,230,630,1
90,Uldis Ļaudāms,Latvia,Junior,M,SBD,Multi-ply,290,185,280,755,1
90,Sebastien Riedel,Germany,Junior,M,SBD,Multi-ply,230,155,240,625,2
100,Alexander Antoni,Germany,Junior,M,SBD,Multi-ply,320,165,290,775,1
100,Simon Benzler,Germany,Junior,M,SBD,Multi-ply,330,155,260,745,2
110,Waldemar Schurr,Germany,Junior,M,SBD,Multi-ply,305,190,300,795,1
110,Michael Isotov,Germany,Junior,M,SBD,Multi-ply,272.5,167.5,270,710,2
110,Kristof Van Ransbeeck,Belgium,Junior,M,SBD,Multi-ply,265,180,247.5,692.5,3
125,Jonas Rantanen,Finland,Junior,M,SBD,Multi-ply,370,260,310,940,1
52,Mikails Sabarovs,Latvia,Open,M,SBD,Multi-ply,180,100,190,470,1
60,Reno Karkuschke,Germany,Open,M,SBD,Multi-ply,190.5,120,170,480.5,1
67.5,Gerard McNamara,Ireland,Open,M,SBD,Multi-ply,300,170,252.5,722.5,1
67.5,Erik Bačinský,Slovenia,Open,M,SBD,Multi-ply,200,155,220,575,2
67.5,Hendrik Rilke,Germany,Open,M,SBD,Multi-ply,215,125,200,540,3
75,Jeffrey Podszuweit,Germany,Open,M,SBD,Multi-ply,230,182.5,247.5,660,1
75,Kieran McKeever,Ireland,Open,M,SBD,Multi-ply,210,140,247.5,597.5,2
75,Alexander Matvejev,Germany,Open,M,SBD,Multi-ply,210,140,230,580,3
82.5,Michael Molgedey,UK,Open,M,SBD,Multi-ply,290,227.5,310,827.5,1
82.5,Norman Krause,Germany,Open,M,SBD,Multi-ply,295,150,320,765,2
82.5,Dmytro Solovior,Germany,Open,M,SBD,Multi-ply,270,167.5,285,722.5,3
82.5,Jason Pritchard,UK,Open,M,SBD,Multi-ply,280,150,270,700,4
82.5,Milan Gejdoš,Slovenia,Open,M,SBD,Multi-ply,250,170,255,675,5
90,Harald Selsam,Germany,Open,M,SBD,Multi-ply,380,210,310,900,1
90,Edgars Rekšņa,Latvia,Open,M,SBD,Multi-ply,335,230,322.5,887.5,2
90,Marco Lamprecht,Germany,Open,M,SBD,Multi-ply,292.5,170,290,752.5,3
90,Helmut Kraus,Germany,Open,M,SBD,Multi-ply,300,202.5,250,752.5,4
90,Hansjurg Kalin,Switzerland,Open,M,SBD,Multi-ply,270,170,290,730,5
90,Siyavush Tahmazov,Azerbaijan,Open,M,SBD,Multi-ply,270,170,240,680,6
100,Frank Schoele,Germany,Open,M,SBD,Multi-ply,305,205,270,780,1
100,Sven Rogalski,Germany,Open,M,SBD,Multi-ply,290,202.5,270,762.5,2
110,Oleksiy Solevyey,UK,Open,M,SBD,Multi-ply,400,287.5,365,1052.5,1
110,Bahtiyar Guliyev,Azerbaijan,Open,M,SBD,Multi-ply,325,210,345,880,2
110,James Kaufmann,Germany,Open,M,SBD,Multi-ply,340,225,302.5,867.5,3
110,Elmar Wasmer,Switzerland,Open,M,SBD,Multi-ply,310,195,270,775,4
110,Herve-Eric Herbulot,France,Open,M,SBD,Multi-ply,290,172.5,270,732.5,5
110,Renaat Wouters,Belgium,Open,M,SBD,Multi-ply,285,185,250,720,6
110,Paudie Phelan,Ireland,Open,M,SBD,Multi-ply,250,145,292.5,687.5,7
110,Patrick Eyholzer,Switzerland,Open,M,SBD,Multi-ply,270,140,260,670,8
125,Mika Virtanen,Finland,Open,M,SBD,Multi-ply,380,245,340,965,1
125,Sergej Moser,Germany,Open,M,SBD,Multi-ply,370,250,320,940,2
125,Christian Poppe,Germany,Open,M,SBD,Multi-ply,350,215,310,875,3
125,Jari Rosendahl,Finland,Open,M,SBD,Multi-ply,330,235,300,865,4
125,Philippe Crets,Belgium,Open,M,SBD,Multi-ply,310,205,270,785,5
125,Richard Ligier,France,Open,M,SBD,Multi-ply,300,210,260,770,6
125,Sven Lorenz,Germany,Open,M,SBD,Multi-ply,290,215,240,745,7
140,Vugar Namazov,Azerbaijan,Open,M,SBD,Multi-ply,360,200,355,915,1
140,Stephane Bellery,France,Open,M,SBD,Multi-ply,302.5,185,300,787.5,2
75,Roger Poulard,France,Mas 40-44,M,SBD,Multi-ply,170,125,180,475,1
82.5,Franck Abadie,France,Mas 40-44,M,SBD,Multi-ply,245,130,240,615,1
90,Georg Haake,Germany,Mas 40-44,M,SBD,Multi-ply,312.5,172.5,305,790,1
90,Juzijs Ivanushins,Latvia,Mas 40-44,M,SBD,Multi-ply,275,172.5,307.5,755,2
90,Viktor Kruglyk,UK,Mas 40-44,M,SBD,Multi-ply,130,105,315,550,3
100,Sam Graham,Ireland,Mas 40-44,M,SBD,Multi-ply,300,170,150,620,1
110,Jens Breitzke,Germany,Mas 40-44,M,SBD,Multi-ply,335,205,290,830,1
110,Norbert Siodlarzek,Germany,Mas 40-44,M,SBD,Multi-ply,307.5,210,307.5,825,2
125,Andrew Fogarty,Ireland,Mas 40-44,M,SBD,Multi-ply,305,182.5,315,802.5,1
125,Frank Hurras,Germany,Mas 40-44,M,SBD,Multi-ply,300,200,280,780,2
125,Viktor Mahút,Slovenia,Mas 40-44,M,SBD,Multi-ply,265,140,270,675,3
67.5,Martin Heindl,Austria,Mas 45-49,M,SBD,Multi-ply,170,120,220,510,1
75,Kurt Rooch,Germany,Mas 45-49,M,SBD,Multi-ply,240,180,230,650,1
82.5,Didier Theux,France,Mas 45-49,M,SBD,Multi-ply,215,157.5,230,602.5,1
90,Frank Kutzsch,Germany,Mas 45-49,M,SBD,Multi-ply,250,177.5,252.5,680,1
110,Arto Rajala,Finland,Mas 45-49,M,SBD,Multi-ply,410,237.5,315,962.5,1
110,Krystian Slosarek,Germany,Mas 45-49,M,SBD,Multi-ply,300,220,270,790,2
125,Lee Marshall,UK,Mas 45-49,M,SBD,Multi-ply,360.5,205,335,900.5,1
125,Andreas Richter,Germany,Mas 45-49,M,SBD,Multi-ply,300,220,250,770,2
60,Helmut Novotny,Austria,Mas 50-54,M,SBD,Multi-ply,125,82.5,160.5,368,1
60,Hans Wickel,Germany,Mas 50-54,M,SBD,Multi-ply,125,83,140,348,2
100,Michael Günther,Germany,Mas 50-54,M,SBD,Multi-ply,270,185,245,700,1
110,Josef Pollendorfer,Austria,Mas 50-54,M,SBD,Multi-ply,260,160,240,660,1
140,Kaj Lindström,Finland,Mas 50-54,M,SBD,Multi-ply,280,180,280,740,1
75,Ernst Güntert,Germany,Mas 55-59,M,SBD,Multi-ply,165,80,205,450,1
82.5,Michel Dudziak,France,Mas 55-59,M,SBD,Multi-ply,155,112.5,195,462.5,1
90,Heinz-Joachim Probst,Germany,Mas 55-59,M,SBD,Multi-ply,125,95,145,365,1
100,Robert Rene Laraodie,France,Mas 55-59,M,SBD,Multi-ply,180,100,192.5,472.5,1
75,Anatoly Kuzmins,Latvia,Mas 60-64,M,SBD,Multi-ply,187.5,142.5,170,500,1
75,Georges Lambert,France,Mas 60-64,M,SBD,Multi-ply,160,90,170,420,2
110,Frieder Hachenberger,Germany,Mas 60-64,M,SBD,Multi-ply,240.5,155,225,620.5,1
67.5,Alois Fasolin,Germany,Mas 65-69,M,SBD,Multi-ply,135,97.5,142.5,375,1
