29-Oct-11,Rise of the DL Beast Bench -Kg Results,,,,,,,,,,,,,,,,,,,
Name,Age,WtCls (Kg),Best Bench,Best Deadlift,Push Pull Total,Coeff Score,Age  & Coeff,Pl-Div-WtCl,,,,,,,,,,,,
Bob Vironda,27,75,0.689,147.5,101.6275,0,1-M-A0-75,,,,,,,,,,,,,
Ron Vironda,30,100,0.556,230,127.88,0,1-M-A0-100,,,,,,,,,,,,,
Keith Crot,28,110,0.537,162.5,87.2625,0,1-M-A0-110,,,,,,,,,,,,,
Daniel Moreci,45,75,0.6745,142.5,96.11625,101.4026438,1-M-AM2-75,,,,,,,,,,,,,
Stanislav Arbitman,55,125,0.5276,150,79.14,96.9465,1-M-AM2-125,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
29-Oct-11,Rise of the DL Beast Bench -Kg Results,,,,,,,,,,,,,,,,,,,
Name,Age,WtCls (Kg),Glossbrenner,Best Deadlift,Coeff Score,Age  & Coeff,Pl-Div-WtCl,,,,,,,,,,,,,
Bull Huber,44,140,0.5034,0,0,0,0,,,,,,,,,,,,,
William Hosken,74,75,0.6687,115,76.9005,138.0363975,1-M-AM5R--75,,,,,,,,,,,,,
Peter Puczko,38,90,0.5865,197.5,115.83375,0,1-M-ASMR-90,,,,,,,,,,,,,
Peter Theoharis,21,100,0.5694,240,136.656,139.38912,1-M-AJR-100,,,,,,,,,,,,,
Justin Sepe,24,75,0.6666,235,156.651,0,1-M-AOR-75,,,,,,,,,,,,,
Anthony Niles,29,75,0.6805,145,98.6725,0,2-M-AOR-75,,,,,,,,,,,,,
Charley Lasky,15,75,0.7146,140,100.044,118.05192,1-M-AT1R-75,,,,,,,,,,,,,
Steve Poniatawski,55,90,0.6157,192.5,118.52225,145.1897563,1-M-M3-90,,,,,,,,,,,,,
Ralph Munoz,47,90,0.5861,222.5,130.40725,141.1006445,1-M-M2-90,,,,,,,,,,,,,
Eric Maroscher,44,110,0.5506,272.5,150.0385,156.4901555,1-M-M1-110,,,,,,,,,,,,,
Joseph Holland,26,125,0.5254,345,181.263,0,1-M-O-125,,,,,,,,,,,,,
Steven Lasky,19,75,0.6645,215,142.8675,148.5822,1-M-AT3-75,,,,,,,,,,,,,
