Place,Name,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,WeightClassKg,Division,Event,Sex,Equipment
1,Jesse Lentjes,52.00,85.00,90.00,92.50,92.50,62.50,-68.00,-68.00,62.50,110.00,-120.00,110.00,110.00,280.00,52,Open,SBD,F,Raw
1,Marianne van de Wouw,53.65,100.00,102.50,105.00,105.00,47.50,50.00,-52.50,50.00,120.00,127.50,127.50,127.50,282.50,57,Open,SBD,F,Raw
2,Thi Thu Anh Mai,56.50,80.00,90.00,100.00,100.00,-45.00,47.50,-50.00,47.50,105.00,117.50,117.50,117.50,275.00,57,Open,SBD,F,Raw
3,Anne van den Hurk,52.10,67.50,75.00,80.00,80.00,40.00,45.00,-47.50,45.00,90.00,100.00,100.00,100.00,230.00,57,Open,SBD,F,Raw
4,Lisette Verlaan,56.00,25.00,0.00,,25.00,55.00,-60.00,-60.00,55.00,65.00,0.00,65.00,65.00,145.00,57,Open,SBD,F,Raw
1,Grace Heijns,60.85,102.50,110.00,112.50,112.50,55.00,60.00,-62.50,60.00,125.00,135.00,135.00,135.00,310.00,63,Open,SBD,F,Raw
2,Thi Tuyet Huong Bui,62.35,-117.50,117.50,-126.00,117.50,50.00,52.50,55.00,55.00,125.00,130.00,130.00,130.00,310.00,63,Open,SBD,F,Raw
3,Bo Arends,61.10,90.00,100.00,105.00,105.00,55.00,-60.00,-60.00,55.00,120.00,127.50,127.50,127.50,295.00,63,Open,SBD,F,Raw
4,Judesca Meriaan,61.05,85.00,-87.50,87.50,87.50,55.00,57.50,60.00,60.00,115.00,125.00,125.00,125.00,277.50,63,Open,SBD,F,Raw
5,Rosa Stienstra,62.25,75.00,-80.00,80.00,80.00,40.00,42.50,-45.00,42.50,100.00,107.50,107.50,107.50,235.00,63,Open,SBD,F,Raw
1,Arianne Derickx,67.55,115.00,120.00,125.00,125.00,70.00,75.00,-77.50,75.00,145.00,152.50,152.50,152.50,357.50,72,Open,SBD,F,Raw
2,Elke de Leeuw,70.70,125.00,132.50,-137.50,132.50,60.00,62.50,-65.00,62.50,140.00,145.00,145.00,145.00,342.50,72,Open,SBD,F,Raw
3,Sara Cohen,70.75,-105.00,105.00,107.50,107.50,67.50,70.00,72.50,72.50,147.50,157.50,157.50,157.50,337.50,72,Open,SBD,F,Raw
4,Celine Nieuwland,71.20,107.50,115.00,-117.50,115.00,62.50,65.00,67.50,67.50,137.50,145.00,145.00,145.00,330.00,72,Open,SBD,F,Raw
5,Yvonne Kortsmit,70.40,115.00,117.50,-120.00,117.50,77.50,-83.00,-83.00,77.50,130.00,-140.00,130.00,130.00,325.00,72,Open,SBD,F,Raw
6,Anna Spiering,70.70,62.50,67.50,70.00,70.00,37.50,40.00,-42.50,40.00,-97.50,100.00,100.00,100.00,217.50,72,Open,SBD,F,Raw
1,Corine Ganga,77.85,130.00,137.50,142.50,142.50,67.50,72.50,77.50,77.50,160.00,162.50,162.50,162.50,390.00,84,Open,SBD,F,Raw
2,Helima Bridi̩,83.35,122.50,127.50,-135.00,127.50,70.00,-75.00,-75.00,70.00,160.00,172.50,172.50,172.50,370.00,84,Open,SBD,F,Raw
3,Fleur Goedhart,76.10,102.50,110.00,-115.00,110.00,72.50,77.50,-78.50,77.50,127.50,135.00,135.00,135.00,322.50,84,Open,SBD,F,Raw
4,Ragnhild Maarleveld,78.20,100.00,-107.50,112.50,112.50,37.50,42.50,-47.50,42.50,110.00,120.00,120.00,120.00,290.00,84,Open,SBD,F,Raw
5,Lotte Leek,81.40,97.50,102.50,105.00,105.00,47.50,50.00,-52.50,50.00,107.50,115.00,115.00,115.00,275.00,84,Open,SBD,F,Raw
1,Fabbio Hu,65.70,155.00,-160.00,162.50,162.50,123.00,128.00,-132.00,128.00,195.00,205.00,205.00,205.00,495.50,66,Open,SBD,M,Raw
2,Kabir Razack,65.40,165.00,175.00,-182.50,175.00,105.00,-110.00,-110.00,105.00,190.00,195.00,195.00,195.00,475.00,66,Open,SBD,M,Raw
3,Buu-Van Nguyen,65.10,132.50,140.00,147.50,147.50,87.50,95.00,-100.00,95.00,190.00,202.50,202.50,202.50,447.50,66,Open,SBD,M,Raw
4,Michiel de Graaff,65.30,140.00,147.50,152.50,152.50,90.00,95.00,-97.50,95.00,190.00,200.00,200.00,200.00,447.50,66,Open,SBD,M,Raw
1,Di Ke Wu,74.00,165.00,172.50,177.50,177.50,125.00,130.00,-132.50,130.00,215.00,225.00,225.00,225.00,537.50,74,Open,SBD,M,Raw
2,Adriaan Dirkzwager,72.60,155.00,162.50,170.00,170.00,100.00,110.00,-117.50,110.00,220.00,235.00,235.00,235.00,515.00,74,Open,SBD,M,Raw
3,Hiresh Jadoenathmissier,71.20,130.00,140.00,-147.50,140.00,100.00,107.50,115.00,115.00,175.00,182.50,182.50,182.50,445.00,74,Open,SBD,M,Raw
4,Diederik Diekhuis,72.90,157.50,170.00,-180.00,170.00,75.00,80.00,-85.00,80.00,170.00,182.50,182.50,182.50,440.00,74,Open,SBD,M,Raw
5,Nick van de Luijtgaarden,73.80,147.50,152.50,-157.50,152.50,97.50,102.50,-105.00,102.50,172.50,-175.00,172.50,172.50,427.50,74,Open,SBD,M,Raw
6,Yasir Aydemir,69.80,110.00,120.00,-127.50,120.00,80.00,85.00,90.00,90.00,165.00,-175.00,165.00,165.00,375.00,74,Open,SBD,M,Raw
1,Sil Maris,81.90,230.00,-242.50,247.50,247.50,132.50,140.00,145.00,145.00,250.00,265.00,265.00,265.00,667.50,83,Open,SBD,M,Raw
2,Martin Tan,79.00,190.00,200.00,207.50,207.50,140.00,147.50,-151.50,147.50,-230.00,235.00,235.00,235.00,600.00,83,Open,SBD,M,Raw
3,Andr̩ Makkinje,80.20,180.00,192.50,-202.50,192.50,110.00,117.50,122.50,122.50,220.00,235.00,235.00,235.00,557.50,83,Open,SBD,M,Raw
4,Kevin Kho,81.90,-165.00,170.00,180.00,180.00,140.00,145.00,-151.00,145.00,-215.00,215.00,215.00,215.00,557.50,83,Open,SBD,M,Raw
5,David Vesseur,80.00,170.00,,,170.00,140.00,150.50,-160.00,150.50,200.00,220.00,220.00,220.00,540.50,83,Open,SBD,M,Raw
6,Thijs Kortekaas,83.00,175.00,185.00,192.50,192.50,132.50,-135.00,-135.00,132.50,195.00,210.00,210.00,210.00,535.00,83,Open,SBD,M,Raw
7,Joeri Morpurgo,81.20,155.00,165.00,175.00,175.00,112.50,120.00,-122.50,120.00,200.00,-212.50,200.00,200.00,495.00,83,Open,SBD,M,Raw
8,Dylan Boahemaa,82.90,150.00,160.00,-165.00,160.00,105.00,115.00,122.50,122.50,192.50,-207.50,192.50,192.50,490.00,83,Open,SBD,M,Raw
9,Max Martens,81.70,-137.50,145.00,150.00,150.00,90.00,95.00,-100.00,95.00,165.00,175.00,175.00,175.00,430.00,83,Open,SBD,M,Raw
10,Philip van den Heuvel,79.50,150.00,-157.50,157.50,157.50,90.00,95.00,-100.00,95.00,162.50,-170.00,162.50,162.50,415.00,83,Open,SBD,M,Raw
11,Gilles Dijkman,82.20,120.00,-130.00,-135.00,120.00,90.00,-95.00,-95.00,90.00,170.00,-185.00,170.00,170.00,405.00,83,Open,SBD,M,Raw
12,Alan van Rossum,75.80,130.00,137.50,-150.00,137.50,95.00,-100.00,-100.00,95.00,150.00,160.00,160.00,160.00,397.50,83,Open,SBD,M,Raw
13,Christian van der Niet,81.90,-80.00,80.00,85.00,85.00,65.00,70.00,-72.50,70.00,120.00,130.00,130.00,130.00,290.00,83,Open,SBD,M,Raw
1,Joey Ma,87.60,250.00,260.50,268.50,268.50,145.00,153.00,-155.50,153.00,280.00,300.00,300.00,300.00,727.00,93,Open,SBD,M,Raw
2,Auke Piers,92.10,200.00,210.00,215.00,215.00,145.00,153.50,-156.00,153.50,250.00,260.00,260.00,260.00,628.50,93,Open,SBD,M,Raw
3,Richard Schoonhoven,92.10,195.00,205.00,-210.00,205.00,137.50,145.00,150.00,150.00,247.50,260.00,260.00,260.00,615.00,93,Open,SBD,M,Raw
