Place,Name,Sex,Event,Division,WeightClassKg,Equipment,BirthYear,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg
1,Noelia Aliste Sánchez,F,SBD,SNR,57,Raw,1974,53.37,82.5,90.0,95.0,95.0,45.0,50.0,55.0,55.0,125.0,135.0,-140.0,135.0,285.0
2,Raquel Casas Largo,F,SBD,SNR,57,Raw,1989,55.34,-90.0,90.0,102.5,102.5,40.0,45.0,50.0,50.0,115.0,125.0,130.0,130.0,282.5
1,Paula Mollá Robles,F,SBD,SNR,63,Raw,1997,61.02,92.5,-97.5,97.5,97.5,47.5,50.0,-52.5,50.0,-115.0,115.0,125.0,125.0,272.5
1,Rafael López Cabello,M,SBD,SNR,66,Raw,1958,65.00,145.0,155.0,-165.0,155.0,85.0,90.0,92.5,92.5,195.0,207.5,-217.5,207.5,455.0
DQ,Samuel Luzuriaga Pozo,M,SBD,SNR,66,Raw,1997,64.14,-120.0,-130.0,135.0,135.0,-100.0,-100.0,-100.0,,160.0,165.0,175.0,175.0,
1,David Camacho Losantos,M,SBD,SNR,74,Raw,2000,69.80,155.0,165.0,172.5,172.5,95.0,-100.0,100.0,100.0,182.5,195.0,202.5,202.5,475.0
2,Antonio Rodríguez Rodríguez,M,SBD,SNR,74,Raw,1991,72.65,155.0,165.0,-172.5,165.0,110.0,-117.5,-117.5,110.0,190.0,-215.0,-215.0,190.0,465.0
1,Álvaro Couce Sánchez,M,SBD,SNR,83,Raw,1991,81.40,160.0,170.0,180.0,180.0,135.0,145.0,-150.0,145.0,200.0,212.5,230.0,230.0,555.0
2,Tsanko Ventsislavov Baliev,M,SBD,SNR,83,Raw,1995,81.15,180.0,-200.0,200.0,200.0,120.0,130.0,132.5,132.5,190.0,205.0,210.0,210.0,542.5
1,Daniel Rivera Ravés,M,SBD,SNR,93,Raw,1982,92.35,-210.0,210.0,217.5,217.5,140.0,147.5,155.0,155.0,240.0,250.0,257.5,257.5,630.0
2,Francisco Juan Bermejo,M,SBD,SNR,93,Raw,1999,88.12,210.0,-217.5,220.0,220.0,110.0,117.5,125.0,125.0,245.0,260.0,-270.0,260.0,605.0
3,Alex Llambrich Chomar,M,SBD,SNR,93,Raw,1997,90.38,170.0,195.0,202.5,202.5,130.0,152.5,157.5,157.5,170.0,200.0,207.5,207.5,567.5
4,Miguel Coronel Byrne,M,SBD,SNR,93,Raw,1997,91.73,150.0,165.0,-170.0,165.0,145.0,-152.5,-152.5,145.0,190.0,205.0,-210.0,205.0,515.0
5,Ignacio Fauró Núñez,M,SBD,SNR,93,Raw,1998,90.40,140.0,150.0,160.0,160.0,-90.0,90.0,-95.0,90.0,190.0,225.0,,225.0,475.0
1,Sebastián Catalá Hidalgo,M,SBD,SNR,105,Raw,1996,102.44,225.0,235.0,250.0,250.0,-147.5,147.5,155.0,155.0,250.0,265.0,-275.0,265.0,670.0
