Name,Team,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Event,Equipment,Sex
H Wolsey,WA,42.4,117.5,55,135.5,307.5,SBD,Single-ply,F
K Ramsey,SE,45.9,115,60,130,305,SBD,Single-ply,F
S Clifford-Jones,EM,46.7,102.5,47.5,125,275,SBD,Single-ply,F
S Stapleton,NM,47,100,47.5,115,262.5,SBD,Single-ply,F
H Lawson,YNE,46.8,80,37.5,110,227.5,SBD,Single-ply,F
D Daniels,SM,46.3,75,32.5,110,217.5,SBD,Single-ply,F
A Maddy,NM,48.4,62.5,40,90,192.5,SBD,Single-ply,F
L Manester,SE,51.2,120,72.5,142.5,335,SBD,Single-ply,F
N Davies,NM,50.1,95,62.5,130,287.5,SBD,Single-ply,F
I Snudden,SM,50.6,115,57.5,112.5,285,SBD,Single-ply,F
D Goddard,SM,51.3,100,45,132.5,277.5,SBD,Single-ply,F
J Zambonini,NW,51.1,90,45,125,260,SBD,Single-ply,F
J Horn,NW,50.6,95,37.5,110,242.5,SBD,Single-ply,F
Jenny Hunter,EM,55,155,85,181,421,SBD,Single-ply,F
Jackie Blasberry,EM,55.9,147.5,67.5,180.5,395.5,SBD,Single-ply,F
H Mccalmon,WA,55.7,112.5,52.5,165,330,SBD,Single-ply,F
L Steggles,SW,55.5,115,65,132.5,312.5,SBD,Single-ply,F
M Ewers,GL,54.5,97.5,70,132.5,300,SBD,Single-ply,F
A Brown,NM,52.8,97.5,50,132.5,280,SBD,Single-ply,F
H Whittington,SE,53.4,97.5,52.5,127.5,277.5,SBD,Single-ply,F
S Stickler,SW,53,100,42.5,132.5,275,SBD,Single-ply,F
R Bass,GL,58.9,155,80,175,410,SBD,Single-ply,F
S Williams,SE,59.4,135,60,170,365,SBD,Single-ply,F
H Trafford,NW,58.3,130,72.5,160,362.5,SBD,Single-ply,F
J Jones,SM,58.5,155,70,132.5,357.5,SBD,Single-ply,F
J Kattan,YNE,56.9,127.5,67.5,155,350,SBD,Single-ply,F
S Steele,WM,58.4,135,60,155,350,SBD,Single-ply,F
R Francis,GL,59.3,122.5,57.5,170,350,SBD,Single-ply,F
L Dansie,GL,58.1,125,60,160,345,SBD,Single-ply,F
N Bartley,WA,58.8,140,57.5,145,342.5,SBD,Single-ply,F
H Thompson,EM,59.2,115,47.5,130,292.5,SBD,Single-ply,F
M Montsho,NW,58.3,95,45,135,275,SBD,Single-ply,F
A Smith,GL,65.8,155,85.5,182.5,422.5,SBD,Single-ply,F
D Thomas,NM,61.9,160,72.5,145,377.5,SBD,Single-ply,F
K Sheffield,NM,66.7,125,82.5,160,367.5,SBD,Single-ply,F
J Wheeler,SM,66.1,132.5,60,162.5,355,SBD,Single-ply,F
Carole Springett,YNE,66.2,135,60,147.5,342.5,SBD,Single-ply,F
J Wills,YNE,62.1,105,62.5,130,297.5,SBD,Single-ply,F
E Harris,SE,64.9,120,52.5,125,297.5,SBD,Single-ply,F
J Green,NM,64.2,105,,,,SBD,Single-ply,F
J Williams,NM,74.7,160,98.5,175,433.5,SBD,Single-ply,F
S Smith,GL,73.9,142.5,67.5,200,410,SBD,Single-ply,F
D Reeves,YNE,70.9,150,90,167.5,407.5,SBD,Single-ply,F
T Dove,EM,72.2,162.5,62.5,155,380,SBD,Single-ply,F
K Wilson,WM,73.5,120,67.5,172.5,360,SBD,Single-ply,F
J Oakes,SE,80.2,150,100,150,400,SBD,Single-ply,F
B Martin,WM,88.9,180,70,197.5,447.5,SBD,Single-ply,F
Jackie Pepper,SE,89.8,175,90,182.5,447.5,SBD,Single-ply,F
J Kerr,SE,88.5,147.5,95,170,412.5,SBD,Single-ply,F
M Augee,GL,91,200,137.5,220,557.5,SBD,Single-ply,F
C Bonner,SM,94.9,160,77.5,175,412.5,SBD,Single-ply,F
