NAME,WeightClassLBS,Division,Best3BenchLBS,State,Sex
Carla Capone,,Open,135,NH,F
Linda Dart,,Open,100,NH,F
C. Bergeron,,Teenage (13-15),205,,M
M. Smart,,Teenage (13-15),180,,M
Michael Crowell,,Teenage (16-17),175,,M
James Gagnon,,Teenage (16-17),220,,M
J. Gagne,,Teenage (18-19),390,,M
M. Malone,,Teenage (18-19),250,,M
Todd Paris,,Teenage (18-19),310,NH,M
Ron Kaneg,,Teenage (18-19),285,NH,M
Scott Fisk,,Teenage (18-19),220,VT,M
David Dornfofer,,Junior (20-23),430,,M
Brett Naperata,,Junior (20-23),400,MA,M
Tim Barchard,,Junior (20-23),440,,M
David Brown,,Junior (20-23),285,,M
Chris Parent,,Junior (20-23),270,,M
Jon Giampietro,,Junior (20-23),310,MA,M
Brian Derosia,,Junior (20-23),270,,M
P. Swales,,Junior (20-23),270,,M
Danny Kabasakalian,,Junior (20-23),295,CT,M
John Paten,,Junior (20-23),435,NH,M
Ed Medeiros,,Junior (20-23),365,CT,M
Dave Villeneaue,,Junior (20-23),385,VT,M
B. Morin,,Junior (20-23),315,,M
Vern VanDeWal,,Junior (20-23),345,VT,M
Mitch Ancona,,Junior (20-23),270,,M
Johan Jowharchi,,Junior (20-23),330,MA,M
P. Petalas,,Junior (20-23),240,,M
Ron Plouffe,,Submaster (33-39),315,NH,M
Jerry Wing ,,Submaster (33-39),240,VT,M
Rodney Inman,,Submaster (33-39),245,VT,M
Ronald Smith,,Master (40-49),390,TX,M
Joe Mugovero,,Master (40-49),425,CT,M
Ron Makarawicz,,Master (40-49),385,NH,M
Brian Morin,,Master (40-49),255,,M
Wayne Andrews,,Master (40-49),355,NH,M
Norm Gagnon,,Master (40-49),300,NH,M
P. Daniels,,Master (40-49),235,,M
Carl Klehm,,Master (50-59),340,OH,M
John Segedy,,Master (50-59),220,NH,M
Ralph Raymond,,Master (60+),310,NH,M
Art Cournoyer,,Master (60+),270,RI,M
Donald Stratton,,Master (60+),220,NH,M
Greg Gould,132,Open,300,NH,M
Danny Kabasakalian,132,Open,295,CT,M
M. Melone,132,Open,250,,M
D. Brown,148,Open,285,,M
Mitch Ancona,148,Open,270,,M
Steve Harmon,148,Open,265,,M
Bill Morin,148,Open,255,,M
Tim Barrett,148,Open,225,VT,M
Bill Triche,165,Open,410,MA,M
Brian Morin,165,Open,315,,M
Mike Varner,165,Open,300,,M
Robert Shablin,165,Open,290,,M
Brett Naperata,181,Open,400,MA,M
Jim Kathios,181,Open,350,NH,M
Danny Molineaux,181,Open,345,Canada,M
Ed Falcinelli,181,Open,345,RI,M
Mike Smith,181,Open,330,NH,M
Jon Giampietro,181,Open,310,MA,M
Jeff Watts,181,Open,300,,M
P. Petalas,181,Open,240,,M
David Dornfofer,198,Open,430,,M
Dan Harvie,198,Open,405,VT,M
B. Michael,198,Open,400,,M
J. Gagne,198,Open,390,,M
Ed Medeiros,198,Open,365,CT,M
Vern VanDeWal,198,Open,345,VT,M
Johan Jowharchi,198,Open,330,MA,M
C. Melendy,198,Open,280,,M
Brian Derosia,198,Open,270,,M
Rodney Inman,198,Open,245,VT,M
Tim Barchard,220,Open,440,,M
Pete Jandron,220,Open,375,MA,M
J. Torres,220,Open,375,,M
Ron Kaneg,220,Open,285,NH,M
Ron Makarawicz,242,Open,385,NH,M
Andy Beshta,242,Open,340,NH,M
Louie Tseramis,275,Open,550,Canada,M
John Paton,275,Open,435,NH,M
Carl Klehm,275,Open,340,OH,M
Bill Sitko,SHW,Open,480,RI,M
Colin Scoggins,SHW,Open,420,NH,M
Gary Vezina,132,Master (40-44),185,VT,
Ron Sakaguchi,165,Master (40-44),435,CA,
Neil Gagnon,198,Master (40-44),300,NH,
B. Dupont,220,Master (40-44),325,,
Al Snitkin,242,Master (40-44),340,MA,
Ernie Koopman,242,Master (40-44),330,,
Joe Mugovero,275,Master (40-44),425,CT,
Wayne Andrews,SHW,Master (40-44),355,NH,
B. Morin,148,Master (45-49),255,,
Norm MacKay,165,Master (45-49),350,VT,
Ronald Smith,181,Master (45-49),390,TX,
Ron Makarawicz,181,Master (45-49),385,NH,
Ron Greenlow,181,Master (50-54,295,NH,
Pete Stanley,181,Master (50-55,290,MA,
Jon Segedy,181,Master (50-56,220,NH,
Carl Klehm,275,Master (50-57,340,OH,
Dave Bashaw,181,Master (55-59),225,NH,
Burt Rosenfield,198,Master (55-59),310,PA,
Ed Fitzgerald,165,Master (60-64),190,RI,
Art Cournoyer,181,Master (60-64),270,RI,
Ralph Raymond,220,Master (60-64),315,NH,
Joe Salmon,220,Master (60-64),235,VT,
Nick Connell,198,Master (65-69),215,NH,
Donald Stratton,242,Master (65-69),220,NH,
Jerry Wing ,181,Submaster (33-39),245,VT,
Frank Palmer,198,Submaster (33-39),425,MA,
Rod Inman,198,Submaster (33-39),245,VT,
Brian Todt,220,Submaster (33-39),370,MA,
S. Noel,220,Submaster (33-39),350,MA,
John Paretta,242,Submaster (33-39),395,NY,
Steve Waldo,242,Submaster (33-39),340,VT,
Greg Sodaro,242,Submaster (33-39),295,VT,
Mike Crockett,SHW,Submaster (33-39),460,RI,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
