Place,Division,Sex,Name,Best3BenchKg,TotalKg,Team,State,Event,Equipment
7,17+,Male,N Ciuffetelli,72.5,72.5,Nudgee College,QLD,B,Raw
8,17+,Male,C Ferry,70,70,Nudgee College,QLD,B,Raw
9,17+,Male,Pat Herde,40,40,Nudgee College,QLD,B,Raw
10,17+,Male,Rob Mackay,40,40,Nudgee College,QLD,B,Raw
11,17+,Male,Courtney Innes,40,40,Nudgee College,QLD,B,Raw
12,17+,Male,Lachie Morgan,40,40,Nudgee College,QLD,B,Raw
1,17+,Male,Sam Faust,110,110,Kirwan State High School,QLD,B,Raw
2,17+,Male,Nathan Daly,95,95,Nudgee College,QLD,B,Raw
3,17+,Male,Chris Orr,90,90,Nudgee College,QLD,B,Raw
4,17+,Male,J Hayes,65,65,Nudgee College,QLD,B,Raw
5,17+,Male,Daniel Feldman,60,60,Nudgee College,QLD,B,Raw
6,17+,Male,Mat La-Chuisa,40,40,Nudgee College,QLD,B,Raw
1,17+,Male,Samuel T,115,115,Kirwan State High School,QLD,B,Raw
