Name,BodyweightKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,TotalKg,Event,Equipment,Sex,Division,Place
Anthony Clark,255,-800,800,-805,,800,800,B,Multi-ply,M,Open,1
Dave Watterman,181,570,600,-805,,600,600,B,Multi-ply,M,Open,2
JM Blakeley,279,620,660,675,-705,675,675,B,Multi-ply,M,Open,3
Frank Pfraumer,219,630,-665,-665,,630,630,B,Multi-ply,M,Open,4
George Halbert,242,610,650,-685,,650,650,B,Multi-ply,M,Open,5
Jerry Obradovich,287,580,-640,640,-660,640,640,B,Multi-ply,M,Open,6
J. Schick,148,-465,-475,-485,,,,B,Multi-ply,M,Open,DQ
