Place,Name,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,WeightClassKg,Sex,CyrillicName,BirthYear,Event,Equipment,Division
1,Khristina Khamulyak,46.84,92.5,45,125,262.5,47,F,Христина Хамуляк,1994,SBD,Raw,Student
2,Olga Zayats,46.42,95,42.5,92.5,230,47,F,Ольга Заяць,1994,SBD,Raw,Student
3,Tetyana Schavinska,46.42,70,55,95,220,47,F,Тетяна Щавінська,1996,SBD,Raw,Student
4,Irina Geshko,46.08,50,27.5,65,142.5,47,F,Ірина Гешко,1993,SBD,Raw,Student
1,Zina Demyan,49.66,75,50,107.5,232.5,52,F,Зіна Демян,1997,SBD,Raw,Student
2,Anastasiya Korotenko,51.4,85,52.5,95,232.5,52,F,Анастасія Коротенко,1995,SBD,Raw,Student
3,Khristina Tarasova,51.5,60,35,87.5,182.5,52,F,Христина Тарасова,1995,SBD,Raw,Student
1,Darya Kuzmina,53.76,117.5,70,150,337.5,57,F,Дарья Кузьмина,1992,SBD,Raw,Student
2,Mariya Ilnytska,55.36,102.5,80,115,297.5,57,F,Марія Ільницька,1995,SBD,Raw,Student
3,Marina Furman,55.36,92.5,60,122.5,275,57,F,Марина Фурман,1997,SBD,Raw,Student
4,Yuliya Chikalina,56.48,80,57.5,125,262.5,57,F,Юлія Чикаліна,1998,SBD,Raw,Student
5,Alina Morgach,55.12,82.5,45,110,237.5,57,F,Аліна Моргач,1997,SBD,Raw,Student
1,Vasilisa Onischenko,62.35,122.5,72.5,152.5,347.5,63,F,Василиса Оніщенко,1993,SBD,Raw,Student
2,Anna Khechueva,62.1,92.5,55,122.5,270,63,F,Анна Хечуєва,1995,SBD,Raw,Student
3,Oleksandra Korogod,59.26,92.5,62.5,112.5,267.5,63,F,Олександра Корогод,1998,SBD,Raw,Student
4,Anastasiya Nakonechna,57.58,87.5,50,95,232.5,63,F,Анастасія Наконечна,1995,SBD,Raw,Student
1,Dariya Shashkova,71.75,120,67.5,115,302.5,72,F,Дарія Шашкова,1997,SBD,Raw,Student
2,Eva Mak,66.75,110,60,122.5,292.5,72,F,Єва Мак,1993,SBD,Raw,Student
3,Oleksandra Shapkina,65.6,102.5,55,120,277.5,72,F,Олександра Шапкіна,1994,SBD,Raw,Student
4,Evgeniya Bazarnova,64.75,97.5,47.5,120,265,72,F,Євгенія Базарнова,1996,SBD,Raw,Student
5,Darina Mindal,67.85,90,47.5,100,237.5,72,F,Дарина Міндаль,1995,SBD,Raw,Student
1,Yuliya Marinenko,81.75,127.5,57.5,127.5,312.5,84,F,Юлія Мариненко,1995,SBD,Raw,Student
2,Valentina Zagoruyko,79.85,100,60,125,285,84,F,Валентина Загоруйко,1992,SBD,Raw,Student
3,Diana Nagornyuk,74.15,122.5,45,115,282.5,84,F,Діана Нагорнюк,1997,SBD,Raw,Student
1,Ilona Germakivska,85.65,115,60,140,315,84+,F,Ілона Гермаківська,1997,SBD,Raw,Student
2,Polina Kocherova,84.1,95,40,122.5,257.5,84+,F,Поліна Кочерова,1995,SBD,Raw,Student
1,Vladyslav Malikov,58.72,165,105,185,455,59,M,Владислав Маліков,1995,SBD,Raw,Student
2,Edgar Dolgiy,59,152.5,115,187.5,455,59,M,Едгар Долгий,1996,SBD,Raw,Student
3,Igor Dorokhin,58.58,140,105,182.5,427.5,59,M,Ігор Дорохін,1996,SBD,Raw,Student
4,Oleksandr Yaremchuk,57.8,155,90,172.5,417.5,59,M,Олександр Яремчук,1994,SBD,Raw,Student
5,Nazariy Malyarov,58.52,130,90,177.5,397.5,59,M,Назар Маляров,1998,SBD,Raw,Student
6,Andriy Ryadskiy,59,140,87.5,147.5,375,59,M,Андрій Рядський,1998,SBD,Raw,Student
7,Kirilo Solodchenko,58.1,102.5,87.5,145,335,59,M,Кирило Солодченко,1996,SBD,Raw,Student
1,Vitaliy Nekhrest,65.1,175,127.5,225,527.5,66,M,Віталій Нехрест,1996,SBD,Raw,Student
2,Taras Misko,65.15,177.5,105,202.5,485,66,M,Тарас Місько,1993,SBD,Raw,Student
3,Oleksandr Sirenko,65.35,172.5,115,192.5,480,66,M,Олександр Сіренко,1995,SBD,Raw,Student
4,Roman Shchabel',64.1,145,107.5,222.5,475,66,M,Роман Щабель,1993,SBD,Raw,Student
5,Andriy Kharlamov,65.45,155,120,200,475,66,M,Андрій Харламов,1993,SBD,Raw,Student
6,Valeriy Dudash,65.25,150,102.5,200,452.5,66,M,Валерій Дудаш,1995,SBD,Raw,Student
1,Roman Dorokhin,72.8,190,115,240,545,74,M,Роман Дорохін,1995,SBD,Raw,Student
2,Andriy Dakh,73.95,175,150,212.5,537.5,74,M,Андрій Дах,1996,SBD,Raw,Student
3,Maksim Ofitsinskiy,73.45,202.5,127.5,205,535,74,M,Максим Офіцинський,1997,SBD,Raw,Student
4,Vladislav Chukhlib,73.2,195,117.5,220,532.5,74,M,Владислав Чухлеб,1995,SBD,Raw,Student
5,Vadim Shvets,73.6,190,127.5,215,532.5,74,M,Вадим Швець,1997,SBD,Raw,Student
6,Ivan Pelikh,73.4,180,117.5,220,517.5,74,M,Іван Пелех,1995,SBD,Raw,Student
7,Svyatoslav Tatarin,72.25,160,120,210,490,74,M,Святослав Татарин,1997,SBD,Raw,Student
8,Mikhaylo Tkachenko,73.5,175,112.5,195,482.5,74,M,Михайло Ткаченко,1997,SBD,Raw,Student
9,Igor Golovchak,72.65,180,100,195,475,74,M,Ігор Головчак,1994,SBD,Raw,Student
10,Ivan Savarin,72.5,165,115,190,470,74,M,Іван Саварин,1994,SBD,Raw,Student
11,Andriy Andriychuk,72.65,182.5,100,177.5,460,74,M,Андрій Андрійчук,1996,SBD,Raw,Student
DQ,Viktor Scherbak,72.05,-180,,,,74,M,Віктор Щербак,1996,SBD,Raw,Student
1,Pavlo Mysnyk,81.85,190,167.5,270,627.5,83,M,Павло Мисник,1995,SBD,Raw,Student
2,Stanislav Budayev,82,212.5,152.5,255,620,83,M,Станіслав Будаєв,1992,SBD,Raw,Student
3,Ivan Korol,81.65,205,162.5,247.5,615,83,M,Іван Король,1993,SBD,Raw,Student
4,Vladislav Levikh,82.7,210,147.5,242.5,600,83,M,Владислав Лєвих,1993,SBD,Raw,Student
5,Dmitro Galas,83,225,117.5,252.5,595,83,M,Дмитро Галас,1994,SBD,Raw,Student
6,Sergiy Babenko,82.45,215,127.5,245,587.5,83,M,Сергій Бабенко,1997,SBD,Raw,Student
7,Vladislav Shvetsov,81.1,212.5,127.5,232.5,572.5,83,M,Владислав Швецов,1995,SBD,Raw,Student
8,Sergiy Poltavets,82.35,175,145,250,570,83,M,Сергій Полтавець,1993,SBD,Raw,Student
9,Illya Ryaboy,82.8,190,150,220,560,83,M,Ілля Рябой,1994,SBD,Raw,Student
10,Oleg Visochanskiy,82.25,190,142.5,225,557.5,83,M,Олег Височанський,1995,SBD,Raw,Student
11,Volodimir Sandulyak,82.6,185,120,220,525,83,M,Володимир Сандуляк,1996,SBD,Raw,Student
12,Oleg Ivanik,81.1,175,152.5,195,522.5,83,M,Олег Іваник,1994,SBD,Raw,Student
13,Igor Mar'yanskiy,82.95,170,137.5,190,497.5,83,M,Ігор Мар'янський,1994,SBD,Raw,Student
1,Vadym Bilyk,91.3,232.5,160,252.5,645,93,M,Вадим Білик,1994,SBD,Raw,Student
2,Oleksandr Pelikhanov,89.4,215,160,265,640,93,M,Олександр Пеліханов,1993,SBD,Raw,Student
3,Vitaliy Troyan,90.6,230,152.5,250,632.5,93,M,Віталій Троян,1994,SBD,Raw,Student
