WeightClassKg,Division,Sex,Name,BirthYear,BodyweightKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Equipment,Event
82.5,Youth,M,Geiß Tobias,1990,80.5,135.0,145.0,155.0,155.0,155.0,6,Single-ply,D
90,Youth,M,Boll Michael,1990,88.0,210.0,220.0,-225.0,220.0,220.0,1,Single-ply,D
100,Youth,M,Böttger Marcus,1990,98.0,250.0,260.0,270.0,270.0,270.0,1,Single-ply,D
100,Youth,M,Bulla Oliver,1990,90.4,190.0,210.0,-220.0,210.0,210.0,2,Single-ply,D
110,Youth,M,Gollnick Nico,1991,105.0,180.0,205.0,215.0,215.0,215.0,1,Single-ply,D
110,Youth,M,Vysockij Jan,1991,100.1,190.0,205.0,-215.0,205.0,205.0,2,Single-ply,D
125+,Youth,M,Schulze Tobias,1990,139.8,220.0,241.0,251.0,251.0,251.0,1,Single-ply,D
56,Juniors,M,Leutzow Christian,1988,53.9,140.0,150.0,-160.0,150.0,150.0,1,Single-ply,D
67.5,Juniors,M,Wolkow Johannes,1986,66.7,200.0,210.0,-220.0,210.0,210.0,1,Single-ply,D
67.5,Juniors,M,Kaiser Ron,1985,63.7,-165.0,-165.0,-165.0,,,DQ,Single-ply,D
75,Juniors,M,Ehrlicher Michel,1985,73.3,220.0,235.0,250.0,250.0,250.0,1,Single-ply,D
75,Juniors,M,Körner Tom,1988,72.7,215.0,230.0,-240.0,230.0,230.0,2,Single-ply,D
75,Juniors,M,Becker Felix,1989,71.1,180.0,187.5,-192.5,187.5,187.5,3,Single-ply,D
75,Juniors,M,Tetschke Tobias,1989,70.2,150.0,170.0,-180.0,170.0,170.0,4,Single-ply,D
82.5,Juniors,M,Grab Matthias,1985,81.1,275.0,285.0,-292.5,285.0,285.0,1,Single-ply,D
82.5,Juniors,M,Justus André,1987,81.0,250.0,260.0,-262.5,260.0,260.0,2,Single-ply,D
82.5,Juniors,M,Denk Alexander,1986,77.0,235.0,250.0,-260.0,250.0,250.0,3,Single-ply,D
82.5,Juniors,M,Vierig Steven,1985,81.0,210.0,225.0,235.0,235.0,235.0,4,Single-ply,D
82.5,Juniors,M,Lux Martin,1989,80.7,205.0,220.0,-225.0,220.0,220.0,5,Single-ply,D
82.5,Juniors,M,Koschnik Leon,1988,82.2,200.0,220.0,-252.5,220.0,220.0,6,Single-ply,D
90,Juniors,M,Schreiber Christian,1987,87.2,255.0,265.0,275.0,275.0,275.0,1,Single-ply,D
90,Juniors,M,Reichardt Tobias,1986,84.1,200.0,215.0,230.0,230.0,230.0,2,Single-ply,D
100,Juniors,M,Fleissner Malte,1989,91.9,260.0,270.0,-272.5,270.0,270.0,1,Single-ply,D
100,Juniors,M,Pfeiffer Daniel,1986,99.0,240.0,262.5,-272.5,262.5,262.5,2,Single-ply,D
100,Juniors,M,Ludwig Thomas,1989,94.3,190.0,200.0,205.0,205.0,205.0,3,Single-ply,D
100,Juniors,M,Klann Stephan,1987,99.3,170.0,195.0,-207.5,195.0,195.0,4,Single-ply,D
100,Juniors,M,Treimer Stefan,1985,90.5,-280.0,-280.0,-280.0,,,DQ,Single-ply,D
110,Juniors,M,Podas Steven,1989,107.6,230.0,245.0,257.5,257.5,257.5,1,Single-ply,D
110,Juniors,M,Ritschel Denny,1988,100.9,230.0,245.0,255.0,255.0,255.0,2,Single-ply,D
110,Juniors,M,Hofmann Benjamin,1985,108.8,-230.0,240.0,-252.5,240.0,240.0,3,Single-ply,D
125,Juniors,M,Enge Robert,1989,112.5,185.0,195.0,205.0,205.0,205.0,1,Single-ply,D
60,Open,M,Richter Danny,1984,57.8,137.5,152.5,-160.0,152.5,152.5,1,Single-ply,D
67.5,Open,M,Riesch Matthias,1973,65.6,240.0,247.5,-250.0,247.5,247.5,1,Single-ply,D
67.5,Open,M,Schwabe Mirko,1979,66.4,220.0,242.5,-250.0,242.5,242.5,2,Single-ply,D
67.5,Open,M,Kühn Marcel,1979,67.0,170.0,180.0,195.0,195.0,195.0,3,Single-ply,D
67.5,Open,M,Dzhyoyev Alexander,1984,67.5,170.0,-177.5,-177.5,170.0,170.0,4,Single-ply,D
75,Open,M,Schmidt Peter,1974,74.0,235.0,255.0,265.0,265.0,265.0,1,Single-ply,D
75,Open,M,Korell Thomas,1983,73.2,235.0,250.0,262.5,262.5,262.5,2,Single-ply,D
75,Open,M,Van Dunem Lopes,1969,74.0,230.0,240.0,-245.0,240.0,240.0,3,Single-ply,D
75,Open,M,Kücük Ömer,1983,69.5,230.0,-240.0,-245.0,230.0,230.0,4,Single-ply,D
75,Open,M,Knopf Sascha,1983,73.1,205.0,215.0,-220.0,215.0,215.0,5,Single-ply,D
82.5,Open,M,Schütz Alex,1984,75.1,240.0,247.5,255.0,255.0,255.0,1,Single-ply,D
82.5,Open,M,Starke Uwe,1976,79.7,220.0,245.0,250.0,250.0,250.0,2,Single-ply,D
