Name,BodyWeightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Team,Place,Event,Equipment,Sex
Roeleveld,71,215,127.5,235,577.5,KCS,1,SBD,Single-ply,M
Schenkels,93.1,290,192.5,290,772.5,KCS,1,SBD,Single-ply,M
Zande,99.4,230,157.5,295,682.5,KCS,1,SBD,Single-ply,M
Nolles,103.6,320,185,332.5,837.5,KCS,1,SBD,Single-ply,M
Henderson,106.2,285,162.5,300,747.5,KCS,1,SBD,Single-ply,M
Blankers,139.4,290,182.5,260,732.5,KCS,1,SBD,Single-ply,M
Bruggink,76.5,237.5,140,240,617.5,Beverly,2,SBD,Single-ply,M
Danielsson,98.2,280,157.5,295,732.5,Beverly,2,SBD,Single-ply,M
Leeuwerhag,100.4,270,170,300,740,Beverly,2,SBD,Single-ply,M
Baarsen,107.7,245,170,325,740,Beverly,2,SBD,Single-ply,M
Berend Veneberg,121,320,212.5,350,882.5,Beverly,2,SBD,Single-ply,M
D. Vries,61,215,120,225,560,SSS,3,SBD,Single-ply,M
D. Oliviera,76.3,225,130,225,580,SSS,3,SBD,Single-ply,M
Janes Schneider,83.9,275,180,275,730,SSS,3,SBD,Single-ply,M
Frans van de Meulen,106.5,305,195,310,810,SSS,3,SBD,Single-ply,M
Jansen,130,350,215,340,905,SSS,3,SBD,Single-ply,M
Gerard Tromp,65.5,235,142.5,222.5,600,Spartacus,4,SBD,Single-ply,M
Hemming,98.2,267.5,167.5,290,725,Spartacus,4,SBD,Single-ply,M
Piebe Faber,110.4,310,232.5,300,842.5,Spartacus,4,SBD,Single-ply,M
v.d. Tak,124.3,330,230,330,890,Spartacus,4,SBD,Single-ply,M
Nijenhuis,131.7,280,190,280,750,Spartacus,4,SBD,Single-ply,M
