Name,WeightClassKg,Division,Sex,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Event,Equipment,Place
R. Walders,125,Open,M,,570,390,630,1590,SBD,Single-ply,2
K. Woodard,125+,Open,M,,705,430,640,1775,SBD,Single-ply,1
R. Pereda,,Masters,M,165,560,310,530,1400,SBD,Single-ply,1
T. Trevora,,Masters,M,178,510,310,520,1340,SBD,Single-ply,3
W. Roberts,,Masters,M,191,480,340,580,1400,SBD,Single-ply,2
L. Vargas,,Masters,M,195,430,315,430,1175,SBD,Single-ply,5
Underhill,,Masters,M,209,440,305,450,1195,SBD,Single-ply,4
B. Remley ,,Masters,M,197,410,290,450,1150,SBD,Single-ply,6
J. Komrath,,Masters,M,162,225,225,315,765,SBD,Single-ply,7
D. Dewitt,,Open,F,148,410,230,410,1050,SBD,Single-ply,1
L. Smith,,Open,F,174,365,210,420,995,SBD,Single-ply,2
K. Besuden,,Open,F,129,325,135,315,775,SBD,Single-ply,3
T. Disano,,Open,F,114,235,145,290,670,SBD,Single-ply,5
C. Fisher,,Open,F,114,250,120,295,665,SBD,Single-ply,7
R. Brown,,Open,F,120,235,135,300,670,SBD,Single-ply,6
E. Trevorah,,Open,F,159,300,115,305,720,SBD,Single-ply,4
L. Sprague,,Open,F,141,205,95,235,535,SBD,Single-ply,9
L. Roberts,,Open,F,146,170,85,290,545,SBD,Single-ply,8
