Place,Name,CyrillicName,BirthYear,BodyweightKg,Best3SquatKg,Squat4Kg,Best3BenchKg,Best3DeadliftKg,Deadlift4Kg,TotalKg,Sex,Division,Event,Equipment,WeightClassKg
10,Vladimir Silnichenko,Сильниченко Владимир,1974,84.45,185,,100,215,,500,M,Juniors,SBD,Single-ply,90
11,Vladimir Laktionov,Лактионов Владимир,1968,89.4,185,,95,210,,490,M,Juniors,SBD,Single-ply,90
DQ,Valeriy Deriy,Дерий Валерий,1973,88.9,,,,,,,M,Juniors,SBD,Single-ply,90
1,Yaroslav Tristan,Тристан Ярослав,1972,97,260,,160,282.5,,702.5,M,Juniors,SBD,Single-ply,100
2,Aleksandr Kotlubey,Котлубей Александр,1974,90.05,190,,117.5,192.5,,500,M,Juniors,SBD,Single-ply,100
1,Aleksandr Volkov,Волков Александр,1972,110,250,,170,270,,690,M,Juniors,SBD,Single-ply,110
2,Igor Antipenko,Антипенко Игорь,1968,101.7,252.5,,130,260,,642.5,M,Juniors,SBD,Single-ply,110
3,Andrey Budnik,Будник Андрей,1971,101.6,235,,162.5,240,,637.5,M,Juniors,SBD,Single-ply,110
4,Pavel Skvyrya,Сквыря Павел,1968,100.9,220,,167.5,237.5,,625,M,Juniors,SBD,Single-ply,110
5,Pavel Begalov,Бегалов Павел,1971,101.7,170,,155,220,,545,M,Juniors,SBD,Single-ply,110
DQ,Andrey Kalabanka,Калабанька Андрей,1970,102,160,,,,,,M,Juniors,SBD,Single-ply,110
1,Andrey Radchenko,Радченко Андрей,1973,124,260,,140,285,,685,M,Juniors,SBD,Single-ply,125
