Name,BirthDate,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Sex,Equipment,Event
Christopher Fear,,MR-Jr,82.50,83,170.0,185.0,190.0,190.0,110.0,-117.5,-117.5,110.0,215.0,-230.0,-232.5,215.0,515.0,6,M,Raw,SBD
Dulan Jansze,,MR-O,83.00,83,170.0,-180.0,180.0,180.0,110.0,117.5,-122.5,117.5,220.0,232.5,242.5,242.5,540.0,7,M,Raw,SBD
Mike Edwards,,MR-M4,91.10,93,,,,,95.0,100.0,-102.5,100.0,,,,,100.0,5,M,Raw,B
Robert Haddock,,MR-M1,104.50,105,,,,,127.5,135.0,-142.5,135.0,,,,,135.0,4,M,Raw,B
Connor O'Beirne,,MR-Jr,97.10,105,,,,,130.0,137.5,145.0,145.0,,,,,145.0,3,M,Raw,B
Christopher Heyworth,,MR-M2,107.20,120,,,,,147.5,155.0,160.0,160.0,,,,,160.0,1,M,Raw,B
Jake Simpson,,MR-Jr,117.50,120,,,,,-150.0,157.5,-162.5,157.5,,,,,157.5,2,M,Raw,B
Thomas Heap,,MR-Jr,91.20,93,150.0,160.0,170.0,170.0,117.5,125.0,-127.5,125.0,190.0,200.0,210.0,210.0,505.0,12,M,Raw,SBD
Ben Blythe,,MR-O,92.10,93,182.5,192.5,195.0,195.0,137.5,145.0,-150.0,145.0,200.0,212.5,225.0,225.0,565.0,8,M,Raw,SBD
George Jones,,MR-Jr,90.90,93,180.0,185.0,190.0,190.0,-120.0,-120.0,-125.0,,210.0,215.0,220.0,220.0,,DQ,M,Raw,SBD
David Hatton,,MR-O,99.20,105,177.5,185.0,190.0,190.0,110.0,117.5,-122.5,117.5,207.5,217.5,-222.5,217.5,525.0,12,M,Raw,SBD
Marko Closs,,MR-O,92.00,93,192.5,202.5,210.0,210.0,105.0,110.0,-117.5,110.0,202.5,217.5,230.0,230.0,550.0,10,M,Raw,SBD
David Simmons,,MR-Jr,88.20,93,190.0,202.5,-210.0,202.5,137.5,142.5,150.0,150.0,222.5,-232.5,240.0,240.0,592.5,2,M,Raw,SBD
Glynn Roberts,,MR-O,91.50,93,210.0,227.5,-235.0,227.5,110.0,117.5,125.0,125.0,232.5,250.0,260.0,260.0,612.5,4,M,Raw,SBD
Inderpal Singh Gosal,,MR-Sj,89.40,93,190.0,205.0,-210.0,205.0,142.5,147.5,150.0,150.0,240.0,260.0,-270.0,260.0,615.0,1,M,Raw,SBD
Mateusz Boroń,,MR-O,92.10,93,215.0,225.0,-230.0,225.0,115.0,122.5,-127.5,122.5,275.0,290.0,-300.0,290.0,637.5,1,M,Raw,SBD
