Place,Name,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,WeightClassKg,Sex,CyrillicName,BirthYear,Event,Equipment,Division
1,Igor Sydoryak,58.85,175,125,165,465,59,M,Ігор Сидоряк,1996,SBD,Single-ply,Student
DQ,Mikola Shokolyuk,58.9,187.5,115,,,59,M,Микола Шоколюк,1992,SBD,Single-ply,Student
DQ,Igor Dorokhin,57.6,195,,,,59,M,Ігор Дорохін,1996,SBD,Single-ply,Student
1,Mykyta Sukhorutchenko,64.7,235,152.5,212.5,600,66,M,Микита Сухорутченко,1995,SBD,Single-ply,Student
2,Ruslan Skrebets,63.55,205,110,220,535,66,M,Руслан Скребець,1992,SBD,Single-ply,Student
3,Kostyantin Bidenko,65.15,175,100,160,435,66,M,Костянтин Біденко,1995,SBD,Single-ply,Student
1,Mykola Barannik,73.5,305,212.5,282.5,800,74,M,Микола Бараннік,1989,SBD,Single-ply,Student
2,Vitaliy Grygorov,73.85,270,200,260,730,74,M,Віталій Григоров,1990,SBD,Single-ply,Student
3,Mykola Dudin,73.95,262.5,187.5,272.5,722.5,74,M,Микола Дудін,1991,SBD,Single-ply,Student
4,Maksim Saenko,73.6,235,140,280,655,74,M,Максим Саєнко,1992,SBD,Single-ply,Student
5,Roman Dorokhin,70.85,250,135,252.5,637.5,74,M,Роман Дорохін,1995,SBD,Single-ply,Student
6,Ivan Neskorodev,73.05,210,127.5,200,537.5,74,M,Іван Нєскородєв,1995,SBD,Single-ply,Student
7,Mikola Ilchenko,72.7,200,135,190,525,74,M,Микола Ільченко,1995,SBD,Single-ply,Student
DQ,Viktor Shulgin,73.65,235,160,,,74,M,Віктор Шульгін,1990,SBD,Single-ply,Student
1,Andrei Balukov,82.9,272.5,192.5,237.5,702.5,83,M,Андрей Балуков,1996,SBD,Single-ply,Student
2,Mikhaylo Moskovchuk,81.95,250,170,250,670,83,M,Михайло Московчук,1993,SBD,Single-ply,Student
3,Vladislav Lagutin,77.9,235,170,235,640,83,M,Владислав Лагутін,1995,SBD,Single-ply,Student
