Name,Team,BodyweightKg,Best3SquatKg,Best3BenchKg,SubTotal,Best3DeadliftKg,TotalKg,Event,Equipment
Helen Wolsey,WA,43.5,125,68,192.5,152.5,345,SBD,Single-ply
K Cameron,SE,47.8,130,70,200,150,350,SBD,Single-ply
N Gifford,SE,47.8,112.5,47.5,160,132.5,295,SBD,Single-ply
A Brown,SW,45.7,95,45,140,135,275,SBD,Single-ply
E Dixon,YNE,47,70,37.5,107.5,90,197.5,SBD,Single-ply
T Hollis,SM,51.8,120,70,190,140,335,SBD,Single-ply
D Hamp,NM,50.4,107.5,52.5,160,110,270,SBD,Single-ply
A Seesuran,GL,49.5,97.5,52.5,150,117.5,267.5,SBD,Single-ply
G Brown,SW,51.6,100,50,150,110,260,SBD,Single-ply
P Kirkup,WM,50.5,97.5,40,137.5,110,247.5,SBD,Single-ply
H Lawson,YNE,49.8,92.5,45,137.5,105,242.5,SBD,Single-ply
M Wadsworth,EM,55.9,125,85,210,145,355,SBD,Single-ply
H Whittington,SE,54.9,115,70,185,147.5,332.5,SBD,Single-ply
A Sebburn,WM,55.8,97.5,50,147.5,132.5,280,SBD,Single-ply
V Freeman,SW,56,92.5,52.5,145,,,SBD,Single-ply
J Yarwood,NW,56,,,,,,SBD,Single-ply
Jackie Blasbery,EM,60,147.5,72.5,220,180,400,SBD,Single-ply
J Cross,SW,58.4,112.5,67.5,180,160,340,SBD,Single-ply
S Coburn,WM,59.6,110,55,165,145,310,SBD,Single-ply
Doreen Dowsett,NM,59.35,100,55,155,145,300,SBD,Single-ply
S Bethel,SE,61.05,155,62.5,217.5,160,377.5,SBD,Single-ply
A King,NM,66,140,67.5,207.5,170,377.5,SBD,Single-ply
M Coleman,SE,67.5,142.5,80,222.5,155,377.5,SBD,Single-ply
F Cocker,YNE,67.05,125,52.5,177.5,132.5,305,SBD,Single-ply
E Harris,SE,71,152.5,82.5,235,145,385,SBD,Single-ply
B Glew,WM,73.9,150,70,220,145,365,SBD,Single-ply
H Druiff,EM,70.3,142.5,57.5,200,140,340,SBD,Single-ply
A Saint,WM,81.5,162.5,70,232.5,150,382.5,SBD,Single-ply
Carole Springett,YNE,80.9,145,70,215,160,375,SBD,Single-ply
S Mullin,NM,80.2,135,67.5,202.5,167.5,370,SBD,Single-ply
K Drew,SW,85.2,125,90,215,165,380,SBD,Single-ply
M Augee,SE,94.5,220,135,355,200,555,SBD,Single-ply
Jackie Pepper,SE,94.5,177.5,90,267.5,185,452.5,SBD,Single-ply
