Place,Name,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,WeightClassKg,Sex,CyrillicName,BirthYear,Event,Equipment,Division
1,Iryna Baburova,47.35,125,132.5,140,140,60,65,67.5,67.5,130,-140,-140,130,337.5,48,F,Ірина Бабурова,1986,SBD,Single-ply,Student
2,Ganna Alekseeva,46.35,-100,-110,110,110,40,45,47.5,47.5,110,120,-125,120,277.5,48,F,Ганна Алексєєва,1989,SBD,Single-ply,Student
3,Anna Posashkova,46.2,90,-100,100,100,45,50,57.5,57.5,100,110,117.5,117.5,275,48,F,Анна Посашкова,1987,SBD,Single-ply,Student
4,Kateryna Zapisochna,47.8,90,-100,-100,90,35,37.5,-40,37.5,-100,100,110,110,237.5,48,F,Катерина Записочна,1989,SBD,Single-ply,Student
1,Iryna Khlebodarova,50.7,,,,140,,,,72.5,,,,130,342.5,52,F,Ірина Хлєбодарова,1990,SBD,Single-ply,Student
2,Anna Molodozhen,51.6,,,,120,,,,65,,,,110,295,52,F,Анна Молодожен,1990,SBD,Single-ply,Student
DQ,Inna Trofymenkova,50.6,-130,-130,-130,,,,,,,,,,,52,F,Інна Трофименкова,1988,SBD,Single-ply,Student
1,Natalya Tolochna,56,,,,155,,,,80,,,,145,380,56,F,Наталя Толочна,1988,SBD,Single-ply,Student
2,Oksana Kasyan,55.5,,,,155,,,,72.5,,,,147.5,375,56,F,Оксана Касьян,1984,SBD,Single-ply,Student
3,Anna Leschenko,54.5,,,,132.5,,,,70,,,,117.5,320,56,F,Анна Лещенко,1987,SBD,Single-ply,Student
1,Ulyana Lyutnyk,59.45,,,,160,,,,85,,,,157.5,402.5,60,F,Уляна Лютник,1984,SBD,Single-ply,Student
2,Anna Batiukova,59.4,,,,135,,,,95,,,,147.5,377.5,60,F,Анна Батюкова,1987,SBD,Single-ply,Student
3,Polina Goryacheva,58.95,,,,100,,,,50,,,,100,250,60,F,Поліна Горячева,1990,SBD,Single-ply,Student
1,Kateryna Demchenko,60.8,,,,130,,,,45,,,,135,310,67.5,F,Катерина Демченко,1989,SBD,Single-ply,Student
1,Olena Kozlova,72.1,,,,170,,,,90,,,,180,440,75,F,Олена Козлова,1990,SBD,Single-ply,Student
1,Viktoriya Lanyo,75.7,,,,140,,,,97.5,,,,142.5,380,82.5,F,Вікторія Ланьо,1987,SBD,Single-ply,Student
1,Tetyana Varlamova,133.5,,,,200,,,,90,,,,220,510,90+,F,Тетяна Варламова,1989,SBD,Single-ply,Student
DQ,Yanina Ovrakh,101.5,,,-100,,,,,,,,,,,90+,F,Яніна Оврах,1990,SBD,Single-ply,Student
1,Oleksandr Grishin,54.65,,,,180,,,,105,,,,190,475,56,M,Олександр Гришин,1991,SBD,Single-ply,Student
2,Dmytro Zhavoronkov,54.95,,,,170,,,,100,,,,192.5,462.5,56,M,Дмитро Жаворонков,1990,SBD,Single-ply,Student
3,Andriy Zhukov,55.5,,,,170,,,,112.5,,,,165,447.5,56,M,Андрій Жуков,1992,SBD,Single-ply,Student
4,Sergiy Galatsko,55.55,,,,147.5,,,,85,,,,165,397.5,56,M,Сергій Галацко,1991,SBD,Single-ply,Student
5,Artem Gavrilyuk,55.75,,,,150,,,,90,,,,155,395,56,M,Артем Гаврилюк,1989,SBD,Single-ply,Student
6,Oleg Solovey,52.6,,,,125,,,,70,,,,160,355,56,M,Олег Соловей,1989,SBD,Single-ply,Student
1,Igor Boyko,59.75,,,,185,,,,122.5,,,,200,507.5,60,M,Ігор Бойко,1989,SBD,Single-ply,Student
2,Oleg Matselyukh,58.9,,,,180,,,,135,,,,185,500,60,M,Олег Мацелюк,1990,SBD,Single-ply,Student
3,Volodymyr Dubovoy,59.65,,,,190,,,,117.5,,,,185,492.5,60,M,Володимир Дубовой,1990,SBD,Single-ply,Student
4,Oleksandr Sutyka,59.65,,,,167.5,,,,105,,,,192.5,465,60,M,Олександр Сутика,1991,SBD,Single-ply,Student
5,Ruslan Koryaka,56.05,,,,160,,,,120,,,,170,450,60,M,Руслан Коряка,1990,SBD,Single-ply,Student
6,Artem Luchnikov,58.35,,,,155,,,,110,,,,172.5,437.5,60,M,Артем Лучников,1990,SBD,Single-ply,Student
7,Yaroslav Migal,59.3,,,,155,,,,110,,,,160,425,60,M,Ярослав Мигаль,1988,SBD,Single-ply,Student
8,Dmitro Apollonin,59.2,,,,162.5,,,,87.5,,,,170,420,60,M,Дмитро Аполлонін,1989,SBD,Single-ply,Student
DQ,Viktor Pshenichniy,56.8,,,,,,,,,,,,,,60,M,Віктор Пшеничний,1990,SBD,Single-ply,Student
DQ,Pavel Yakubovych,59.6,,,-190,,,,,,,,,,,60,M,Павло Якубович,1988,SBD,Single-ply,Student
G,Anton Kvasha,59.55,,,,230,,,,160,,,,210,600,60,M,Антон Кваша,1988,SBD,Single-ply,Student
1,Arkadiy Shalokha,67.3,,,,270,,,,190,,,,255,715,67.5,M,Аркадий Шалоха,1983,SBD,Single-ply,Student
2,Maksym Masyuk,66.9,,,,275,,,,180,,,,245,700,67.5,M,Максим Масюк,1989,SBD,Single-ply,Student
3,Ivan Chuprinko,67.2,,,,245,,,,190,,,,235,670,67.5,M,Іван Чупринко,1986,SBD,Single-ply,Student
4,Anton Karachentsev,66.7,,,,235,,,,140,,,,260,635,67.5,M,Антон Караченцев,1983,SBD,Single-ply,Student
5,Oleg Poprienko,67.5,,,,240,,,,140,,,,242.5,622.5,67.5,M,Олег Попрієнко,1988,SBD,Single-ply,Student
6,Sergiy Rybalko,67.1,,,,240,,,,140,,,,235,615,67.5,M,Сергій Рибалко,1990,SBD,Single-ply,Student
7,Sergiy Koblytskyy,66.9,,,,220,,,,137.5,,,,220,577.5,67.5,M,Сергій Коблицький,1987,SBD,Single-ply,Student
8,Oleksandr Chepurniy,66.1,,,,210,,,,130,,,,217.5,557.5,67.5,M,Олександр Чепурной,1987,SBD,Single-ply,Student
9,Denys Ignatov,66.8,,,,190,,,,100,,,,205,495,67.5,M,Денис Ігнатов,1992,SBD,Single-ply,Student
10,Illya Bolfachuk,67.1,,,,170,,,,120,,,,190,480,67.5,M,Ілля Болфачук,1986,SBD,Single-ply,Student
11,Oleg Mishin,65.75,,,,160,,,,97.5,,,,207.5,465,67.5,M,Олег Мішин,1990,SBD,Single-ply,Student
12,Sergiy Vladov,64.9,,,,170,,,,80,,,,180,430,67.5,M,Сергей Владов,1989,SBD,Single-ply,Student
DQ,Ruslan Zetov,66.6,,,,232.5,,,,145,,,-215,,,67.5,M,Руслан Зетов,1986,SBD,Single-ply,Student
DQ,Vyacheslav Kashpullin,67.2,,,-230,,,,,,,,,,,67.5,M,В'ячеслав Кашпулін,1989,SBD,Single-ply,Student
1,Denis Kusik,73.9,,,,270,,,,145,,,,245,660,75,M,Денис Кусик,1989,SBD,Single-ply,Student
2,Sergiy Maslyuchenko,74.15,,,,250,,,,157.5,,,,242.5,650,75,M,Сергій Маслюченко,1985,SBD,Single-ply,Student
3,Volodymyr Dobrydnyuk,74.9,,,,250,,,,160,,,,240,650,75,M,Володимир Добриднюк,1986,SBD,Single-ply,Student
4,Sergiy Brezhe,74.25,,,,245,,,,152.5,,,,227.5,625,75,M,Сергій Бреже,1989,SBD,Single-ply,Student
5,Igor Bogachevskyy,74.3,,,,230,,,,137.5,,,,220,587.5,75,M,Ігор Богачевський,1991,SBD,Single-ply,Student
6,Oleksandr Barbarosh,72.85,,,,225,,,,120,,,,235,580,75,M,Олександр Барбарош,1989,SBD,Single-ply,Student
7,Pavlo Sinyavskiy,74.35,,,,220,,,,135,,,,210,565,75,M,Павло Синявський,1986,SBD,Single-ply,Student
8,Viktor Chayka,72.5,,,,225,,,,117.5,,,,212.5,555,75,M,Віктор Чайка,1989,SBD,Single-ply,Student
9,Volodymyr Binda,73.1,,,,220,,,,120,,,,200,540,75,M,Володимир Бинда,1990,SBD,Single-ply,Student
10,Dmytro Davidyuk,74.9,,,,200,,,,130,,,,210,540,75,M,Дмитро Давидюк,1988,SBD,Single-ply,Student
11,Pavlo Petryk,73,,,,215,,,,105,,,,210,530,75,M,Павло Петрик,1990,SBD,Single-ply,Student
12,Dmitro Kopitsya,74,,,,200,,,,95,,,,180,475,75,M,Дмитро Копиця,1991,SBD,Single-ply,Student
DQ,Sergiy Nemkov,69.85,,,-175,,,,,,,,,,,75,M,Сергій Немков,1985,SBD,Single-ply,Student
DQ,Igor Kurganov,73.6,,,-230,,,,,,,,,,,75,M,Ігор Курганов,1991,SBD,Single-ply,Student
1,Roman Belous,82.1,,,,275,,,,180,,,,262.5,717.5,82.5,M,Роман Белоус,1987,SBD,Single-ply,Student
2,Dmytro Smandych,82.5,,,,282.5,,,,167.5,,,,265,715,82.5,M,Дмитро Смандич,1990,SBD,Single-ply,Student
3,Igor Markin,81.8,,,,260,,,,170,,,,265,695,82.5,M,Ігор Маркін,1988,SBD,Single-ply,Student
4,Denys Onufriyenko,81.35,,,,270,,,,180,,,,240,690,82.5,M,Денис Онуфрієнко,1987,SBD,Single-ply,Student
5,Anton Dzhuraev,81.2,,,,270,,,,160,,,,250,680,82.5,M,Антон Джураєв,1989,SBD,Single-ply,Student
6,Viktor Popyk,80.1,,,,250,,,,152.5,,,,240,642.5,82.5,M,Віктор Попик,1988,SBD,Single-ply,Student
7,Sergiy Ivanenko,82,,,,250,,,,150,,,,230,630,82.5,M,Сергій Іваненко,1987,SBD,Single-ply,Student
8,Ragim Abdulkadirov,80.55,,,,215,,,,137.5,,,,220,572.5,82.5,M,Рагім Абдулкадиров,1988,SBD,Single-ply,Student
9,Sergiy Polozhentsev,81.15,,,,175,,,,115,,,,210,500,82.5,M,Сергій Положенцев,1989,SBD,Single-ply,Student
10,Volodimir Nesterenko,80.5,,,,185,,,,100,,,,195,480,82.5,M,Володимир Нестеренко,1988,SBD,Single-ply,Student
DQ,Andriy Lyakhov,82.35,,,-240,,,,,,,,,,,82.5,M,Андрій Ляхов,1989,SBD,Single-ply,Student
1,Sergiy Parkhomenko,87.8,,,,307.5,,,,215,,,,257.5,780,90,M,Сергій Пархоменко,1988,SBD,Single-ply,Student
2,Roman Motruschenko,89.75,,,,290,,,,162.5,,,,302.5,755,90,M,Роман Мотрущенко,1989,SBD,Single-ply,Student
3,Dmytro Khristov,88.5,,,,282.5,,,,175,,,,290,747.5,90,M,Дмитро Христов,1987,SBD,Single-ply,Student
4,Volodymyr Nedodaev,87,,,,270,,,,170,,,,230,670,90,M,Володимир Недодаєв,1987,SBD,Single-ply,Student
5,Volodymyr Glukhan,87.45,,,,240,,,,115,,,,270,625,90,M,Володимир Глухан,1991,SBD,Single-ply,Student
6,Denys Flora,88.5,,,,215,,,,170,,,,235,620,90,M,Денис Флора,1988,SBD,Single-ply,Student
7,Artem Sendetskiy,82.9,,,,225,,,,150,,,,237.5,612.5,90,M,Артем Сендецький,1988,SBD,Single-ply,Student
8,Oleg Litovchenko,86.75,,,,225,,,,165,,,,220,610,90,M,Олег Литовченко,1987,SBD,Single-ply,Student
DQ,Anatoliy Snitser,88.65,,,-255,,,,,,,,,,,90,M,Анатолій Сніцер,1983,SBD,Single-ply,Student
1,Vasil Gritsko,98.7,,,,302.5,,,,192.5,,,,300,795,100,M,Василь Грицько,1985,SBD,Single-ply,Student
2,Denis Gritsenko,94,,,,310,,,,170,,,,290,770,100,M,Денис Гриценко,1987,SBD,Single-ply,Student
3,Sergiy Yarmolenko,97.7,,,,300,,,,190,,,,272.5,762.5,100,M,Сергій Ярмоленко,1988,SBD,Single-ply,Student
4,Pavlo Krasnov,97.3,,,,280,,,,170,,,,305,755,100,M,Павло Краснов,1987,SBD,Single-ply,Student
5,Igor Zhernovatchenko,93.45,,,,260,,,,180,,,,270,710,100,M,Ігор Жерноватченко,1984,SBD,Single-ply,Student
6,Valeriy Sorokhan,98.4,,,,275,,,,140,,,,255,670,100,M,Валерій Сорохан,1986,SBD,Single-ply,Student
7,Taras Sokolyuk,96.1,,,,210,,,,165,,,,230,605,100,M,Тарас Соколюк,1989,SBD,Single-ply,Student
8,Oleg Yarych,95.1,,,,215,,,,137.5,,,,222.5,575,100,M,Олег Ярич,1991,SBD,Single-ply,Student
DQ,Anton Kalinchenkov,96.4,,,,255,,,,140,,,-255,,,100,M,Антон Калінченков,1988,SBD,Single-ply,Student
1,Mykhaylo Potapenko,107.55,,,,300,,,,195,,,,260,755,110,M,Михайло Потапенко,1991,SBD,Single-ply,Student
2,Maksim Varchenko,100.25,,,,270,,,,170,,,,270,710,110,M,Максим Верченко,1991,SBD,Single-ply,Student
3,Igor Tkachuk,106.75,,,,260,,,,170,,,,260,690,110,M,Ігор Ткачук,1987,SBD,Single-ply,Student
DQ,Sergiy Lavrik,100.7,,,,,,,,,,,,,,110,M,Сергій Лаврик,1987,SBD,Single-ply,Student
1,Viktor Moroz,116.1,,,,315,,,,205,,,,300,820,125,M,Віктор Мороз,1988,SBD,Single-ply,Student
