Sex,WeightClassKg,Name,AgeClass,Team,BodyweightKg,Best3BenchKg,TotalKg,Place,Division,Event,Equipment
F,82.5,Mary Anderson,40-49,SC,79.4,110,110,1,F-E-Open,B,Single-ply
F,90+,Geraldine Fitzsimmons,40-49,SC,90.6,77.5,77.5,1,F-E-Open,B,Single-ply
M,82.5,Bill McFadyen,70-999,SC,82.5,150,150,1,M-E-Open,B,Single-ply
M,100,Stuart Crichton,0-23,SC,100,205,205,1,M-E-Open,B,Single-ply
M,100,Steve Cumming,40-49,SC,91.5,202.5,202.5,2,M-E-Open,B,Single-ply
M,125+,Robert Wiejas,0-23,EM,130.9,270,270,1,M-E-Open,B,Single-ply
