Name,Sex,Division,Event,Equipment,Age,WeightClassKg,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place
Shannon Hastings,F,FR-O,SBD,Wraps,29,90,89.65,150,165,170,170,92.5,100,-102.5,100,155,170,177.5,177.5,447.5,1
Kaylyn Price,F,FR-O,SBD,Wraps,49,90,88.2,130,137.5,140,140,80,85,-90,85,165,175,-182.5,175,400,2
Jaymi Morris,F,FR-O,SBD,Wraps,23,82.5,79.55,180,-187.5,-187.5,180,90,95,-100,95,180,195,-200,195,470,1
Daniella Tuimatai,F,FR-O,SBD,Wraps,26,90+,130.7,245,260,272.5,272.5,77.5,82.5,87.5,87.5,205,215,225,225,585,1
Martha Tevita,F,FR-O,D,Raw,27,90+,103.6,,,,,,,,,205,215,-220,215,215,1
Elise Cupitt,F,FR-O,B,Raw,31,82.5,79.1,,,,,77.5,80,-82.5,80,,,,,80,1
Luke Coleman,M,MR-O,B,Raw,29,100,92.6,,,,,140,-145,,140,,,,,140,1
Joe Lockwood,M,MR-O,B,Raw,23,110,105.8,,,,,175,182.5,-190,182.5,,,,,182.5,1
Jason Sharkey,M,MR-O,SBD,Wraps,44,75,74.9,107.5,115,120,120,85,90,97.5,97.5,155,162.5,172.5,172.5,390,3
Callum Burnett,M,MR-O,SBD,Wraps,22,82.5,82,140,150,160,160,105,112.5,-117.5,112.5,175,185,195,195,467.5,5
Brad Hooper-Matthias,M,MR-O,SBD,Wraps,27,75,74.8,-170,170,180,180,110,115,-120,115,175,185,-195,185,480,2
Patrick Valero,M,MR-O,SBD,Wraps,28,82.5,80.6,180,190,-200,190,112.5,120,125,125,185,195,210,210,525,3
Danny Nathan,M,MR-O,SBD,Wraps,30,82.5,78.9,180,190,-200,190,115,120,-125,120,195,207.5,215,215,525,2
Chris Streat,M,MR-O,SBD,Wraps,28,90,87.9,170,180,195,195,130,137.5,,137.5,200,210,217.5,217.5,550,3
Mark Henning,M,MR-O,SBD,Wraps,49,82.5,79.8,175,182.5,-187.5,182.5,95,100,-102.5,100,200,210,215,215,497.5,4
Gary Wardlaw,M,MR-O,SBD,Wraps,43,100,93.3,150,160,170,170,102.5,110,117.5,117.5,205,215,222.5,222.5,510,6
Cliff Harris,M,MR-O,SBD,Wraps,35,75,74.9,220,230,237.5,237.5,140,147.5,-152.5,147.5,210,217.5,225,225,610,1
Andrew Grennall,M,MR-O,SBD,Wraps,28,90,88.8,207.5,215,-220,215,137.5,145,150,150,210,220,230,230,595,2
Khai Martin,M,MR-O,SBD,Wraps,18,90,89.2,-185,185,195,195,105,110,115,115,210,220,230,230,540,5
Jesse Peak,M,MR-O,SBD,Wraps,19,90,88.5,245,-260,-260,245,132.5,137.5,140,140,220,245,255,255,640,1
Haidar Majzoub,M,MR-O,SBD,Wraps,24,82.5,81.3,235,245,252,252,140,152.5,-160,152.5,235,250,262.5,262.5,667,1
Luke Mclean,M,MR-O,SBD,Wraps,35,140+,147.9,-165,165,,165,-90,102.5,,102.5,190,220,,220,487.5,2
