Place,Name,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,WeightClassKg,Division,Event,Sex,Equipment
1,Aniek van den Reek,"51,60","82,50","87,50","90,00","90,00","57,50","62,50","65,00","65,00","107,50","112,50","115,00","115,00","270,00",52,Open,SBD,F,Raw
1,Susanne Sivonen,"55,70","80,00","90,00","95,00","95,00","60,00","65,00","-67,50","65,00","100,00","110,00","120,00","120,00","280,00",57,Open,SBD,F,Raw
1,Jacqueline Klaver,"62,90","110,00","115,00","120,00","120,00","45,00","47,50","50,00","50,00","142,50","152,50","160,00","160,00","330,00",63,Open,SBD,F,Raw
2,Brigitte Sukèl,"57,10","80,00","85,00","90,00","90,00","65,00","70,00","-72,50","70,00","110,00","120,00","125,00","125,00","285,00",63,Open,SBD,F,Raw
3,Urscha Fajdiga,"62,90","90,00","95,00","-100,00","95,00","47,50","52,50","55,00","55,00","90,00","100,00","112,50","112,50","262,50",63,Open,SBD,F,Raw
1,Janna De Vos,"68,20","95,00","105,00","-115,00","105,00","45,00","50,00","-55,00","50,00","110,00","120,00","130,00","130,00","285,00",72,Open,SBD,F,Raw
2,Willona Ortsen,"66,70","85,00","90,00","97,50","97,50","50,00","52,50","57,50","57,50","120,00","-127,50","-127,50","120,00","275,00",72,Open,SBD,F,Raw
3,Demi Zanen,"70,00","90,00","-97,50","97,50","97,50","42,50","-47,50",,"42,50","100,00","110,00","117,50","117,50","257,50",72,Open,SBD,F,Raw
1,Dominique van Deursen,"81,20","130,00","-140,00","140,00","140,00","62,50","67,50","72,50","72,50","150,00","165,00",,"165,00","377,50",84,Open,SBD,F,Raw
2,Evie Bus,"83,40","115,00","-120,00","-125,00","115,00","57,50","62,50","65,00","65,00","135,00","142,50","147,50","147,50","327,50",84,Open,SBD,F,Raw
1,Fabbio Hu,"65,70","160,00","167,50","172,50","172,50","102,50","107,50","112,50","112,50","190,00","-192,50","205,00","205,00","490,00",66,Open,SBD,M,Raw
2,Milan Carels,"65,30","152,50","157,50","-160,00","157,50","107,50","112,50","115,00","115,00","170,00","182,50","192,50","192,50","465,00",66,Open,SBD,M,Raw
3,Frank van Tulden,"60,70","105,00","115,00","125,00","125,00","75,00","82,50","-87,50","82,50","120,00","127,50","132,50","132,50","340,00",66,Open,SBD,M,Raw
1,Martin Tan,"72,70","165,00","180,00","-185,00","180,00","125,00","130,00","137,50","137,50","215,00","225,00","232,50","232,50","550,00",74,Open,SBD,M,Raw
2,David Vesseur,"72,40","160,00","170,00","180,00","180,00","105,00","112,50","117,50","117,50","190,00","-200,00","-200,00","190,00","487,50",74,Open,SBD,M,Raw
3,Brent Claassen,"67,80","120,00","130,00","135,00","135,00","70,00","77,50","-85,00","77,50","180,00","190,00","195,00","195,00","407,50",74,Open,SBD,M,Raw
1,Ruud Kassing,"82,80","192,50","202,50","210,00","210,00","127,50","135,00","140,00","140,00","235,00","250,00","-260,00","250,00","600,00",83,Open,SBD,M,Raw
2,Mitchel Leunissen,"80,80","185,00","195,00","-202,50","195,00","122,50","127,50","132,50","132,50","230,00","242,50","250,00","250,00","577,50",83,Open,SBD,M,Raw
3,Alex Verhemel,"79,10","180,00","190,00","200,00","200,00","120,00","130,00","-140,00","130,00","200,00","210,00","220,00","220,00","550,00",83,Open,SBD,M,Raw
4,Roel van Etten,"82,30","180,00","192,50","200,00","200,00","102,50","110,00","115,00","115,00","205,00","222,50","-237,50","222,50","537,50",83,Open,SBD,M,Raw
5,Yves du Long,"81,60","165,00","-172,50","175,00","175,00","105,00","112,50","-117,50","112,50","200,00","212,50","220,00","220,00","507,50",83,Open,SBD,M,Raw
6,André Makkinje,"77,30","160,00","170,00","180,00","180,00","80,00","87,50","92,50","92,50","190,00","205,00","-212,50","205,00","477,50",83,Open,SBD,M,Raw
7,Kevin Landegent,"82,40","162,50","-180,00","-180,00","162,50","90,00","100,00","105,00","105,00","180,00","197,50","205,00","205,00","472,50",83,Open,SBD,M,Raw
8,Mark Evertsz,"79,40","162,50","172,50","177,50","177,50","92,50","97,50","-102,50","97,50","180,00","192,50","-200,00","192,50","467,50",83,Open,SBD,M,Raw
1,Joey Ma,"85,20","220,00","232,50","237,50","237,50","125,00","130,00","135,00","135,00","250,00","275,00","280,00","280,00","652,50",93,Open,SBD,M,Raw
2,Sem Hage,"86,20","185,00","192,50","-200,00","192,50","122,50","127,50","135,00","135,00","-210,00","212,50","-222,50","212,50","540,00",93,Open,SBD,M,Raw
3,Auke-Jan Piers,"89,90","120,00",,,"120,00","135,00","142,50","-150,00","142,50","220,00","232,50","250,00","250,00","512,50",93,Open,SBD,M,Raw
4,Michiel Mooy,"84,10","165,00","175,00","-180,00","175,00","97,50","105,00","-110,00","105,00","190,00","200,00","210,00","210,00","490,00",93,Open,SBD,M,Raw
5,Max Wouters,"83,20","160,00","-170,00","170,00","170,00","115,00","122,50","127,50","127,50","185,00","-200,00","-200,00","185,00","482,50",93,Open,SBD,M,Raw
1,Alex Schiltmans,"97,00","200,00","212,50","220,00","220,00","140,00","150,00","155,00","155,00","240,00","262,50","272,50","272,50","647,50",93,Open,SBD,M,Raw
2,Berend Klaver,"93,30","190,00","200,00","210,00","210,00","135,00","140,00","-145,00","140,00","245,00","260,00","267,50","267,50","617,50",93,Open,SBD,M,Raw
3,Coen De Heer,"103,20","185,00","200,00","210,00","210,00","-135,00","145,00","147,50","147,50","235,00","250,00","260,00","260,00","617,50",105,Open,SBD,M,Raw
4,Nout Van Den Bos,"95,70","167,50","177,50","185,00","185,00","127,50","132,50","140,00","140,00","190,00","200,00","210,00","210,00","535,00",105,Open,SBD,M,Raw
5,Chris Janssen,"94,70","180,00","-187,50","187,50","187,50","112,50","117,50","120,00","120,00","200,00","207,50","-227,50","207,50","515,00",105,Open,SBD,M,Raw
6,Rogier Molhoek,"101,70","130,00","140,00","-150,00","140,00","92,50","100,00","-105,00","100,00","170,00","182,50","192,50","192,50","432,50",105,Open,SBD,M,Raw
1,Sven Jansen,"177,70","245,00","260,00","270,00","270,00","180,00","190,00","-195,00","190,00","250,00","265,00","-275,00","265,00","725,00",120+,Open,SBD,M,Raw
