Name,Age,Division,Sex,BodyweightLBS,WeightClassLBS,Equipment,Squat1LBS,Squat2LBS,Squat3LBS,Best3SquatLBS,Bench1LBS,Bench2LBS,Bench3LBS,Best3BenchLBS,Deadlift1LBS,Deadlift2LBS,Deadlift3LBS,Best3DeadliftKg,TotalLBS,Event,Place
Joe Mireles,,M-EO,M,218.8,220,Multi-ply,,,,,710,-740,-740,710,,,,,710,B,2
Jake Prazak,,M-EO,M,239,242,Multi-ply,,,,,820,-900,-900,820,,,,,820,B,1
Eric DeCaires,,M-EO,M,223.4,242,Multi-ply,,,,,680,710,-730,710,,,,,710,B,2
Joe Don Breda,,M-EO,M,253.8,275,Multi-ply,,,,,585,630,660,660,,,,,660,B,1
Adam Dolk,,M-EO,M,270.4,275,Multi-ply,,,,,-500,500,-545,500,,,,,500,B,2
Matt Houser,,M-EO,M,305,308,Multi-ply,,,,,850,900,-920,900,,,,,900,B,1
David Douglas,,M-EO,M,287.6,308,Multi-ply,,,,,675,725,800,800,,,,,800,B,2
Derek Wade,,M-EO,M,295.4,308,Multi-ply,,,,,700,725,740,740,,,,,740,B,3
Andy Bosnyak,34,M-EO,M,329.2,308+,Multi-ply,,,,,750,-775,775,775,,,,,775,B,1
Robert Vick,,M-EO,M,381.8,308+,Multi-ply,,,,,-805,-805,-805,,,,,,,B,DQ
Phil Wengrowski,,M-RJr,M,190.8,198,Raw,,,,,250,270,280,280,,,,,280,B,1
Carl Head,,M-RJr,M,263.4,275,Raw,,,,,260,285,-300,285,,,,,285,B,1
Sherwood Harris,,M-RJr,M,298.6,308,Raw,,,,,415,430,-440,430,,,,,430,B,1
Scott Nutter,,M-RM2,M,441.2,308+,Raw,,,,,340,370,400,400,,,,,400,B,1
Doug Wyrybkowski,,M-RM1,M,178.6,181,Raw,,,,,300,340,360,360,,,,,360,B,1
Tony Smouthers,,M-RSub,M,175,181,Raw,,,,,250,260,280,280,,,,,280,B,1
Jake Hartman,,M-RO,M,196.2,198,Raw,,,,,320,340,350,350,,,,,350,B,1
John Kazmar,,M-RO,M,196.6,198,Raw,,,,,235,-270,-270,235,,,,,235,B,2
Gary Krurek,,M-RO,M,196,198,Raw,,,,,-440,-460,-460,,,,,,,B,DQ
Shawn Frankl,36,M-RO,M,218.6,220,Raw,,,,,450,505,540,540,,,,,540,B,1
Adam Downing,,M-RO,M,228.8,242,Raw,,,,,470,-485,-485,470,,,,,470,B,1
Bobby Faber,,M-RO,M,262.8,275,Raw,,,,,-470,470,485,485,,,,,485,B,1
Rob Luyando,43,M-RO,M,282.2,308,Raw,,,,,320,375,425,425,,,,,425,B,1
Brandon Braner,27,M-RO,M,335.2,308+,Raw,,,,,600,625,-655,625,,,,,625,B,1
Josh Eisele,,M-EO,M,217.6,220,Multi-ply,,,,,,,,,545,580,-600,580,580,D,1
Hunter Luyando,,M-RT1,M,95.8,114,Raw,,,,,,,,,135,150,165,165,165,D,1
Preston Prazak,,M-RT1,M,71.4,114,Raw,,,,,,,,,115,140,155,155,155,D,2
Owen Berneman,,M-RT1,M,130.2,132,Raw,,,,,,,,,135,155,160,160,160,D,1
Brandon Cass,39,M-RO,M,219,220,Raw,,,,,,,,,750,-815,-815,750,750,D,1
