Name,Sex,Age,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Event,Equipment,Place
Amdid Salem,M,22,M_JR_APF,110,110,,,,,150,-160,160,160,,,,,160,B,Raw,1
Sultan Mois,M,19,M_JR_APF,109,110,,,,,150,-160,-165,150,,,,,150,B,Raw,1
Hen Rosilio,M,19,M_JR_APF,98.9,100,,,,,150,160,-165,160,,,,,160,B,Raw,1
Shay Marcus,M,38,M_OR_APF,115.5,125,,,,,155,-165,165,165,,,,,165,B,Raw,6
Oren Artzi,M,43,M_MR_1_APF,93.2,100,,,,,165,-170,170,170,,,,,170,B,Raw,2
Safi Abu Hamed,M,31,M_OR_APF,90,90,,,,,180,190,195,195,,,,,195,B,Raw,2
Sergey Rudikov,M,39,M_OR_APF,114.6,125,,,,,190,200,-205,200,,,,,200,B,Raw,3
Denis Bondarenko,M,37,M_OR_APF,138.6,140,,,,,215,225,230,225,,,,,225,B,Raw,1
Grigori Rubin,M,76,M_MR_8_APF,74.1,75,,,,,90,,,90,,,,,90,B,Raw,1
Tomer Israel,M,23,M_JEM_APF,82.3,82.5,250,275,300,,200,210,,,220,240,,,750,SBD,Multi-ply,1
Valery Tomilov,M,48,M_MEM_2_APF,89.7,90,290,310,325,,200,210,,,260,272.5,,,807.5,SBD,Multi-ply,1
Ruslan Kravchinsky,M,36,M_OEM_APF,99.9,100,345,-375,375,,202.5,-212.5,,,302.5,317.5,,,895,SBD,Multi-ply,1
Israel Leibenstein,M,86,M_MR_9_APF,81,82.5,80,100,110,,-45,45,-50,,100,120,135,,290,SBD,Raw,1
Tadmor Oded,M,46,M_MR_2_APF,81.3,82.5,120,-128,-128,,100,105,-110,,150,160,170,,395,SBD,Raw,1
Alex Papier,M,68,M_MR_6_APF,78.5,82.5,115,135,145,,95,100,-105,,150,165,170,,415,SBD,Raw,1
Raz Levi,M,30,M_OR_APF,76.5,82.5,140,155,165,,130,145,-150,,160,175,185,,495,SBD,Raw,9
Haytovich Anatoliy,M,29,M_OR_APF,87.6,90,180,190,200,,100,-120,120,,190,210,230,,550,SBD,Raw,6
Pavel Tilis,M,33,M_OR_APF,79.5,82.5,160,180,200,,135,140,145,,200,220,230,,575,SBD,Raw,2
