Name,Team,BodyweightKg,Best3SquatKg,Best3BenchKg,Bench4Kg,Best3DeadliftKg,TotalKg,WeightClassKg,Sex,Division,Event,AgeClass,Place
R. Owers,NI,58.4,135,62.5,,150,347.5,125+,M,Masters 3,SBD,59.5-69.5,4
B. Leam,NM,59.1,100,80,,150,330,125+,M,Masters 3,SBD,59.5-69.5,5
R. Powell,NM,66.5,160,90,,210,460,67.5,M,Masters 3,SBD,59.5-69.5,1
George Leggett,EM,73.7,200,105,,215,520,75,M,Masters 3,SBD,59.5-69.5,1
J. Higgins,SC,73.9,185,75,,205,465,75,M,Masters 3,SBD,59.5-69.5,2
C. Gibb,SE,72.1,130,87.5,,225,442.5,75,M,Masters 3,SBD,59.5-69.5,3
R. Regler,NM,74.5,145,85,,205,435,75,M,Masters 3,SBD,59.5-69.5,4
N. Anderson,YNE,81.8,185,127.5,,200,512.5,82.5,M,Masters 3,SBD,59.5-69.5,1
S. Dougan,NI,78.3,170,110,,175,455,82.5,M,Masters 3,SBD,59.5-69.5,2
H. Clarke,SM,81.4,175,92.5,,195,462.5,82.5,M,Masters 3,SBD,59.5-69.5,3
T. Cooper,SE,97.6,220,140,,245,605,100,M,Masters 3,SBD,59.5-69.5,1
Gavin Walker,YNE,93.6,220,120,,235,575,100,M,Masters 3,SBD,59.5-69.5,2
H. Catterall,NW,106.2,220,100,,240,560,110,M,Masters 3,SBD,59.5-69.5,1
