Place,Name,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,WeightClassKg,Division,Event,Sex,Equipment
1,Willy Heuser,"51,40","60,00","70,00","-72,50","70,00","50,00","55,00","-57,50","55,00","85,00","92,50","-100,00","92,50","217,50",52,Open,SBD,F,Raw
1,Katinka van Baalen,"56,40","100,00","-107,50","-107,50","100,00","700,00","-710,00","-710,00","700,00","130,00","135,00","143,50","143,50","313,50",57,Open,SBD,F,Raw
2,Sandra Wildeman,"55,90","97,50","-105,00","-105,00","97,50","5,00","0,50","-80,00","5,00","5,00","-110,00","-110,00","5,00","280,00",57,Open,SBD,F,Raw
1,Marlinde Gras,"62,70","115,00","122,50","-125,00","122,50","52,50","-57,50","-57,50","52,50","-140,00","140,00","152,50","152,50","327,50",63,Open,SBD,F,Raw
2,Judith Meerding,"62,60","105,00","112,50","-120,00","112,50","67,50","70,00","-72,50","70,00","130,00","137,50","142,50","142,50","325,00",63,Open,SBD,F,Raw
3,Yvonne Kortsmit,"60,05","70,00","80,00","90,00","90,00","50,00","55,00","-60,00","55,00","90,00","100,00","-105,00","100,00","245,00",63,Open,SBD,F,Raw
1,Maaike de  Vries,"71,00","105,00","110,00","115,00","115,00","72,50","75,00","77,50","77,50","100,00","110,00","120,00","120,00","312,50",72,Open,SBD,F,Raw
2,Loes Visser,"71,90","85,00","-95,00","-95,00","85,00","52,50","-57,50","-57,50","52,50","115,00","130,00","-145,00","130,00","267,50",72,Open,SBD,F,Raw
1,Hennie van t Loo,"72,40","95,00","105,00","110,00","110,00","75,00","-80,00","-80,00","75,00","140,00","14Z,5","152,50","152,50","337,50",84,Open,SBD,F,Raw
2,Alexandra Barton,"75,40","80,00","87,50","95,00","95,00","45,00","50,00","-52,50","50,00","105,00","112,50","120,00","120,00","265,00",84,Open,SBD,F,Raw
1,Ielja Strik,"87,15","195,00","205,00","210,00","210,00","127,50","132,50","-137,50","132,50","170,00","182,50","-192,50","182,50","525,00",84+,Open,SBD,F,Raw
1,Pardeep Kailey,"73,55","192,50","-205,00","-210,00","192,50","120,00","-125,00","125,00","125,00","235,00","-245,00",,"235,00","552,50",74,Open,SBD,M,Raw
2,Eray Cingi,"71,10","180,00","-190,00","-195,00","180,00","120,00","-125,00","-125,00","120,00","200,00","215,00","225,00","225,00","525,00",74,Open,SBD,M,Raw
4,Matthijs Rozema,"73,25","162,50","-172,50","-175,00","162,50","107,50","115,00","-120,00","115,00","200,00","215,00","220,00","220,00","497,50",74,Open,SBD,M,Raw
7,Stefan Kuilman,"72,55","150,00","-160,00","-172,50","150,00","92,50",,,"92,50","175,00","190,00","-205,00","190,00","432,50",74,Open,SBD,M,Raw
5,Rick Verdoes,"72,45","140,00","155,00","-162,50","155,00","115,00","120,00","122,50","122,50","190,00","207,50","215,00","215,00","492,50",74,Open,SBD,M,Raw
3,Claudio Police,"73,00","175,00","-180,00",,"175,00","-110,00","115,00",,"115,00","205,00","215,00",,"215,00","505,00",74,Open,SBD,M,Raw
6,Pouja Nikray,"72,80","140,00","150,00","160,00","160,00","100,00","112,50",,"112,50","190,00","205,00","-215,00","205,00","477,50",74,Open,SBD,M,Raw
1,Erwin Nijs,"80,60","192,50","202,50","-205,00","202,50","-120,00","122,50","-127,50","122,50","235,00","240,00","245,00","245,00","570,00",83,Open,SBD,M,Raw
2,Denzil Vreugd,"81,20","185,00","-200,00","200,00","200,00","125,00","130,00","-135,00","130,00","210,00","225,00","235,00","235,00","565,00",83,Open,SBD,M,Raw
3,Jafar Dijks,"81,50","195,00","205,00",,"205,00","-115,00","125,00","-130,00","125,00","200,00","215,00","227,50","227,50","557,50",83,Open,SBD,M,Raw
4,Cemil Car,"80,05","170,00","180,00","-190,00","180,00","117,50","127,50","-132,50","127,50","225,00","245,00","-257,50","245,00","552,50",83,Open,SBD,M,Raw
5,Willem Hilderink,"79,80","185,00","195,00","200,00","200,00","105,00","110,00","-115,00","110,00","220,00","235,00","240,00","240,00","550,00",83,Open,SBD,M,Raw
