Name,WeightClassLBS,BodyweightLBS,Age,State,BestSquatLBS,BestBenchLBS,BestDeadliftLBS,TotalLBS,Event,Sex,Division
Michelle Chaney,181,179.7,30,FL,220.5,126.8,286.6,633.9,SBD,F,Open
Sarah Cutts,181,170.9,24,FL,253.5,165.3,303.1,721.9,SBD,F,Open
Sara Denham,181,175.9,38,MS,165.3,104.7,203.9,473.9,SBD,F,Open
Kerrie Gelb,181,168.8,43,FL,242.5,126.8,303.1,672.4,SBD,F,Open
Shelly DePiazza,198,197,31,FL,248,137.8,281.1,666.9,SBD,F,Open
Shonna Gist,198+,279.9,28,FL,374.8,187.4,352.7,914.9,SBD,F,Open
Marsha Long,114,113.7,54,AL,281.1,181.9,292.1,755.1,SBD,F,Master (50-54)
Kelly Melendez,148,146.7,55,FL,,,,,SBD,F,Master (55-59)
Elizabeth Shipley,181,171.3,42,FL,203.9,121.3,270,595.3,SBD,F,Master (40-44)
Kerrie Gelb,181,168.8,43,FL,242.5,126.8,303.1,672.4,SBD,F,Master (40-44)
Jennifer L. Hesters,275,243.8,42,FL,187.4,237,347.2,771.6,SBD,F,Master (40-44)
Mary K. Sittman,165,161.4,68,FL,115.7,60.6,165.3,341.6,SBD,F,Master (65-69)
Elisa Helton,165,155.4,17,MS,259,132.3,270.1,661.4,SBD,F,Teenage (16-17)
Bill Lowrance,165,163.9,37,LA,,330.7,,330.7,B,M,Open
Kanarisso Loveless,181,180.4,19,FL,,325.2,,325.2,B,M,Open
Colton Seymour,242,241,26,MS,,385.8,,385.8,B,M,Open
Tyler Brooks,275,266.8,29,LA,,463,,463,B,M,Open
Jeremy Hoornstra,275,265.9,33,FL,,650.3,,650.3,B,M,Open
Nick Chaprales,308,292.1,28,MA,,457.5,,457.5,B,M,Open
Billy Hyler,308,276.8,23,FL,,457.5,,457.5,B,M,Open
Steve Waters,242,232.2,53,GA,,424.4,,424.4,B,M,Master (50-54)
Roland Deale,275,250.2,53,FL,,463,,463,B,M,Master (50-54)
Marsha Long,114,113.7,54,AL,,181.9,,181.9,B,F,Master (50-54)
Ronald  Tarvin,165,160.6,25,AL,,,562.1,562.1,D,M,Open
Dan Belanger,181,176.5,52,FL,,,501.5,501.5,D,M,Open
Colton Seymour,242,241,26,MS,,,617.2,617.2,D,M,Open
De'Jon Holmes,198,198.2,22,LA,,,655.8,655.8,D,M,Open
Tyler Brooks,275,266.8,29,LA,,,683.4,683.4,D,M,Open
Nick Chaprales,308,292.1,28,MA,,,749.6,749.6,D,M,Open
Donny Moran,308,297,30,MS,,,782.6,782.6,D,M,Open
Dan Belanger,181,176.5,52,FL,,,501.5,501.5,D,M,Master (50-54)
