Name,Sex,Equipment,BodyweightKg,WeightClassKg,BirthYear,Division,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Event
Stephanie Bäcker,F,Raw,61.9,63,1995,Open,100.0,105.0,-110.0,105.0,50.0,55.0,60.0,60.0,110.0,117.5,125.0,125.0,290.0,1,SBD
Jennifer Schulz,F,Raw,60.7,63,1991,Open,70.0,85.0,100.0,100.0,40.0,-45.0,47.5,47.5,100.0,110.0,120.0,120.0,267.5,2,SBD
Kira Lübke,F,Raw,61.5,63,1995,Open,90.0,95.0,-102.5,95.0,50.0,55.0,-60.0,55.0,95.0,102.5,-107.5,102.5,252.5,3,SBD
Anna Jaglarz,F,Raw,62.3,63,1993,Open,90.0,95.0,100.0,100.0,40.0,45.0,-50.0,45.0,95.0,105.0,-112.5,105.0,250.0,4,SBD
Claudia Kochs,F,Raw,58.9,63,1985,Open,70.0,77.5,-85.0,77.5,-50.0,-55.0,55.0,55.0,80.0,90.0,100.0,100.0,232.5,5,SBD
Anne-Renske Nicolaij,F,Raw,58.8,63,1993,Open,62.5,67.5,70.0,70.0,45.0,50.0,-55.0,50.0,85.0,90.0,95.0,95.0,215.0,6,SBD
Nicole Albrecht,F,Raw,69.7,72,1992,Open,125.0,132.5,140.0,140.0,72.5,77.5,-80.0,77.5,145.0,155.0,165.0,165.0,382.5,1,SBD
Sina Höffmann,F,Raw,70.7,72,1994,Open,100.0,105.0,-107.5,105.0,-80.0,80.0,-85.0,80.0,140.0,145.0,152.5,152.5,337.5,2,SBD
Corinna Lindsay,F,Raw,70.3,72,1994,Open,-110.0,110.0,-120.0,110.0,75.0,80.0,-82.5,80.0,125.0,135.0,142.5,142.5,332.5,3,SBD
Irina Esperester,F,Raw,68.1,72,1987,Open,110.0,117.5,-122.5,117.5,67.5,-72.5,77.5,77.5,115.0,125.0,135.0,135.0,330.0,4,SBD
Sira Busch,F,Raw,69.1,72,1993,Open,90.0,100.0,105.0,105.0,62.5,67.5,-70.0,67.5,130.0,135.0,140.0,140.0,312.5,5,SBD
Jennifer Bolaji,F,Raw,69.8,72,1992,Open,100.0,107.5,-112.5,107.5,40.0,47.5,-50.0,47.5,115.0,122.5,130.0,130.0,285.0,6,SBD
Alice Ridder,F,Raw,67.7,72,1994,Open,87.5,92.5,-97.5,92.5,47.5,50.0,-52.5,50.0,115.0,120.0,-130.0,120.0,262.5,7,SBD
Vanessa von Ruskowsky,F,Raw,70.1,72,1990,Open,60.0,65.0,70.0,70.0,50.0,52.5,-55.0,52.5,105.0,110.0,115.0,115.0,237.5,8,SBD
Julia Roll,F,Raw,81.6,84,1995,Open,135.0,140.0,-142.5,140.0,85.0,-90.0,90.0,90.0,145.0,152.5,160.0,160.0,390.0,1,SBD
Tetyana Holm,F,Raw,80.3,84,1981,Open,130.0,-137.5,137.5,137.5,72.5,77.5,-80.0,77.5,135.0,-140.0,-140.0,135.0,350.0,2,SBD
Dina Pohl,F,Raw,79.5,84,1989,Open,125.0,130.0,132.5,132.5,57.5,60.0,65.0,65.0,130.0,-137.5,,130.0,327.5,3,SBD
Nathalie Poensgen,F,Raw,79.6,84,1987,Open,105.0,115.0,120.0,120.0,52.5,-60.0,-60.0,52.5,130.0,140.0,-150.0,140.0,312.5,4,SBD
Jan Andreas Smolczyk,M,Raw,80.3,83,1970,Masters 1,75.0,100.0,125.0,125.0,75.0,90.0,100.0,100.0,150.0,175.0,200.0,200.0,425.0,1,SBD
Alexander Krämer,M,Raw,93.8,105,1972,Masters 1,140.0,160.0,170.0,170.0,125.0,130.0,135.0,135.0,180.0,195.0,202.5,202.5,507.5,1,SBD
Christine Murdock,F,Raw,66.6,72,1972,Masters 1,100.0,110.0,-117.5,110.0,62.5,-70.0,,62.5,125.0,,,125.0,297.5,1,SBD
Jörg Kasparek,M,Raw,91.9,93,1968,Masters 2,190.0,200.0,-205.5,200.0,140.0,145.0,150.0,150.0,220.0,230.0,235.0,235.0,585.0,1,SBD
Jochen Stöver,M,Raw,89.5,93,1965,Masters 2,160.0,170.0,,170.0,117.5,122.5,,122.5,200.0,220.0,,220.0,512.5,2,SBD
Krystian Jusczyk,M,Raw,100.6,105,1966,Masters 2,170.0,-180.0,-180.0,170.0,110.0,120.0,125.0,125.0,190.0,200.0,220.0,220.0,515.0,1,SBD
Klaus Uwe Klobedantz,M,Raw,113.9,120,1966,Masters 2,155.0,165.0,172.5,172.5,120.0,127.5,130.0,130.0,165.0,175.0,182.5,182.5,485.0,1,SBD
Willi Rötte,M,Raw,96.5,105,1950,Masters 3,145.0,150.0,155.0,155.0,107.5,112.5,-115.0,112.5,170.0,180.0,190.0,190.0,457.5,1,SBD
Stefan Kapplinghaus,M,Raw,99.6,105,1956,Masters 3,110.0,-120.0,120.0,120.0,105.0,-110.0,,105.0,170.0,177.5,,177.5,402.5,2,SBD
