Name,Sex,Equipment,Division,Event,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg
Miguel Castellano,M,Raw,R/Power/Novice,SBD,110,205,-212.5,-212.5,205,165,172.5,182.5,182.5,205,215,-227.5,215,602.5
Ryan Kelly,M,Raw,R/Power/Novice,SBD,110,155,162.5,167.5,167.5,60,0,0,60,247.5,0,0,247.5,475
Timothy Plantikow,M,Raw,R/Power/M45-49,SBD,110,185,195,-200,195,92.5,100,107.5,107.5,210,217.5,225,225,527.5
Rob Ferrier,M,Raw,R/Power/M45-49,SBD,110,140,150,160,160,105,120,-127.5,120,167.5,180,190,190,470
Carlos Santoliquido,M,Raw,R/Power/Open,SBD,110,227.5,247.5,262.5,262.5,167.5,180,187.5,187.5,267.5,287.5,302.5,302.5,752.5
Kenny Schang,M,Raw,R/Power/Open,SBD,110,157.5,167.5,175,175,92.5,102.5,107.5,107.5,225,232.5,237.5,237.5,520
Eric Zhan,M,Raw,R/Power/Jr,SBD,125,102.5,145,185,185,140,160,167.5,167.5,65,105,-142.5,105,457.5
Eric Zhan,M,Raw,R/Power/Open,SBD,125,102.5,145,185,185,140,160,167.5,167.5,65,105,-142.5,105,457.5
Dennis Alegre,M,Raw,R/Power/M50-54,SBD,125,225,235,-235,235,127.5,140,145,145,255,267.5,-272.5,267.5,647.5
Josh Rony,M,Raw,R/Power/Open,SBD,140,227.5,237.5,250,250,157.5,165,170,170,265,277.5,-287.5,277.5,685
Rob Hager,M,Raw,R/Power/Open,SBD,140,227.5,250,260,260,142.5,155,155,155,227.5,247.5,247.5,247.5,662.5
Jeremiah True,M,Raw,R/PP/SubM,PP,82.5,-,-,-,0,97.5,105,-112.5,105,185,200,212.5,212.5,317.5
Carlos Montoya,M,Raw,R/PP/Open,PP,110,-,-,-,0,167.5,177.5,-182.5,177.5,252.5,265,-272.5,265,442.5
Ian Chapman,M,Raw,R/BENCH/Open,B,90,-,-,-,0,137.5,145,-147.5,145,-,-,-,0,145
Carlos Montoya,M,Raw,R/BENCH/Open,B,110,-,-,-,0,167.5,177.5,-182.5,177.5,-,-,-,0,177.5
Sione Moa,M,Raw,R/BENCH/Open,B,140,-,-,-,0,157.5,175,-182.5,175,-,-,-,0,175
Marcos Ramos,M,Raw,R/DL/Novice,D,82.5,-,-,-,0,-,-,-,0,197.5,210,220,220,220
Michael Zboray,M,Raw,R/DL/Open,D,100,-,-,-,0,-,-,-,0,220,240,250,250,250
Sunny Dhillon,M,Raw,R/DL/Open,D,100,-,-,-,0,-,-,-,0,215,222.5,-232.5,222.5,222.5
Carlos Montoya,M,Raw,R/DL/Open,D,110,-,-,-,0,-,-,-,0,252.5,265,-272.5,265,265
Kenny Schang,M,Raw,R/DL/Open,D,110,-,-,-,0,-,-,-,0,225,232.5,237.5,237.5,237.5
